id,groups,sub_categories,categories,person,keyword,count
26,กกต.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,คณะกรรมการการเลือกตั้ง,"คณะกรรมการการเลือกตั้ง , กกต.",353
27,ป.ป.ช.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ , ป.ป.ช. , ปปช.",277
23,ศาลรัฐธรรมนูญ,สายศาล,ศาล & องค์กรอิสระ,ศาลรัฐธรรมนูญ,"ศาลรัฐธรรมนูญ , ศาล รธน. , ศาลรธน. , ศาลการเมือง",58
25,ศาลปกครอง,สายศาล,ศาล & องค์กรอิสระ,ศาลปกครอง,"ศาล ปค.​สูงสุด , ศาล ปค. , ศาลปกครอง , ศาลปกครองสูงสุด , ศาลปกครองกลาง",49
24,ศาลยุติธรรม,สายศาล,ศาล & องค์กรอิสระ,ศาลยุติธรรม,"ศาลอาญาทุจริตและประพฤติมิชอบกลาง , ศาลฎีกาแผนกคดีอาญาผู้ดำรงตำแหน่งทางการเมือง , ศาลปราบทุจริต , ศาลฎีกา , ศาลฎีกาฯ , ศาลยุติธรรม",41
29,ผผ.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,ผู้ตรวจการแผ่นดิน,"ผู้ตรวจการแผ่นดิน , ผผ.",9
28,คตง.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,คณะกรรมการตรวจเงินแผ่นดิน,"คณะกรรมการตรวจเงินแผ่นดิน , คตง.",1
5,ประธานคณะองคมนตรี,องคมนตรี,วัง & องคมนตรี,พลเอก เปรม ติณสูลานนท์,"เปรม , ป๋าเปรม",59
2,สมาชิกราชวงศ์จักรี,วัง,วัง & องคมนตรี,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว , รัชกาลที่ 10 , ร.10 , ร.๑๐ , สมเด็จพระบรมฯ , ฟ้าชาย",24
1,สมาชิกราชวงศ์จักรี,วัง,วัง & องคมนตรี,ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,"ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี , ทูลกระหม่อมหญิงฯ , ทูลกระหม่อมหญิงอุบลรัตนฯ , ทูลกระหม่อมฯ",7
6,ประธานคณะองคมนตรี,องคมนตรี,วัง & องคมนตรี,พลเอก สุรยุทธ์ จุลานนท์,"สุรยุทธ์ , บิ๊กแอ้ด",6
3,สมาชิกราชวงศ์จักรี,วัง,วัง & องคมนตรี,สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี , สมเด็จพระเทพฯ , พระเทพฯ",5
265,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคประชาธิปัตย์,"ประชาธิปัตย์ , ปชป.",1588
273,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเพื่อไทย,"เพื่อไทย , พท. , พรรคทักษิณ , พรรคแดงล้มเจ้า , เพื่อแม้ว , พรรคแม้ว , พรรคพ่อแม้ว , ",1127
30,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก ประยุทธ์ จันทร์โอชา,"ประยุทธ์ , นายกฯประยุทธ์ , บิ๊กตู่ , ประยุทธ์ , ประยุทธ , ตู่ , ลุงตู่ , ลงตู่",507
