year,month,count,type,short_year
2554,8,1.0,positive,54
2554,9,5.0,positive,54
2554,11,1.0,positive,54
2554,12,3.0,positive,54
2555,1,1.0,positive,55
2555,2,1.0,positive,55
2555,4,2.0,positive,55
2555,5,2.0,positive,55
2555,6,1.0,positive,55
2555,7,1.0,positive,55
2555,8,1.0,positive,55
2555,9,1.0,positive,55
2555,11,2.0,positive,55
2555,12,1.0,positive,55
2556,1,1.0,positive,56
2556,2,2.0,positive,56
2556,4,3.0,positive,56
2556,5,5.0,positive,56
2556,6,4.0,positive,56
2556,7,6.0,positive,56
2556,8,1.0,positive,56
2556,9,2.0,positive,56
2556,10,1.0,positive,56
2556,11,7.0,positive,56
2556,12,4.0,positive,56
2557,1,1.0,positive,57
2557,3,2.0,positive,57
2557,4,1.0,positive,57
2557,5,3.0,positive,57
2557,8,1.0,positive,57
2557,12,1.0,positive,57
2558,7,1.0,positive,58
2559,9,2.0,positive,59
2560,4,1.0,positive,60
2560,9,2.0,positive,60
2561,5,3.0,positive,61
2561,6,1.0,positive,61
2561,10,2.0,positive,61
2562,1,3.0,positive,62
2562,3,2.0,positive,62
2562,5,1.0,positive,62
2564,8,1.0,positive,64
2564,11,1.0,positive,64
2565,2,1.0,positive,65
2565,3,1.0,positive,65
2565,5,1.0,positive,65
2565,7,1.0,positive,65
2554,7,-3.0,negative,54
2554,8,-8.0,negative,54
2554,9,-10.0,negative,54
2554,10,-2.0,negative,54
2554,11,-5.0,negative,54
2554,12,-10.0,negative,54
2555,1,-6.0,negative,55
2555,2,-3.0,negative,55
2555,3,-6.0,negative,55
2555,4,-1.0,negative,55
2555,5,-4.0,negative,55
2555,6,-6.0,negative,55
2555,7,-7.0,negative,55
2555,8,-5.0,negative,55
2555,9,-5.0,negative,55
2555,10,-5.0,negative,55
2555,11,-4.0,negative,55
2555,12,-4.0,negative,55
2556,1,-3.0,negative,56
2556,2,-6.0,negative,56
2556,3,-3.0,negative,56
2556,4,-5.0,negative,56
2556,5,-10.0,negative,56
2556,6,-3.0,negative,56
2556,7,-3.0,negative,56
2556,8,-2.0,negative,56
2556,9,-1.0,negative,56
2556,10,-5.0,negative,56
2556,11,-3.0,negative,56
2556,12,-2.0,negative,56
2557,1,-1.0,negative,57
2557,2,-1.0,negative,57
2557,3,-3.0,negative,57
2557,4,-4.0,negative,57
2557,5,-1.0,negative,57
2557,7,-1.0,negative,57
2558,1,-1.0,negative,58
2558,5,-1.0,negative,58
2562,3,-1.0,negative,62
2562,4,-1.0,negative,62
2562,7,-1.0,negative,62
2563,3,-1.0,negative,63
2563,12,-1.0,negative,63
2564,7,-1.0,negative,64
2565,3,-1.0,negative,65
2565,4,-1.0,negative,65
