year,month,count,type,short_year
2562,4,2.0,positive,62
2562,5,4.0,positive,62
2562,6,2.0,positive,62
2562,8,1.0,positive,62
2562,9,7.0,positive,62
2562,10,1.0,positive,62
2562,11,7.0,positive,62
2562,12,4.0,positive,62
2563,2,6.0,positive,63
2563,3,3.0,positive,63
2563,6,1.0,positive,63
2563,7,1.0,positive,63
2563,10,3.0,positive,63
2563,11,1.0,positive,63
2564,3,1.0,positive,64
2564,8,1.0,positive,64
2564,9,1.0,positive,64
2564,11,1.0,positive,64
2565,4,1.0,positive,65
2561,6,-1.0,negative,61
2561,10,-1.0,negative,61
2562,1,-1.0,negative,62
2562,2,-3.0,negative,62
2562,3,-1.0,negative,62
2562,4,-2.0,negative,62
2562,5,-7.0,negative,62
2562,6,-2.0,negative,62
2562,7,-1.0,negative,62
2562,9,-1.0,negative,62
2562,10,-2.0,negative,62
2562,11,-2.0,negative,62
2562,12,-3.0,negative,62
2563,2,-1.0,negative,63
2563,3,-1.0,negative,63
2563,5,-3.0,negative,63
2563,6,-1.0,negative,63
2563,7,-1.0,negative,63
2563,10,-1.0,negative,63
2563,11,-1.0,negative,63
2564,1,-1.0,negative,64
2564,10,-1.0,negative,64
2564,11,-1.0,negative,64
2565,7,-1.0,negative,65
