year,month,count,type,short_year
2561,3,1.0,positive,61
2561,6,2.0,positive,61
2561,7,3.0,positive,61
2561,8,1.0,positive,61
2561,9,1.0,positive,61
2561,10,7.0,positive,61
2561,11,23.0,positive,61
2561,12,10.0,positive,61
2562,1,16.0,positive,62
2562,2,11.0,positive,62
2562,3,17.0,positive,62
2562,4,4.0,positive,62
2562,5,21.0,positive,62
2562,6,18.0,positive,62
2562,7,18.0,positive,62
2562,8,12.0,positive,62
2562,9,6.0,positive,62
2562,10,1.0,positive,62
2562,11,7.0,positive,62
2562,12,4.0,positive,62
2563,1,10.0,positive,63
2563,2,7.0,positive,63
2563,3,4.0,positive,63
2563,4,2.0,positive,63
2563,5,2.0,positive,63
2563,6,17.0,positive,63
2563,7,9.0,positive,63
2563,8,4.0,positive,63
2563,9,2.0,positive,63
2563,10,6.0,positive,63
2563,11,3.0,positive,63
2563,12,3.0,positive,63
2564,1,2.0,positive,64
2564,2,6.0,positive,64
2564,3,6.0,positive,64
2564,4,4.0,positive,64
2564,5,1.0,positive,64
2564,6,12.0,positive,64
2564,7,1.0,positive,64
2564,8,2.0,positive,64
2564,9,4.0,positive,64
2564,10,14.0,positive,64
2564,11,4.0,positive,64
2564,12,1.0,positive,64
2565,1,3.0,positive,65
2565,2,7.0,positive,65
2565,3,2.0,positive,65
2565,4,7.0,positive,65
2565,5,3.0,positive,65
2565,6,10.0,positive,65
2565,7,2.0,positive,65
2565,8,4.0,positive,65
2565,9,4.0,positive,65
2565,10,14.0,positive,65
2561,9,-1.0,negative,61
2561,10,-1.0,negative,61
2561,11,-4.0,negative,61
2561,12,-4.0,negative,61
2562,1,-4.0,negative,62
2562,2,-5.0,negative,62
2562,3,-8.0,negative,62
2562,4,-3.0,negative,62
2562,5,-11.0,negative,62
2562,6,-5.0,negative,62
2562,7,-2.0,negative,62
2562,10,-1.0,negative,62
2563,1,-2.0,negative,63
2563,6,-7.0,negative,63
2563,7,-4.0,negative,63
2563,12,-2.0,negative,63
2564,1,-1.0,negative,64
2564,2,-5.0,negative,64
2564,6,-2.0,negative,64
2564,7,-3.0,negative,64
2564,10,-1.0,negative,64
2564,11,-2.0,negative,64
2565,1,-4.0,negative,65
2565,3,-1.0,negative,65
2565,5,-2.0,negative,65
2565,6,-2.0,negative,65
2565,7,-1.0,negative,65
2565,8,-4.0,negative,65
2565,9,-1.0,negative,65
2565,10,-1.0,negative,65
