year,month,count,type,short_year
2557,10,1.0,positive,57
2557,11,1.0,positive,57
2558,2,1.0,positive,58
2558,3,2.0,positive,58
2558,5,1.0,positive,58
2558,6,1.0,positive,58
2558,9,1.0,positive,58
2558,10,1.0,positive,58
2558,11,1.0,positive,58
2559,6,1.0,positive,59
2560,1,4.0,positive,60
2560,2,1.0,positive,60
2560,7,2.0,positive,60
2560,8,1.0,positive,60
2560,9,2.0,positive,60
2560,10,1.0,positive,60
2561,2,1.0,positive,61
2561,5,1.0,positive,61
2561,6,1.0,positive,61
2561,7,1.0,positive,61
2562,1,1.0,positive,62
2562,2,2.0,positive,62
2562,3,5.0,positive,62
2562,6,3.0,positive,62
2562,7,1.0,positive,62
2562,8,3.0,positive,62
2562,9,2.0,positive,62
2562,10,2.0,positive,62
2562,11,1.0,positive,62
2562,12,2.0,positive,62
2563,1,3.0,positive,63
2563,6,1.0,positive,63
2563,8,1.0,positive,63
2563,10,1.0,positive,63
2563,11,2.0,positive,63
2563,12,4.0,positive,63
2564,6,2.0,positive,64
2564,10,4.0,positive,64
2564,11,4.0,positive,64
2565,1,1.0,positive,65
2565,2,1.0,positive,65
2565,4,1.0,positive,65
2565,5,1.0,positive,65
2565,8,1.0,positive,65
2565,9,1.0,positive,65
2565,10,1.0,positive,65
2565,11,2.0,positive,65
2558,9,-1.0,negative,58
2558,11,-1.0,negative,58
2560,9,-1.0,negative,60
2561,11,-1.0,negative,61
2563,9,-1.0,negative,63
2564,11,-1.0,negative,64
