year,month,count,type,short_year
2555,5,1.0,positive,55
2556,4,1.0,positive,56
2562,5,6.0,positive,62
2562,6,2.0,positive,62
2562,8,1.0,positive,62
2562,9,1.0,positive,62
2562,10,5.0,positive,62
2562,11,2.0,positive,62
2562,12,6.0,positive,62
2563,1,3.0,positive,63
2563,2,8.0,positive,63
2563,3,1.0,positive,63
2563,4,2.0,positive,63
2563,6,1.0,positive,63
2563,7,1.0,positive,63
2563,8,2.0,positive,63
2563,9,1.0,positive,63
2563,11,1.0,positive,63
2563,12,1.0,positive,63
2564,1,1.0,positive,64
2564,2,2.0,positive,64
2564,3,3.0,positive,64
2564,4,1.0,positive,64
2564,6,1.0,positive,64
2564,7,1.0,positive,64
2564,8,1.0,positive,64
2564,9,2.0,positive,64
2564,10,1.0,positive,64
2564,11,1.0,positive,64
2564,12,1.0,positive,64
2565,2,2.0,positive,65
2565,3,4.0,positive,65
2565,4,3.0,positive,65
2565,5,2.0,positive,65
2565,6,4.0,positive,65
2565,7,4.0,positive,65
2565,8,3.0,positive,65
2565,9,7.0,positive,65
2565,10,3.0,positive,65
2565,11,1.0,positive,65
2556,12,-2.0,negative,56
2557,1,-1.0,negative,57
2557,3,-1.0,negative,57
2557,4,-1.0,negative,57
2562,5,-3.0,negative,62
2562,10,-1.0,negative,62
2562,11,-1.0,negative,62
2564,2,-2.0,negative,64
2564,4,-3.0,negative,64
2564,6,-1.0,negative,64
2564,8,-1.0,negative,64
2564,9,-2.0,negative,64
2565,3,-1.0,negative,65
2565,9,-2.0,negative,65
