date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-10-23 14:16:00,จ่อซบ ภท.อีกราย “ไพจิต” ส.ส.พท.หลายสมัย เปิดตัวต้อนรับ “อนุทิน” สักการะพระธาตุพนม,https://mgronline.com/politics/detail/9650000101386,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-23,14:16:00
2022-10-19 16:33:00,ภท.ลั่นค้านแก้ ม.112 ถึงที่สุด ย้อนเดือดร้อนอะไร ควรแก้ปมปากท้องแทน ปิดประตูร่วม รบ.ก้าวไกล,https://mgronline.com/politics/detail/9650000100173,"พรรคภูมิใจไทย,พรรคอนาคตใหม่-พรรคก้าวไกล,","พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-19,16:33:00
2022-10-18 14:59:00,นักวิชาการผิดหวัง พท.ไร้หลักการกลืนน้ำลายตัวเองยื่นยุบ ภท.หวั่นพาการเมืองคืนยุคทำลายล้าง,https://mgronline.com/politics/detail/9650000099701,"พรรคภูมิใจไทย,พรรคเพื่อไทย,","พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-18,14:59:00
2022-10-17 17:01:00,ภท.ไม่หวั่น พท.ชงยุบพรรค ยันนโยบายกัญชาไม่ผิด เย้ยอ้าง ปชต.แต่ใช้วิธีไม่เป็น ปชต.เล็งเอาคืนหนัก,https://mgronline.com/politics/detail/9650000099401,"พรรคภูมิใจไทย,พรรคเพื่อไทย,","พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-17,17:01:00
2022-10-05 13:22:00,“อนุทิน” เผย “บิ๊กตู่” ยังไม่ส่งสัญญาณปรับ ครม.ภูมิใจไทยอยู่ระหว่างตัดสินใจ เพราะ รมช.ตำแหน่งเดียวไม่กระทบงาน,https://mgronline.com/politics/detail/9650000095533,"พลเอก ประยุทธ์ จันทร์โอชา,อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-05,13:22:00
2022-09-20 14:01:00,“บิ๊กป้อม” เผย “ปชป.-ภท.” ทำงานด้วยกันเรียบร้อยดี ไม่มีอะไร,https://mgronline.com/politics/detail/9650000090297,"พลเอก ประวิตร วงษ์สุวรรณ,พรรคภูมิใจไทย,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-20,14:01:00
2022-09-16 13:11:00,“เพื่อไทย” แจงหลังถูก “ภูมิใจไทย” ดรามาถูกถอนร่าง พ.ร.บ.กัญชาฯ ยัน ไม่เห็นด้วยใช้เชิงสันทนาการ ชี้ กลัดกระดุมผิดตั้งแต่แรกปลดล็อกกัญชาออกจากบัญชียาเสพติด,https://mgronline.com/politics/detail/9650000089123,"พรรคภูมิใจไทย,พรรคเพื่อไทย,","พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-16,13:11:00
2022-09-15 14:03:00,เปิดผลโหวตถอนร่าง พ.ร.บ.กัญชาฯ เขี่ยพ้นประชุมสภา “พท.- พปชร.-ปชป.” เสียงข้างมากดับฝัน “ภท.”,https://mgronline.com/politics/detail/9650000088754,"พรรคพลังประชารัฐ,พรรคภูมิใจไทย,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-15,14:03:00
2022-09-14 23:12:00,รองโฆษกภูมิใจไทย ซัดถ้าไร้กฎหมายคุมกัญชาต้องไปถาม “ปชป. - พท.”,https://mgronline.com/politics/detail/9650000088555,"พรรคภูมิใจไทย,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-14,23:12:00
2022-09-14 19:25:00,ภท.ซัดเกมการเมืองสกัด กม.กัญชาฯ ใช้ทางที่ผิดเอาผิดไม่ได้ต้องโทษ ปชป.- พท.ขาง พ.ร.บ.ทำให้ไร้การควบคุม,https://mgronline.com/politics/detail/9650000088517,"พรรคภูมิใจไทย,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-14,19:25:00
