date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-07-12 11:08:00,“อนุทิน” มั่นใจหาร 500 ภท.ไม่มีปัญหา ชี้ส.ส.ลงพื้นที่ใกล้ชิดปชช. เมินแลนด์สไลด์ หลัง “เศรษฐกิจไทย” แพ้เลือกตั้งซ่อม บอกวัดกันไม่ได้,https://mgronline.com/politics/detail/9650000066296,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-12,11:08:00
2022-07-06 13:16:00,“ธรรมนัส” สวน “บิ๊กตู่” นำก๊วน “เศรษฐกิจไทย” หนุนสูตร 100,https://mgronline.com/politics/detail/9650000064250,"พลเอก ประยุทธ์ จันทร์โอชา,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-06,13:16:00
2022-06-21 13:58:00,“บิ๊กป้อม” มั่นใจเสียงพรรคเล็กโหวตหนุนศึกซักฟอก แย้มเศรษฐกิจไทยบางคนไม่เห็นด้วย รับ พปชร.มวยรอง พท.,https://mgronline.com/politics/detail/9650000058943,"พลเอก ประวิตร วงษ์สุวรรณ,พรรคพลังประชารัฐ,พรรคเพื่อไทย,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,6,2022-06-21,13:58:00
2022-06-16 12:39:00,“เสรีพิศุทธ์” เตรียมลุยสู้ศึกเลือกตั้งซ่อมลำปาง ชิงกับพรรคเศรษฐกิจไทย,https://mgronline.com/politics/detail/9650000057263,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,พรรคเศรษฐกิจไทย,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-16,12:39:00
2022-06-02 21:51:00,พรรคเศรษฐกิจไทย เรียงหน้าอภิปรายงบฯ ปี 66 เหน็บกระจุกอยู่แค่ส่วนกลาง,https://mgronline.com/politics/detail/9650000052686,"พรรคเศรษฐกิจไทย,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-02,21:51:00
2022-04-30 17:39:00,ส.ส.พปชร.จวก “เศรษฐกิจไทย” ปั่นนายกฯคนนอก ใช้กลยุทธ์การเมืองทำสังคมสับสน,https://mgronline.com/politics/detail/9650000041161,"พรรคพลังประชารัฐ,พรรคเศรษฐกิจไทย,","พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,4,2022-04-30,17:39:00
2022-04-16 12:37:00,โฆษก “เศรษฐกิจไทย” ยันพรรคไม่เป็นกลาง รมต.แจงซักฟอกไม่เคลียร์หนาวแน่,https://mgronline.com/politics/detail/9650000036314,"พรรคเศรษฐกิจไทย,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,4,2022-04-16,12:37:00
2022-04-06 18:37:00,“เศรษฐกิจไทย” คุยเนื้อหอม “บิ๊กเนม” ทยอยเข้าพรรค แต่จะเลือกเฉพาะคนแนวคิดเดียวกัน,https://mgronline.com/politics/detail/9650000033456,"พรรคเศรษฐกิจไทย,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,4,2022-04-06,18:37:00
2022-03-18 12:16:00,คึกคัก “เศรษฐกิจไทย” เปิดตัวพรรค อดีต ส.ส.-ดาราเข้าร่วมเพียบ พร้อมสโลแกน “มั่นคง มั่งคั่ง ทั้งแผ่นดิน”,https://mgronline.com/politics/detail/9650000026632,"พรรคเศรษฐกิจไทย,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,3,2022-03-18,12:16:00
2022-03-08 23:57:00,ดินเนอร์พรรคร่วมชื่นมื่น “บิ๊กตู่-บิ๊กป้อม” โอบเอวโชว์หวาน ย้ำ “เศรษฐกิจไทย” หนุนรัฐบาล 100% ยกเว้น “ธรรมนัส”,https://mgronline.com/politics/detail/9650000023182,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,3,2022-03-08,23:57:00
