date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-08-08 12:39:00,เสรีรวมไทย ยื่น กกต. สอบ 7 พรรคเล็กรับกล้วย เข้าข่ายถูกยุบพรรค มั่นใจหลักฐานแน่น เหน็บ กกต.อิสระจริงต้องชงศาล รธน.ยุบทิ้ง,https://mgronline.com/politics/detail/9650000075384,"คณะกรรมการการเลือกตั้ง,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-08,12:39:00
2022-07-25 14:26:00,กกต.ไฟเขียวรับรอง “เดชทวี” จากเสรีรวมไทย เป็น ส.ส.ลำปางเขต 4 แล้ว,https://mgronline.com/politics/detail/9650000070761,"คณะกรรมการการเลือกตั้ง,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-25,14:26:00
2022-07-22 15:11:00,“ธนกร” ไล่ก้าวไกลรักษาปากก่อนสัตว์ บิดเบือนนายกฯ ฉะ เสรีรวมไทย พาดพิงเพื่อนบ้านไร้มารยาท,https://mgronline.com/politics/detail/9650000069944,"ธนกร วังบุญคงชนะ,เสรี สุวรรณภานนท์,พรรคอนาคตใหม่-พรรคก้าวไกล,พรรคเสรีรวมไทย,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-22,15:11:00
2022-07-10 21:27:00,“เดชทวี” พรรคเสรีรวมไทย คว้าชัยเลือกตั้งซ่อมลำปาง,https://mgronline.com/politics/detail/9650000065799,"พรรคเสรีรวมไทย,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-10,21:27:00
2022-06-16 11:01:00,“เสรีรวมไทย” ยื่น ป.ป.ช.สอบ กกต.โดดลงมติใบส้ม “สุรพล” ชี้เข้าข่ายผิดจริยธรรมร้ายแรง,https://mgronline.com/politics/detail/9650000057218,"คณะกรรมการการเลือกตั้ง,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ป.ป.ช.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-16,11:01:00
2021-11-03 10:33:00,“เสรีพิศุทธ์” ยัน “เสรีรวมไทย” ไม่ยกเลิก ม.112 หนุนแก้บทลงโทษให้น้อยลง,https://mgronline.com/politics/detail/9640000108830,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,พรรคเสรีรวมไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,11,2021-11-03,10:33:00
2021-10-04 15:14:00,เสรีรวมไทย ชูต้านรัฐประหารพร้อมสู้ศึกเลือกตั้ง เย้ย “ปลัดฉิ่ง” สร้างพลังดูดเหลวหากหนุน “บิ๊กตู่”,https://mgronline.com/politics/detail/9640000098194,"พลเอก ประยุทธ์ จันทร์โอชา,พรรคเสรีรวมไทย,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,10,2021-10-04,15:14:00
2021-02-18 18:58:00,เสรีรวมไทย ปูดก๊วนงาบงบขุดลอกคลองผ่าน อพศ. “บิ๊กป้อม-บิ๊กป๊อก” ประสานเสียงปัด,https://mgronline.com/politics/detail/9640000016406,"พลเอก ประวิตร วงษ์สุวรรณ,พลเอก อนุพงษ์ เผ่าจินดา,พรรคเสรีรวมไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,2,2021-02-18,18:58:00
2021-02-01 15:56:00,กกต.ฟ้องอาญา 3 ผู้สมัครเสรีรวมไทย ไม่มีคุณสมบัติแต่ลงสมัคร ส.ส. เหตุถือหุ้นสื่อ,https://mgronline.com/politics/detail/9640000010094,"คณะกรรมการการเลือกตั้ง,พรรคเสรีรวมไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,2,2021-02-01,15:56:00
2020-08-31 11:05:00,“เสรีรวมไทย” ขวางสุดตัว เตรียมล่าชื่อ กมธ.หนุนตัดงบ 111 ล้านสู้คดีเหมืองทองอัครา,https://mgronline.com/politics/detail/9630000089081,"พรรคเสรีรวมไทย,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,8,2020-08-31,11:05:00
2020-08-08 13:58:00,“เสรีพิศุทธ์” ปลุกชาวปากน้ำ ยี้ “3 ป.” ต้องกา “เสรีรวมไทย” เลือกซ่อมพรุ่งนี้,https://mgronline.com/politics/detail/9630000081214,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,8,2020-08-08,13:58:00
