date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-10-04 14:00:00,“ประยุทธ์” เผยยังไม่ได้คิดวางทายาทการเมือง ปัดตอบกระแสข่าว “จักรทิพย์” เป็นทายาท 3 ป.,https://mgronline.com/politics/detail/9650000095166,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลเอก ประยุทธ์ จันทร์โอชา,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,","สายตำรวจ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-04,14:00:00
2021-11-16 15:09:00,“บิ๊กป้อม” ปัดตอบ “บิ๊กแป๊ะ” ช่วยงานพรรคด้านไหน? หลังโผล่ลงพื้นที่สกลนคร,https://mgronline.com/politics/detail/9640000113649,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลเอก ประวิตร วงษ์สุวรรณ,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,","สายตำรวจ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-16,15:09:00
2021-11-16 11:59:00,“วิษณุ” กาง กม. ชี้ “บิ๊กแป๊ะ” เป็นสมาชิกพรรคการเมืองไม่ได้ กำชับ รมต.ใช้สิทธิเลือกตั้ง อบต.,https://mgronline.com/politics/detail/9640000113538,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,วิษณุ เครืองาม,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,","สายตำรวจ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-16,11:59:00
2021-11-15 19:43:00,“วิษณุ” คอนเฟิร์ม “บิ๊กแป๊ะ” เป็นสมาชิกพรรคได้ แม้พ้น ส.ว.ไม่เกิน 2 ปี แต่รับตำแหน่งการเมืองไม่ได้,https://mgronline.com/politics/detail/9640000113354,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,วิษณุ เครืองาม,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,","สายตำรวจ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-15,19:43:00
2021-11-02 10:59:00,“บิ๊กแป๊ะ” ถอนตัวชิงผู้ว่าฯ กทม. ไม่ได้มาปรึกษา “บิ๊กป้อม”,https://mgronline.com/politics/detail/9640000108457,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลเอก ประวิตร วงษ์สุวรรณ,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,","สายตำรวจ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-02,10:59:00
2021-11-01 17:33:00,ด่วน! “บิ๊กแป๊ะ” ยอมถอยไม่ลงชิงผู้ว่าฯ กทม.คาดเปิดทาง “อัศวิน” อยู่ต่อ,https://mgronline.com/politics/detail/9640000108259,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ส.ว. ชุดที่ 12,","สายตำรวจ,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-01,17:33:00
2021-05-12 20:15:00,“บิ๊กแป๊ะ” เปิดหน้าซัด “อัศวิน” หาเสียงล่วงหน้าผู้ว่าฯ กทม.,https://mgronline.com/politics/detail/9640000045785,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ส.ว. ชุดที่ 12,","สายตำรวจ,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,5,2021-05-12,20:15:00
2018-07-24 10:24:00,“จักรทิพย์” รับลูกรัฐบาล ลั่นตั้งศูนย์ปราบปรามหนี้นอกระบบทั่วประเทศ,https://mgronline.com/politics/detail/9610000073449,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ส.ว. ชุดที่ 12,","สายตำรวจ,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,",1.0,2561,7,2018-07-24,10:24:00
2017-11-17 17:40:00,“บิ๊กตู่” ยันปรับ ครม.ไร้ชื่อ “บิ๊กแป๊ะ” ขอสื่ออย่ามโน โต้ไม่เคยเกณฑ์ใครตอบ 6 คำถาม,https://mgronline.com/politics/detail/9600000116428,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลเอก ประยุทธ์ จันทร์โอชา,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,","สายตำรวจ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2560,11,2017-11-17,17:40:00
2014-01-29 15:04:00,ศรส.ตั้ง “จักรทิพย์” นำเจรจา กปปส.ศุกร์นี้ ตั้งทีมฟันท่อน้ำเลี้ยง บี้ยันต่างด้าว รถขน ปชช.,https://mgronline.com/politics/detail/9570000011186,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ส.ว. ชุดที่ 12,","สายตำรวจ,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,",1.0,2557,1,2014-01-29,15:04:00
