date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-13 14:21:00,“เสรีพิศุทธ์” ยกตัวอย่าง “ป๋าเปรม” จี้ “บิ๊กตู่” ลาออกก่อนศาล รธน.วินิจฉัยปมวาระ 8 ปี เตือนดันทุรัง อาจจบชีวิตการเมือง,https://mgronline.com/politics/detail/9650000087934,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","องคมนตรี,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-13,14:21:00
2022-09-07 10:54:00,“เสรีพิศุทธ์” ยันเชิญ “หม่อมอุ๋ย” เข้าแจง กมธ.ป.ป.ช.ปมนาฬิกาเพื่อนแน่ แต่ยังไม่กำหนดวัน,https://mgronline.com/politics/detail/9650000085829,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,","ป.ป.ช.,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-07,10:54:00
2022-06-16 12:39:00,“เสรีพิศุทธ์” เตรียมลุยสู้ศึกเลือกตั้งซ่อมลำปาง ชิงกับพรรคเศรษฐกิจไทย,https://mgronline.com/politics/detail/9650000057263,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,พรรคเศรษฐกิจไทย,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-16,12:39:00
2022-02-10 12:27:00,“เสรีพิศุทธ์” ฟันฉับ “เศรษฐกิจไทย” โหวตสวนรัฐบาลสะท้อนภาพแตกกัน จับตา รบ.เสียงปริ่มน้ำอาจซื้อเสียงฝ่ายค้านให้อยู่รอด,https://mgronline.com/politics/detail/9650000013742,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,พรรคเศรษฐกิจไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,2,2022-02-10,12:27:00
2021-12-09 16:38:00,ป.ป.ช.ตั้งอนุไต่สวน “เสรีพิศุทธ์” รุกล้ำแม่น้ำแควน้อย ส่วนรุกล้ำเจ้าพระยากำลังตรวจสอบ,https://mgronline.com/politics/detail/9640000121972,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,","ป.ป.ช.,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,12,2021-12-09,16:38:00
2021-11-03 10:33:00,“เสรีพิศุทธ์” ยัน “เสรีรวมไทย” ไม่ยกเลิก ม.112 หนุนแก้บทลงโทษให้น้อยลง,https://mgronline.com/politics/detail/9640000108830,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,พรรคเสรีรวมไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,11,2021-11-03,10:33:00
2021-07-27 10:40:00,“สิระ” ซัด “เสรีพิศุทธ์” รีบทำตามคำสั่งศาลปกครอง จี้รื้อถอนสิ่งล่วงล้ำลำน้ำในแม่น้ำแควน้อย,https://mgronline.com/politics/detail/9640000073295,"ศาลปกครอง,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,สิระ เจนจาคะ,เสรี สุวรรณภานนท์,","ศาลปกครอง,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,7,2021-07-27,10:40:00
2021-03-18 10:11:00,“เสรีพิศุทธ์” อัด ภท.เล่นละครหลอก ปชช.แล้วหนี เหน็บนักเลือกตั้งยอมเผด็จการสืบทอดอำนาจต่อ,https://mgronline.com/politics/detail/9640000025987,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,พรรคภูมิใจไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,3,2021-03-18,10:11:00
2021-02-03 12:07:00,"""เสรีพิศุทธ์"" ลั่นสู้ศึกเลือกตั้งซ่อม ส.ส.เขต 3 เมืองคอนเต็มที่ แม้สู้""ปชป.-พปชร."" ไม่ได้",https://mgronline.com/politics/detail/9640000010789,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,พรรคพลังประชารัฐ,พรรคประชาธิปัตย์,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,2,2021-02-03,12:07:00
2021-01-08 14:07:00,“เสรีพิศุทธ์” อัด ส.ส.เพื่อไทย-ฝ่ายค้านขี้ขลาด อาจรับใต้โต๊ะ แห่ถอนชื่อทำคำร้องถูกศาลตีตกคดี “สิระ” เย้ยไม่สมควรเป็น ส.ส.,https://mgronline.com/politics/detail/9640000001719,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,สิระ เจนจาคะ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,1,2021-01-08,14:07:00
2020-09-23 14:45:00,“เสรีพิศุทธ์” ยุ ภท.-ปชป.ไขก๊อกเลือกนายกฯ ใหม่ “หมอเจตน์” ค้านตั้ง ส.ส.ร.หวั่นตัดเรื่องดี รธน.60,https://mgronline.com/politics/detail/9630000097516,"พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,พรรคภูมิใจไทย,พรรคประชาธิปัตย์,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,9,2020-09-23,14:45:00
