date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-08 11:56:00,“พิธา” ลั่นอยากเป็นพรรคใหญ่ ตั้งเป้าเลือกตั้งครั้งหน้า ส.ส.ก้าวไกล มาแน่ เชื่อครบทุกเขตทุกภูมิภาค,https://mgronline.com/politics/detail/9650000086258,"พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-08,11:56:00
2022-08-04 12:17:00,“พิธา” ยืนยันจุดยืน “ก้าวไกล” เอาหาร 100 พร้อมสู้ทุกกติกา ปัดวิจารณ์พรรคใหม่นั่งร้านรัฐบาล ขอโฟกัสแค่พรรคตัวเอง,https://mgronline.com/politics/detail/9650000074120,"พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-04,12:17:00
2022-06-08 12:48:00,“พิธา” มองศึกซักฟอกเป็นคณิตศาสตร์การเมือง ชี้ ยังมีฝ่ายสปริงโหวตอยู่ ไม่สนข่าว “บิ๊กตู่” ขึ้นแท่น หน.พปชร.,https://mgronline.com/politics/detail/9650000054426,"พลเอก ประยุทธ์ จันทร์โอชา,พิธา ลิ้มเจริญรัตน์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-08,12:48:00
2022-05-01 14:49:00,“พิธา” นำทีมแรงงานก้าวไกล ร่วมขบวนหน้าทำเนียบ สู้เรียกร้องสิทธิและผลักดันรัฐสวัสดิการ,https://mgronline.com/politics/detail/9650000041363,"พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,5,2022-05-01,14:49:00
2022-01-24 12:28:00,“สิระ” ฟ้องยับ! “พิธา-เพชร กรุณพล” หาเสียงหมิ่นประมาทเรียก 50 ล้าน-ยื่น กกต.ยุบก้าวไกล,https://mgronline.com/politics/detail/9650000007554,"คณะกรรมการการเลือกตั้ง,พิธา ลิ้มเจริญรัตน์,สิระ เจนจาคะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,1,2022-01-24,12:28:00
2021-11-22 11:19:00,“ธนกร” สวนกลับ “พิธา-ก้าวไกล” แช่แข็งความหวัง ปชช.ย้อนอีแอบหลังม็อบใช้เด็กเป็นโล่,https://mgronline.com/politics/detail/9640000115574,"ธนกร วังบุญคงชนะ,พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,11,2021-11-22,11:19:00
2021-09-10 10:53:00,"มติ ""ก้าวไกล"" งดออกเสียงร่างแก้ไขรธน.วาระ 3 ""พิธา"" เย้ยบทพิสูจน์ชี้ชะตาคนเสนอ ลั่นพร้อมสู้ทุกสนาม",https://mgronline.com/politics/detail/9640000089765,"พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,9,2021-09-10,10:53:00
2021-08-19 14:25:00,“ก้าวไกล” รุมสับ รบ. จัดงบฯ 65 “พิธา” แนะไทยดึงโลกล้อม “รัฐประหารเมียนมา” เอาฝรั่งช่วยด้านมนุษยธรรม,https://mgronline.com/politics/detail/9640000081797,"พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,8,2021-08-19,14:25:00
2021-06-16 14:10:00,ฝ่ายค้านยื่นแก้ รธน. 5 ประเด็น ยันตั้ง ส.ส.ร.ไม่ขัดคำวินิจฉัย “พิธา” ลั่นล้างบาง ส.ว.รักกันดี พท.,https://mgronline.com/politics/detail/9640000058178,"พิธา ลิ้มเจริญรัตน์,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,6,2021-06-16,14:10:00
2020-11-17 10:59:00,“ก้าวไกล” ย้ำพร้อมโหวตรับทั้ง 7 ร่าง “พิธา” วอนฝ่ายรัฐบาลรับร่างไอลอว์ ช่วยคลายปัญหาได้,https://mgronline.com/politics/detail/9630000118602,"พิธา ลิ้มเจริญรัตน์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,11,2020-11-17,10:59:00
