date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-07-23 10:06:00,“ศักดิ์สยาม” โต้ฝ่ายค้าน อย่าเสียเวลายื่น ป.ป.ช.ตรวจสอบซุกหุ้น เลี่ยงภาษี ยันมีหลักฐานแจงชัด,https://mgronline.com/politics/detail/9650000070162,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-23,10:06:00
2022-07-20 15:47:00,"ภท.งัดเอกสาร ""ศักดิ์สยาม"" โอนหุ้นก่อนรับตำแหน่ง ชี้อภิปรายให้ข้อมูลไม่ครบผิดจริยธรรมหรือไม่",https://mgronline.com/politics/detail/9650000069138,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-20,15:47:00
2022-07-20 15:38:00,"""ศักดิ์สยาม"" โต้ก้าวไกล ขายหุ้น หจก.บุรีเจริญให้เพื่อนแล้ว ทำอะไรไม่เกี่ยวกับตน งบทางหลวงลงบุรีรัมย์ไม่มากกว่าที่อื่น",https://mgronline.com/politics/detail/9650000069130,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-20,15:38:00
2022-07-20 15:35:00,"ก้าวไกล จ่อยื่นป.ป.ช.ฟัน ""ศักดิ์สยาม"" ซุกหุ้นไม่เชื่อมีการซื้อขายโอนหุ้นกันจริง เชื่อเอาผิดได้",https://mgronline.com/politics/detail/9650000069127,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-20,15:35:00
2022-07-19 18:09:00,ประชาชาติ อัดซ้ำ “ศักดิ์สยาม” ที่เขากระโดงละเว้นหน้าที่-เอื้อพวกพ้อง ปูด “นายเอ” ถือหุ้นแทน,https://mgronline.com/politics/detail/9650000068783,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคประชาชาติ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-19,18:09:00
2022-07-19 18:00:00,ก้าวไกล แฉ “ศักดิ์สยาม” ซุกหุ้นใช้ลูกจ้างเป็นนอมินีเอาบริษัทตัวเองรับงาน ก.คมนาคม,https://mgronline.com/politics/detail/9650000068780,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-19,18:00:00
2022-07-18 10:34:00,“ศักดิ์สยาม” ไม่เก็งข้อสอบ ย้ำพร้อมแจงทุกเรื่อง ศึกซักฟอก ไม่รู้งูเห่า “เพื่อไทย” โผล่โหวตให้หรือไม่,https://mgronline.com/politics/detail/9650000068103,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-18,10:34:00
2022-03-29 15:51:00,“บิ๊กป้อม” เดินควงแขน “ศักดิ์สยาม” สยบข่าวลือ ภท.โดดประชุม ครม.,https://mgronline.com/politics/detail/9650000030487,"พลเอก ประวิตร วงษ์สุวรรณ,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,3,2022-03-29,15:51:00
2022-03-08 7:56:00,"""ศักดิ์สยาม-รฟท."" ทำหนังสือด่วนศาลปค.กลาง ของดบังคับคดีไม่จ่ายค่าโง่โฮปเวลล์ หลังสั่งรื้อคดี",https://mgronline.com/politics/detail/9650000022758,"ศาลปกครอง,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,","ศาลปกครอง,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,3,2022-03-08,7:56:00
2022-02-09 9:14:00,“ศักดิ์สยาม” ย้ำชัด 7 รมต.ภูมิใจไทย พิจารณารอบด้านเหตุไม่ร่วมสังฆกรรม ครม.ปมขยายสัมปทานสายสีเขียว,https://mgronline.com/politics/detail/9650000013246,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,2,2022-02-09,9:14:00
2021-06-10 13:19:00,“ศักดิ์สยาม” ปัดตอบ ส.ส.ดาวฤกษ์พ้นโทษแบน บอก ภท.อภิปรายดุเดือดแค่เสนอแนวทาง,https://mgronline.com/politics/detail/9640000056049,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,6,2021-06-10,13:19:00
