date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-07 11:58:00,ศาลปกครองสั่ง “กทม.- กรุงเทพธนาคม” จ่ายหนี้ค่าจ้างเดินรถ BTS รวมกว่า 1.2 หมื่นล้านบาท ภายใน 180 วัน,https://mgronline.com/politics/detail/9650000085853,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2565,9,2022-09-07,11:58:00
2022-07-08 13:40:00,“จิรายุ” จี้ นายกฯ ให้ความสำคัญโครงการรถไฟฟ้าสายสีส้ม หลังศาลปกครองพิพากษาการล้มประมูลครั้งแรกไม่ชอบด้วยกฎหมาย,https://mgronline.com/politics/detail/9650000065135,"ศาลปกครอง,จิรายุ ห่วงทรัพย์,","ศาลปกครอง,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-08,13:40:00
2022-06-10 11:44:00,“ก้าวไกล” บี้อัยการสูงสุดร้องศาลฎีกานักการเมือง ฟัน “นิพนธ์” พ้น รมต.เหตุศาลปกครองสูงสุด สั่ง อบจ.สงขลา จ่ายเงินให้บริษัทรถซ่อมบำรุงทาง,https://mgronline.com/politics/detail/9650000055219,"ศาลยุติธรรม,ศาลปกครอง,นิพนธ์ บุญญามณี,พรรคอนาคตใหม่-พรรคก้าวไกล,","ศาลยุติธรรม,ศาลปกครอง,ครม. ชุดที่ 62,พรรคการเมือง,","สายศาล,สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,6,2022-06-10,11:44:00
2022-04-05 16:07:00,“นิพนธ์” ยันทำตาม กม.เพิกถอนที่ดิน “แม่ธนาธร” อุทธรณ์ฟ้องศาลปกครองได้,https://mgronline.com/politics/detail/9650000033029,"ศาลปกครอง,นิพนธ์ บุญญามณี,ธนาธร จึงรุ่งเรืองกิจ,","ศาลปกครอง,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,4,2022-04-05,16:07:00
2022-03-08 7:56:00,"""ศักดิ์สยาม-รฟท."" ทำหนังสือด่วนศาลปค.กลาง ของดบังคับคดีไม่จ่ายค่าโง่โฮปเวลล์ หลังสั่งรื้อคดี",https://mgronline.com/politics/detail/9650000022758,"ศาลปกครอง,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,","ศาลปกครอง,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,3,2022-03-08,7:56:00
2021-07-27 10:40:00,“สิระ” ซัด “เสรีพิศุทธ์” รีบทำตามคำสั่งศาลปกครอง จี้รื้อถอนสิ่งล่วงล้ำลำน้ำในแม่น้ำแควน้อย,https://mgronline.com/politics/detail/9640000073295,"ศาลปกครอง,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,สิระ เจนจาคะ,เสรี สุวรรณภานนท์,","ศาลปกครอง,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,7,2021-07-27,10:40:00
2021-04-03 20:59:00,เปิดคำพิพากษาศาลปกครองกลางสั่งเพิกถอนคำสั่งให้ “ยิ่งลักษณ์” จ่ายชดเชยจำนำข้าว,https://mgronline.com/politics/detail/9640000031949,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2564,4,2021-04-03,20:59:00
2021-04-02 11:48:00,“ยิ่งลักษณ์” เฮ! ศาลปกครองเพิกถอนคำสั่งให้จ่าย 3.5 หมื่นล้าน ชดเชยจำนำข้าว ชี้ทุจริตในระดับปฏิบัติ,https://mgronline.com/politics/detail/9640000031452,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2564,4,2021-04-02,11:48:00
2021-02-09 16:30:00,ภท.ข้องใจ กทม.เลื่อนเก็บค่าโดยสารสายสีเขียว ในวันที่ศาลปกครองสั่งเผยสัญญา ลั่นไล่บี้ต่อ,https://mgronline.com/politics/detail/9640000013068,"ศาลปกครอง,พรรคภูมิใจไทย,","ศาลปกครอง,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,2,2021-02-09,16:30:00
2021-01-29 11:57:00,ภท.ร้องศาลปกครองคุ้มครองชั่วคราว ยับยั้ง กทม.ขึ้นค่าโดยสารรถไฟฟ้าสายสีเขียว,https://mgronline.com/politics/detail/9640000009084,"ศาลปกครอง,พรรคภูมิใจไทย,","ศาลปกครอง,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,1,2021-01-29,11:57:00
