date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-30 11:53:00,เริ่มแล้ว! ศาลรธน.พิจารณาคดี วาระ 8 ปี “บิ๊กตู่” ก่อนอ่านคำวินิจฉัยบ่ายนี้,https://mgronline.com/politics/detail/9650000093902,"ศาลรัฐธรรมนูญ,พลเอก ประยุทธ์ จันทร์โอชา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-30,11:53:00
2022-09-06 13:23:00,“อนุทิน” ไม่ก้าวล่วงศาลรธน.วินิจฉัยปมนายกฯ 8 ปี บอกแม้สนิทก็ไม่ควรถาม ขอเคารพผลสรุปไม่ปลุกม็อบ เผย “ลุงป้อม” นำถก ครม. รวดเดียวจบ ไม่มีพัก,https://mgronline.com/politics/detail/9650000085515,"ศาลรัฐธรรมนูญ,พลเอก ประวิตร วงษ์สุวรรณ,อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-06,13:23:00
2022-09-01 15:21:00,ทีมกฎหมาย “บิ๊กตู่” จ่อยื่นศาลรัฐธรรมนูญ แจงปมวาระนายกฯ 8 ปี วันที่ 1 ก.ย.นี้,https://mgronline.com/politics/detail/9650000084050,"ศาลรัฐธรรมนูญ,พลเอก ประยุทธ์ จันทร์โอชา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-01,15:21:00
2022-08-24 13:24:00,สั่ง “บิ๊กตู่” หยุดปฏิบัติหน้าที่! ศาลรัฐธรรมนูญมีมติรับคำร้องปม 8 ปี นายกฯ ไว้พิจารณา,https://mgronline.com/politics/detail/9650000081160,"ศาลรัฐธรรมนูญ,พลเอก ประยุทธ์ จันทร์โอชา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-24,13:24:00
2022-08-10 12:23:00,นายกฯ ยันไม่อยู่เหนือกฎหมาย น้อมรับคำวินิจฉัยศาลรัฐธรรมนูญปมวาระ 8 ปี,https://mgronline.com/politics/detail/9650000076204,"ศาลรัฐธรรมนูญ,","ศาลรัฐธรรมนูญ,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2565,8,2022-08-10,12:23:00
2022-08-09 12:35:00,ชทพ.เตรียมถกท่าทีประชุมร่วมรัฐสภาบ่ายนี้ “วราวุธ” ชี้สภาต้องเดินต่อ ตีความ 8 ปี นายกฯปล่อยเป็นหน้าที่ศาลรัฐธรรมนูญ,https://mgronline.com/politics/detail/9650000075778,"ศาลรัฐธรรมนูญ,วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,8,2022-08-09,12:35:00
2021-12-08 17:05:00,ปชป.น้อมรับคำตัดสินศาลรธน.หลังให้ส.ส.สิ้นสภาพ มั่นใจเลือกตั้งใหม่ชาวชุมพร สงขลายังไว้ใจ,https://mgronline.com/politics/detail/9640000121580,"ศาลรัฐธรรมนูญ,พรรคประชาธิปัตย์,","ศาลรัฐธรรมนูญ,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,12,2021-12-08,17:05:00
2021-06-28 13:18:00,“วิษณุ” เชื่อแก้ไขระบบเลือกตั้ง ตามร่างของ “ประชาธิปัตย์” ได้ แต่อาจเสียเวลา ยื่นศาลรัฐธรรมนูญตีความ,https://mgronline.com/politics/detail/9640000062396,"ศาลรัฐธรรมนูญ,วิษณุ เครืองาม,พรรคประชาธิปัตย์,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2564,6,2021-06-28,13:18:00
2021-03-10 12:16:00,ฝ่ายค้านตั้งวอร์รูมฟังคำวินิจฉัยศาลรัฐธรรมนูญพรุ่งนี้ ปมแก้ รธน.,https://mgronline.com/politics/detail/9640000023175,"ศาลรัฐธรรมนูญ,","ศาลรัฐธรรมนูญ,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2564,3,2021-03-10,12:16:00
2021-02-03 13:35:00,"ศาลรธน.รับวินิจฉัยสถานะส.ส. ""สิระ""  ไม่สั่งหยุดปฏิบัติหน้าที่",https://mgronline.com/politics/detail/9640000010838,"ศาลรัฐธรรมนูญ,สิระ เจนจาคะ,","ศาลรัฐธรรมนูญ,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,2,2021-02-03,13:35:00
2020-12-03 9:34:00,“แรมโบ้อีสาน” ขอบคุณศาลรัฐธรรมนูญวินิจฉัยบ้านพักทหารนายกฯไม่มีความผิด ปชช.ดีใจฝากเชียร์ให้ “ลุงตู่” เป็นนายกฯ ต่อไป,https://mgronline.com/politics/detail/9630000123978,"ศาลรัฐธรรมนูญ,พลเอก ประยุทธ์ จันทร์โอชา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2563,12,2020-12-03,9:34:00
