date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-30 13:03:00,“สุทิน” ซัดถ้า “ประยุทธ์” เสียสละคนเดียว ตั้งแต่ก่อน 23 ส.ค.ประเทศก็ไม่ต้องเดินมาถึงจุดนี้,https://mgronline.com/politics/detail/9650000093930,"พลเอก ประยุทธ์ จันทร์โอชา,สุทิน คลังแสง,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-30,13:03:00
2022-08-10 10:36:00,“สุทิน” ชี้ พรรคฝ่ายค้านให้เกียรติกัน ยึดตามแนวทางของแต่ละพรรค ยัน จุดยืนพท.เอาหาร 100 มาตลอด,https://mgronline.com/politics/detail/9650000076159,"สุทิน คลังแสง,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-10,10:36:00
2022-07-19 19:48:00,ภท.โต้ “สุทิน-วาโย” ยัน สธ.มุ่งคุมกัญชาไม่เกิดสุญญากาศทาง กม. ป้อง “อนุทิน” ไร้ผลประโยชน์,https://mgronline.com/politics/detail/9650000068812,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,สุทิน คลังแสง,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-19,19:48:00
2022-07-06 12:42:00,“สุทิน” โวย “บิ๊กตู่” เอา 500 สกัดเพื่อไทย เมินระบบที่ดีในอนาคต ลั่นเพื่อไทยแพไม่แตกแน่นอน,https://mgronline.com/politics/detail/9650000064221,"พลเอก ประยุทธ์ จันทร์โอชา,สุทิน คลังแสง,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-06,12:42:00
2022-01-19 12:44:00,“สุทิน”เชื่อ”พรรคสร้างอนาคตไทย”เกิดทำ พปชร.อ่อนแอแน่นอน ยันยังเร็วไปจับมือ พท.ได้หรือไม่ ต้องขอดูจุดยืน -ทิศทาง ก่อน,https://mgronline.com/politics/detail/9650000005959,"สุทิน คลังแสง,พรรคพลังประชารัฐ,พรรคเพื่อไทย,พรรคสร้างอนาคตไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,1,2022-01-19,12:44:00
2021-09-04 9:55:00,"“สุทิน” เชื่อพรรคร่วมฝ่ายค้านเทโหวตไม่ไว้วางใจนายกฯ รับ ""เพื่อไทย"" อาจมีงูเห่าแต่น้อย",https://mgronline.com/politics/detail/9640000087546,"สุทิน คลังแสง,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,9,2021-09-04,9:55:00
2021-02-23 14:03:00,“สุทิน” เผยฝ่ายค้านเล็งยื่น 4 รัฐมนตรีต่อ ป.ป.ช. ฟันฐานทุจริต-ผิดจริยธรรม,https://mgronline.com/politics/detail/9640000017948,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,สุทิน คลังแสง,","ป.ป.ช.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,2,2021-02-23,14:03:00
2021-02-17 11:00:00,“สุทิน” ปัดคนเพื่อไทยจ่อซบ พปชร. เตือนนายกฯ ระวังลูกน้องหลอกกินกล้วย,https://mgronline.com/politics/detail/9640000015739,"สุทิน คลังแสง,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,2,2021-02-17,11:00:00
2021-01-19 12:14:00,“สุทิน” ยัน ส.ส.พท.มีโอกาสอภิปรายเท่ากัน เว้นข้อมูล-เจ้าตัวไม่พร้อมจริง ยังไม่ตัดก๊วน “หญิงหน่อย” ออก มั่นใจเก้าอี้ ปธ.วิปค้านยังเหนียว,https://mgronline.com/politics/detail/9640000005332,"สุทิน คลังแสง,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2564,1,2021-01-19,12:14:00
2020-11-18 13:53:00,พท.เอกฉันท์เตรียมยกมือผ่านร่างแก้ไข รธน.ฉบับ ปชช. “สุทิน” บอก ส.ส.คลายกังวลเหตุไม่เข้าข่ายล้มล้างการปกครอง,https://mgronline.com/politics/detail/9630000119126,"สุทิน คลังแสง,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2563,11,2020-11-18,13:53:00
