date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-11-01 16:22:00,"""อนุทิน"" รับ ""บิ๊กตู่"" กำชับอย่าเสียงแตก ชี้กัญชาเสรีเป็นวาทกรรมหวังตัดแข็งตัดขา-ไม่ทำการบ้าน",https://mgronline.com/politics/detail/9650000104395,"พลเอก ประยุทธ์ จันทร์โอชา,อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,11,2022-11-01,16:22:00
2022-10-23 14:16:00,จ่อซบ ภท.อีกราย “ไพจิต” ส.ส.พท.หลายสมัย เปิดตัวต้อนรับ “อนุทิน” สักการะพระธาตุพนม,https://mgronline.com/politics/detail/9650000101386,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-23,14:16:00
2022-10-05 16:18:00,นายกฯ ขอบคุณทุกหน่วยร่วมแก้โควิด “อนุทิน” แจง ครม.คุมสถานการณ์ได้ ยินดี “ท็อป” หน.ชทพ.,https://mgronline.com/politics/detail/9650000095645,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-05,16:18:00
2022-10-05 13:22:00,“อนุทิน” เผย “บิ๊กตู่” ยังไม่ส่งสัญญาณปรับ ครม.ภูมิใจไทยอยู่ระหว่างตัดสินใจ เพราะ รมช.ตำแหน่งเดียวไม่กระทบงาน,https://mgronline.com/politics/detail/9650000095533,"พลเอก ประยุทธ์ จันทร์โอชา,อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,10,2022-10-05,13:22:00
2022-09-29 19:08:00,“อนุทิน” นำ “หมอเกียรติภูมิ” ปลัด สธ. พบ “บิ๊กตู่” อำลาเกษียณ ไม่ได้คุยปม 8 ปี ได้แต่ขอให้โชคดี,https://mgronline.com/politics/detail/9650000093719,"พลเอก ประยุทธ์ จันทร์โอชา,อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-29,19:08:00
2022-09-27 14:30:00,“อนุทิน” บอกแลนด์สไลด์หรือตอกเสาเข็ม ให้ดูวันเลือกตั้ง พท.โหมโรงเรื่องปกติ ร้อยเอ็ดไม่ใช่เป้าหมายหลัก,https://mgronline.com/politics/detail/9650000092734,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-27,14:30:00
2022-09-24 16:53:00,“อนุทิน” ให้กำลังใจ “บิ๊กตู่” เจอ 2 ครั้ง ดูมีความสบายใจเข้มแข็ง,https://mgronline.com/politics/detail/9650000091866,"พลเอก ประยุทธ์ จันทร์โอชา,อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-24,16:53:00
2022-09-20 12:20:00,“อนุทิน” ชี้ เป็นเกมการเมือง ไม่คิดโต้กลับ หลังถูก ปชป.หักในสภา ยันไม่มีปัญหา และไม่ถอนตัวแม้ กม.กัญชาฯ ไม่ผ่านวาระ 3 เพราะใกล้เลือกตั้ง,https://mgronline.com/politics/detail/9650000090260,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-20,12:20:00
2022-09-15 16:23:00,“อนุทิน” จ่อใช้ประกาศ สธ.แทน พ.ร.บ.กัญชาฯ งงฝ่ายค้านไม่ฟังแม้คำปรารภ ชมก้าวไกล-ชทพ.ใจกว้าง,https://mgronline.com/politics/detail/9650000088836,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคชาติไทยพัฒนา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-15,16:23:00
2022-09-10 9:38:00,“อนุทิน” แจงเหตุผล “ภูมิใจไทย” ร่วม พปชร. ปี 2562 นับเลขแล้ว ขั้วเพื่อไทย ไม่มีโอกาสตั้งรัฐบาล,https://mgronline.com/politics/detail/9650000086942,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคพลังประชารัฐ,พรรคภูมิใจไทย,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,9,2022-09-10,9:38:00
