date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2019-12-18 14:37:00,“มาร์ค” โผล่ กมธ. ชี้ถวายสัตย์ไม่ครบแต่เป็นเรื่องการตีความ เด็ก อนค.ห้าวก้าวล่วงศาล,https://mgronline.com/politics/detail/9620000120583,"อภิสิทธิ์ เวชชาชีวะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,12,2019-12-18,14:37:00
2019-11-27 14:24:00,ปชป.ย้ำไม่ส่งชื่อ “มาร์ค” ร่วม กมธ.แก้ รธน. เหตุพรรคร่วมไม่ชัดเจนหนุนนั่ง ปธ.,https://mgronline.com/politics/detail/9620000113783,"อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,11,2019-11-27,14:24:00
2019-11-26 17:55:00,"ปชป.ไม่ส่ง ""มาร์ค"" นั่งกมธ.แก้รธน. เหตุไม่ชัวร์ได้เป็นปธ. ""ชินวรณ์"" โผล่สัดส่วนครม.",https://mgronline.com/politics/detail/9620000113479,"อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,11,2019-11-26,17:55:00
2019-11-06 9:47:00,“สนธิรัตน์” เผยพรรคร่วมต้องคุยกัน หลัง ปชป.เสนอ “มาร์ค” นั่ง กมธ.แก้รัฐธรรมนูญ,https://mgronline.com/politics/detail/9620000106397,"สนธิรัตน์ สนธิจิรวงศ์,อภิสิทธิ์ เวชชาชีวะ,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,11,2019-11-06,9:47:00
2019-06-10 14:20:00,“ผู้กองมาร์ค” ให้ถ้อยคำ-ยื่นเอกสารเพิ่มเลือกตั้งเขต 7 กทม.ส่อไม่โปร่งใส เอื้อ พปชร.,https://mgronline.com/politics/detail/9620000055060,"อภิสิทธิ์ เวชชาชีวะ,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,6,2019-06-10,14:20:00
2019-05-09 18:12:00,เด็กเพื่อไทยดักคอ ปชป.ร่วม พปชร. ยกคลิป “มาร์ค” เคยสัญญาไม่ร่วมสืบทอดอำนาจ,https://mgronline.com/politics/detail/9620000044621,"อภิสิทธิ์ เวชชาชีวะ,พรรคพลังประชารัฐ,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,5,2019-05-09,18:12:00
2019-03-21 17:19:00,“มาร์ค” รับแหวนหมั้นแทนคำสัญญากลับมานั่งนายกฯ ฉะนโยบายข้าว พปชร.ไม่ต่าง พท.,https://mgronline.com/politics/detail/9620000028232,"อภิสิทธิ์ เวชชาชีวะ,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,3,2019-03-21,17:19:00
2019-03-15 18:06:00,“มาร์ค” สงสัย “บิ๊กตู่-พปชร.” เห็นไม่ตรงกันบริหารชาติยังไง ท้าทุกพรรคเปิดข้อมูลรายได้,https://mgronline.com/politics/detail/9620000026098,"พลเอก ประยุทธ์ จันทร์โอชา,อภิสิทธิ์ เวชชาชีวะ,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2562,3,2019-03-15,18:06:00
2019-03-12 13:29:00,โฆษก ปชป.ยันจุดยืน “มาร์ค” ไร้หลุมพราง สวน “ช่อ-อนาคตใหม่” คิดรื้อคดีทักษิณทำไม,https://mgronline.com/politics/detail/9620000024701,"อภิสิทธิ์ เวชชาชีวะ,พรรณิการ์ วานิช,พรรคประชาธิปัตย์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,3,2019-03-12,13:29:00
2019-03-12 13:11:00,“มาร์ค” เอือมโดนบิดเบือนหนุนฝ่าย “แม้ว” ยันไม่เอาทั้ง “บิ๊กตู่-พท.” วอนหยุดใส่ร้าย,https://mgronline.com/politics/detail/9620000024691,"พลเอก ประยุทธ์ จันทร์โอชา,อภิสิทธิ์ เวชชาชีวะ,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2562,3,2019-03-12,13:11:00
