person,count
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,277
พรรคประชาธิปัตย์,39
พรรคเพื่อไทย,33
พลเอก ประวิตร วงษ์สุวรรณ,20
พลเอก ประยุทธ์ จันทร์โอชา,20
อภิสิทธิ์ เวชชาชีวะ,16
ศาลยุติธรรม,12
พรรคอนาคตใหม่-พรรคก้าวไกล,11
คณะกรรมการการเลือกตั้ง,11
ปารีณา ไกรคุปต์,10
วิษณุ เครืองาม,9
ทักษิณ ชินวัตร,9
จุรินทร์ ลักษณวิศิษฏ์,8
ร้อยเอก ธรรมนัส พรหมเผ่า,7
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,7
นิพนธ์ บุญญามณี,6
สิระ เจนจาคะ,6
ศักดิ์สยาม ชิดชอบ,6
ถวิล เปลี่ยนศรี,4
กนกวรรณ วิลาวัลย์,4
เสรี สุวรรณภานนท์,4
พรรคภูมิใจไทย,3
นาวาอากาศเอก อนุดิษฐ์ นาครทรรพ,3
ศาลปกครอง,2
พลเอก เปรม ติณสูลานนท์,2
สาธิต ปิตุเตชะ,2
พรรณิการ์ วานิช,2
อนุทิน ชาญวีรกูล,2
ชลน่าน ศรีแก้ว,2
พรรคสร้างอนาคตไทย,2
ปดิพัทธ์ สันติภาดา,2
พรรคเสรีรวมไทย,2
อมรัตน์ โชคปมิตต์กุล,1
พลเอก ปรีชา จันทร์โอชา,1
ธานี อ่อนละเอียด,1
จิรายุ ห่วงทรัพย์,1
คำนูณ สิทธิสมาน,1
ชัย ชิดชอบ,1
นิคม บุญวิเศษ,1
วิรัตน์ วรศสิริน,1
ผู้ตรวจการแผ่นดิน,1
ธนาธร จึงรุ่งเรืองกิจ,1
สุทิน คลังแสง,1
พรรคพลังประชารัฐ,1
ไพบูลย์ นิติตะวัน,1
ยุทธพงศ์ จรัสเสถียร,1
พลเอก อนุพงษ์ เผ่าจินดา,1
มัลลิกา บุญมีตระกูล มหาสุข,1
