person,count
ทักษิณ ชินวัตร,253
พรรคประชาธิปัตย์,149
พรรคเพื่อไทย,112
อภิสิทธิ์ เวชชาชีวะ,22
คณะกรรมการการเลือกตั้ง,12
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,9
พรรคพลังประชารัฐ,6
พรรคภูมิใจไทย,6
พลเอก ประยุทธ์ จันทร์โอชา,6
จุรินทร์ ลักษณวิศิษฏ์,4
พรรคอนาคตใหม่-พรรคก้าวไกล,3
ศาลปกครอง,3
พลเอก ประวิตร วงษ์สุวรรณ,3
ศาลยุติธรรม,2
อนุทิน ชาญวีรกูล,2
ชัยวุฒิ ธนาคมานุสรณ์,2
ชลน่าน ศรีแก้ว,2
พลเอก อภิรัชต์ คงสมพงษ์,2
สันติ พร้อมพัฒน์,2
ถวิล เปลี่ยนศรี,1
พลเอก สุรยุทธ์ จุลานนท์,1
จิรายุ ห่วงทรัพย์,1
ยุทธพงศ์ จรัสเสถียร,1
มิ่งขวัญ แสงสุวรรณ์,1
ธนกร วังบุญคงชนะ,1
วิษณุ เครืองาม,1
อุตตม สาวนายน,1
ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,1
ธนาธร จึงรุ่งเรืองกิจ,1
สิระ เจนจาคะ,1
รังสิมันต์ โรม,1
ถาวร เสนเนียม,1
พรรคชาติไทยพัฒนา,1
