person,count
พรรคพลังประชารัฐ,459
พลเอก ประยุทธ์ จันทร์โอชา,111
พลเอก ประวิตร วงษ์สุวรรณ,91
พรรคเพื่อไทย,61
พรรคประชาธิปัตย์,50
ร้อยเอก ธรรมนัส พรหมเผ่า,38
คณะกรรมการการเลือกตั้ง,28
พรรคภูมิใจไทย,27
พรรคอนาคตใหม่-พรรคก้าวไกล,22
สนธิรัตน์ สนธิจิรวงศ์,21
สุริยะ จึงรุ่งเรืองกิจ,20
สมศักดิ์ เทพสุทิน,18
อนุทิน ชาญวีรกูล,16
อุตตม สาวนายน,15
นฤมล ภิญโญสินวัฒน์,12
อนุชา นาคาศัย,12
ธนาธร จึงรุ่งเรืองกิจ,11
ชัยวุฒิ ธนาคมานุสรณ์,10
อภิสิทธิ์ เวชชาชีวะ,9
สิระ เจนจาคะ,9
วิษณุ เครืองาม,8
ธนกร วังบุญคงชนะ,8
ไพบูลย์ นิติตะวัน,8
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,7
พลเอก อนุพงษ์ เผ่าจินดา,6
ทักษิณ ชินวัตร,6
ปารีณา ไกรคุปต์,5
พรรคชาติไทยพัฒนา,5
วิรัช รัตนเศรษฐ,5
พลเอก อภิรัชต์ คงสมพงษ์,4
สมคิด จาตุศรีพิทักษ์,4
เทวัญ ลิปตพัลลภ,4
จุรินทร์ ลักษณวิศิษฏ์,4
วราวุธ ศิลปอาชา,4
ชลน่าน ศรีแก้ว,4
สุวิทย์ เมษินทรีย์,3
นิโรธ สุนทรเลขา,3
ปิยบุตร แสงกนกกุล,3
พุทธิพงษ์ ปุณณกันต์,2
พิธา ลิ้มเจริญรัตน์,2
พรรคไทยศรีวิไลย์,2
ณัฏฐพล ทีปสุวรรณ,2
พรรคสร้างอนาคตไทย,2
วีระกร คำประกอบ,2
พรรคเศรษฐกิจไทย,2
ชวน หลีกภัย,2
สุทิน คลังแสง,2
เสรี สุวรรณภานนท์,2
ศรัณย์วุฒิ ศรัณย์เกตุ,2
ศักดิ์สยาม ชิดชอบ,2
สาธิต ปิตุเตชะ,2
สันติ พร้อมพัฒน์,2
กรณ์ จาติกวณิช,2
พรรคเพื่อชาติ,1
มิ่งขวัญ แสงสุวรรณ์,1
พรรคเสรีรวมไทย,1
ถาวร เสนเนียม,1
พรรคไทยรักษาชาติ,1
ชัย ชิดชอบ,1
พรรครวมพลัง,1
สมพงษ์ อมรวิวัฒน์,1
พรรณิการ์ วานิช,1
มงคลกิตติ์ สุขสินธารานนท์,1
นิพนธ์ บุญญามณี,1
พรรคชาติพัฒนา,1
พรรคกล้า,1
ไผ่ ลิกค์,1
ศาลยุติธรรม,1
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,1
คำนูณ สิทธิสมาน,1
รังสิมันต์ โรม,1
สุชาติ ตันเจริญ,1
