person,count
พรรคภูมิใจไทย,292
อนุทิน ชาญวีรกูล,162
พรรคประชาธิปัตย์,50
พรรคเพื่อไทย,29
พรรคพลังประชารัฐ,27
พรรคอนาคตใหม่-พรรคก้าวไกล,23
พลเอก ประยุทธ์ จันทร์โอชา,18
ศักดิ์สยาม ชิดชอบ,18
คณะกรรมการการเลือกตั้ง,15
พลเอก ประวิตร วงษ์สุวรรณ,7
ทักษิณ ชินวัตร,6
พรรคชาติไทยพัฒนา,5
ธนาธร จึงรุ่งเรืองกิจ,5
กนกวรรณ วิลาวัลย์,4
สุริยะ จึงรุ่งเรืองกิจ,4
ร้อยเอก ธรรมนัส พรหมเผ่า,4
ศรีนวล บุญลือ,4
วิษณุ เครืองาม,3
ชัย ชิดชอบ,3
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,3
ชวน หลีกภัย,3
เฉลิมชัย ศรีอ่อน,2
ชาดา ไทยเศรษฐ์,2
จุรินทร์ ลักษณวิศิษฏ์,2
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,2
ศาลปกครอง,2
วิโรจน์ ลักขณาอดิศร,2
พรรคเศรษฐกิจไทย,2
ปิยบุตร แสงกนกกุล,2
พรพิมล ธรรมสาร,2
ชัยวุฒิ ธนาคมานุสรณ์,2
เอกราช ช่างเหลา,2
ผ่องศรี แซ่จึง,2
ธนกร วังบุญคงชนะ,1
สมคิด จาตุศรีพิทักษ์,1
นิกร จำนง,1
อุตตม สาวนายน,1
พรรคเศรษฐกิจใหม่,1
อภิสิทธิ์ เวชชาชีวะ,1
ศาลยุติธรรม,1
สิระ เจนจาคะ,1
สนธิรัตน์ สนธิจิรวงศ์,1
พรรคเพื่อชาติ,1
พลอากาศตรี เฉลิมชัย เครืองาม,1
ศรัณย์วุฒิ ศรัณย์เกตุ,1
จิรวัฒน์ อรัณยกานนท์,1
ณัฐชา บุญไชยอินสวัสดิ์,1
สุทิน คลังแสง,1
วัฒนา ช่างเหลา,1
สำลี รักสุทธี,1
คารม พลพรกลาง,1
