person,count
พรรคอนาคตใหม่-พรรคก้าวไกล,447
คณะกรรมการการเลือกตั้ง,61
พลเอก ประยุทธ์ จันทร์โอชา,44
ธนาธร จึงรุ่งเรืองกิจ,44
พรรคเพื่อไทย,37
อนุทิน ชาญวีรกูล,30
พรรคภูมิใจไทย,23
พรรคพลังประชารัฐ,22
ปิยบุตร แสงกนกกุล,22
พลเอก ประวิตร วงษ์สุวรรณ,18
พรรคประชาธิปัตย์,17
ชวน หลีกภัย,15
พิธา ลิ้มเจริญรัตน์,14
วิษณุ เครืองาม,11
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,11
ร้อยเอก ธรรมนัส พรหมเผ่า,10
ศักดิ์สยาม ชิดชอบ,10
สิระ เจนจาคะ,10
ธนกร วังบุญคงชนะ,10
พรรณิการ์ วานิช,8
ศาลรัฐธรรมนูญ,7
อมรัตน์ โชคปมิตต์กุล,7
ศรีนวล บุญลือ,7
วราวุธ ศิลปอาชา,6
จุรินทร์ ลักษณวิศิษฏ์,6
นิพนธ์ บุญญามณี,4
ณัฏฐพล ทีปสุวรรณ,4
คารม พลพรกลาง,4
วิโรจน์ ลักขณาอดิศร,4
สนธิรัตน์ สนธิจิรวงศ์,4
พรรคชาติไทยพัฒนา,4
อภิสิทธิ์ เวชชาชีวะ,3
ทักษิณ ชินวัตร,3
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,3
สุทิน คลังแสง,3
รังสิมันต์ โรม,3
สุชาติ ชมกลิ่น,2
พลเอก อนุพงษ์ เผ่าจินดา,2
กวินนาถ ตาคีย์,2
ดอน ปรมัตถ์วินัย,2
พลเอก อภิรัชต์ คงสมพงษ์,2
มงคลกิตติ์ สุขสินธารานนท์,2
สันติ พร้อมพัฒน์,2
ณัฐชา บุญไชยอินสวัสดิ์,2
สุริยะ จึงรุ่งเรืองกิจ,2
ไพบูลย์ นิติตะวัน,2
กนกวรรณ วิลาวัลย์,2
ปดิพัทธ์ สันติภาดา,2
ปารีณา ไกรคุปต์,2
เสรี สุวรรณภานนท์,2
ศาลปกครอง,2
ศาลยุติธรรม,1
พรรคไทยรักษาชาติ,1
พรรคไทยศรีวิไลย์,1
พรรคเสรีรวมไทย,1
พิจารณ์ เชาวพัฒนวงศ์,1
สมชาย แสวงการ,1
นิรามาน สุไลมาน,1
ธานี อ่อนละเอียด,1
ยุทธพงศ์ จรัสเสถียร,1
จารึก ศรีอ่อน,1
พรรคไทยภักดี,1
อุตตม สาวนายน,1
คำนูณ สิทธิสมาน,1
สุรเชษฐ์ ประวีณวงศ์วุฒิ,1
นิกร จำนง,1
ศรัณย์วุฒิ ศรัณย์เกตุ,1
จิรวัฒน์ อรัณยกานนท์,1
ธีรรัตน์ สำเร็จวาณิชย์,1
สำลี รักสุทธี,1
