person,count
พลเอก ประยุทธ์ จันทร์โอชา,506
พรรคพลังประชารัฐ,111
พรรคเพื่อไทย,80
พลเอก ประวิตร วงษ์สุวรรณ,48
พรรคอนาคตใหม่-พรรคก้าวไกล,44
พรรคประชาธิปัตย์,33
อนุทิน ชาญวีรกูล,32
ธนกร วังบุญคงชนะ,23
พลเอก เปรม ติณสูลานนท์,20
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,20
พลเอก อภิรัชต์ คงสมพงษ์,18
พรรคภูมิใจไทย,18
คณะกรรมการการเลือกตั้ง,13
ร้อยเอก ธรรมนัส พรหมเผ่า,12
จุรินทร์ ลักษณวิศิษฏ์,10
ศาลรัฐธรรมนูญ,8
ชัยวุฒิ ธนาคมานุสรณ์,8
สันติ พร้อมพัฒน์,8
พรรคชาติไทยพัฒนา,7
วิษณุ เครืองาม,7
พรรคไทยศรีวิไลย์,7
อุตตม สาวนายน,6
ทักษิณ ชินวัตร,6
อภิสิทธิ์ เวชชาชีวะ,6
สนธิรัตน์ สนธิจิรวงศ์,5
ธนาธร จึงรุ่งเรืองกิจ,5
ชลน่าน ศรีแก้ว,5
พลเอก อนุพงษ์ เผ่าจินดา,5
อนุชา นาคาศัย,4
พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,4
ชวน หลีกภัย,4
พลตำรวจเอก จักรทิพย์ ชัยจินดา,4
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,4
พรรคเสรีรวมไทย,4
สุริยะ จึงรุ่งเรืองกิจ,4
พรรคเศรษฐกิจไทย,3
ชัย ชิดชอบ,3
ผู้ตรวจการแผ่นดิน,3
พลอากาศเอก แอร์บูล สุทธิวรรณ,2
สุทิน คลังแสง,2
ไพบูลย์ นิติตะวัน,2
พรรคชาติพัฒนา,2
ศาลปกครอง,2
สมคิด จาตุศรีพิทักษ์,2
วีระกร คำประกอบ,2
วราวุธ ศิลปอาชา,2
พรรคพลังท้องถิ่นไท,2
เทวัญ ลิปตพัลลภ,2
กนกวรรณ วิลาวัลย์,2
อมรัตน์ โชคปมิตต์กุล,2
ณัฐวุฒิ บัวประทุม,2
ชาดา ไทยเศรษฐ์,1
พลเอก ประยุทธ์ จันทร์โอชาพรรคประชาธิปัตย์,1
รังสิมันต์ โรม,1
สุวิทย์ เมษินทรีย์,1
สุชาติ ตันเจริญ,1
สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,1
พรรคไทยรักษาชาติ,1
กรณ์ จาติกวณิช,1
สิระ เจนจาคะ,1
เสรี สุวรรณภานนท์,1
ปดิพัทธ์ สันติภาดา,1
พิจารณ์ เชาวพัฒนวงศ์,1
มิ่งขวัญ แสงสุวรรณ์,1
พลเอก สุรยุทธ์ จุลานนท์,1
ปารีณา ไกรคุปต์,1
พรรณิการ์ วานิช,1
นิพนธ์ บุญญามณี,1
พิธา ลิ้มเจริญรัตน์,1
พรรคกล้า,1
ศรัณย์วุฒิ ศรัณย์เกตุ,1
พรรคเพื่อชาติ,1
พรรคเศรษฐกิจใหม่,1
ศาลยุติธรรม,1
