person,count
สิระ เจนจาคะ,51
พรรคเพื่อไทย,16
พรรคอนาคตใหม่-พรรคก้าวไกล,10
คณะกรรมการการเลือกตั้ง,9
พรรคพลังประชารัฐ,9
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,6
พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,5
พลเอก ประวิตร วงษ์สุวรรณ,4
รังสิมันต์ โรม,3
วิษณุ เครืองาม,3
อนุทิน ชาญวีรกูล,2
ธนาธร จึงรุ่งเรืองกิจ,2
ศาลรัฐธรรมนูญ,2
พลเอก ประยุทธ์ จันทร์โอชา,1
ปารีณา ไกรคุปต์,1
ไผ่ ลิกค์,1
พรรคประชาธิปัตย์,1
ไพบูลย์ นิติตะวัน,1
พรรณิการ์ วานิช,1
ชวน หลีกภัย,1
เสรี สุวรรณภานนท์,1
อมรัตน์ โชคปมิตต์กุล,1
ศาลยุติธรรม,1
พรรคภูมิใจไทย,1
ศาลปกครอง,1
ทักษิณ ชินวัตร,1
ปิยบุตร แสงกนกกุล,1
พิธา ลิ้มเจริญรัตน์,1
อุตตม สาวนายน,1
สนธิรัตน์ สนธิจิรวงศ์,1
