person,count
อภิสิทธิ์ เวชชาชีวะ,219
พรรคประชาธิปัตย์,111
พรรคเพื่อไทย,97
ทักษิณ ชินวัตร,22
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,16
คณะกรรมการการเลือกตั้ง,10
พรรคพลังประชารัฐ,9
พลเอก ประยุทธ์ จันทร์โอชา,6
ศาลยุติธรรม,5
พรรคอนาคตใหม่-พรรคก้าวไกล,3
พลเอก ประวิตร วงษ์สุวรรณ,3
พลเอก อภิรัชต์ คงสมพงษ์,2
พรรคกล้า,2
จุรินทร์ ลักษณวิศิษฏ์,2
คำนูณ สิทธิสมาน,2
นิคม บุญวิเศษ,1
จุติ ไกรฤกษ์,1
ศาลปกครอง,1
พลเอก เปรม ติณสูลานนท์,1
ถาวร เสนเนียม,1
ผู้ตรวจการแผ่นดิน,1
จิรายุ ห่วงทรัพย์,1
พรรคภูมิใจไทย,1
ศาลรัฐธรรมนูญ,1
พรรณิการ์ วานิช,1
พรรคชาติไทยพัฒนา,1
สนธิรัตน์ สนธิจิรวงศ์,1
ชวน หลีกภัย,1
เอนก เหล่าธรรมทัศน์,1
ธนาธร จึงรุ่งเรืองกิจ,1
องอาจ คล้ามไพบูลย์,1
