date_time,title,link,person,groups,sub_categories,categories,score,year,month
2022-09-13 14:21:00,“เสรีพิศุทธ์” ยกตัวอย่าง “ป๋าเปรม” จี้ “บิ๊กตู่” ลาออกก่อนศาล รธน.วินิจฉัยปมวาระ 8 ปี เตือนดันทุรัง อาจจบชีวิตการเมือง,https://mgronline.com/politics/detail/9650000087934,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","องคมนตรี,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,9
2021-07-13 15:04:00,ส.ส.ชทพ.ชี้สถานการณ์ทำให้นึกถึงคำพูด “ป๋าเปรม” บอก “ตู่ใช้กองหนุนเกือบหมดแล้ว”,https://mgronline.com/politics/detail/9640000068220,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,พรรคชาติไทยพัฒนา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,พรรคการเมือง,","องคมนตรี,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,7
2020-01-07 16:19:00,“บิ๊กตู่-บิ๊กป้อม” ร่วมยินดี “บิ๊กแอ้ด” นั่งประธานองคมนตรี รับพรให้กำลังใจ ฝากบ้านเมือง,https://mgronline.com/politics/detail/9630000001823,"พลเอก สุรยุทธ์ จุลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,1
2019-09-04 15:29:00,นายกฯ เผยพระราชกระแส ร.๑๐ รับสั่งดูแล ปชช.ให้ดีที่สุด ถกผู้ว่าฯ จัดทำพื้นที่รับน้ำ,https://mgronline.com/politics/detail/9620000085000,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,9
2019-08-08 15:17:00,สภาฯ ผ่านร่าง พ.ร.บ.เหรียญ ร.๑๐ สามวาระรวด แต่พบปัญหาเครื่องลงคะแนน,https://mgronline.com/politics/detail/9620000075595,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,8
2019-06-26 14:45:00,“ประวิตร” สั่งจัดงานเฉลิมพระเกียรติ ร.๑๐ ติดตามการเผยแพร่ข้อมูลเท็จโซเชียลฯ,https://mgronline.com/politics/detail/9620000060785,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก ประวิตร วงษ์สุวรรณ,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,6
2019-05-28 16:19:00,"""บิ๊กตู่"" เผย ครม.ยืนไว้อาลัย ""ป๋าเปรม"" ขอรำลึกสิ่งที่ทำประโยชน์ พร้อมสานต่อ",https://mgronline.com/politics/detail/9620000050870,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,5
2019-05-28 14:43:00,สะเทือนใจ! “ธนาธร” โยนบาป ระบบรัฐยุค “พล.อ.เปรม” ขวางรัฐสวัสดิการ,https://mgronline.com/politics/detail/9620000050809,"พลเอก เปรม ติณสูลานนท์,ธนาธร จึงรุ่งเรืองกิจ,","ประธานคณะองคมนตรี,ส.ส. ชุดที่ 25,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,5
2019-05-27 10:59:00,“ลุงป้อม” ใจหาย สิ้น “ป๋าเปรม” กระทบขวัญกำลังใจทหาร ยกเป็นตัวอย่างซื่อสัตย์สุจริต-จงรักภักดี,https://mgronline.com/politics/detail/9620000050259,"พลเอก เปรม ติณสูลานนท์,พลเอก ประวิตร วงษ์สุวรรณ,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,5
2019-05-26 20:21:00,"""บิ๊กตู่"" แสดงความอาลัย ป๋าเปรม"" ยกย่องเป็นคนดีแห่งแผ่นดิน",https://mgronline.com/politics/detail/9620000050155,"พลเอก เปรม ติณสูลานนท์,พลเอก ประยุทธ์ จันทร์โอชา,","ประธานคณะองคมนตรี,ครม. ชุดที่ 62,","องคมนตรี,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,5
