date_time,title,link,person,groups,sub_categories,categories,score,year,month
2022-10-31 15:07:00,กกต.ย้ำผู้สมัครส.ส.-สมาชิกพรรค ต้องปฎิบัติตามกฎเหล็ก หลังก้าวไกลหารือช่วยภัยพิบัติปชช.,https://mgronline.com/politics/detail/9650000103975,"คณะกรรมการการเลือกตั้ง,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
2022-10-29 16:56:00,พปชร.แจงรับเงินบริจาค 3 ล้านบาท ถูกต้อง ส่งรายงานแจ้ง กกต.แล้ว มั่นใจไม่โดนยุบพรรค,https://mgronline.com/politics/detail/9650000103481,"คณะกรรมการการเลือกตั้ง,พรรคพลังประชารัฐ,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
2022-10-18 14:29:00,“ไทยภักดี” ร้อง กกต.ยุบก้าวไกล ชี้ ชูนโยบาย แก้ ม.112-ม.116 พระสงฆ์มีสิทธิเลือกตั้ง เข้าข่ายเป็นปฏิปักษ์ต่อการปกครอง,https://mgronline.com/politics/detail/9650000099683,"คณะกรรมการการเลือกตั้ง,พรรคอนาคตใหม่-พรรคก้าวไกล,พรรคไทยภักดี,","กกต.,พรรคการเมือง,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
2022-10-03 14:28:00,"""ชวน"" ส่งคู่มือกฏเหล็กก่อนเลือกตั้งให้ส.ส. ชี้เป็นอำนาจกกต.ผ่อนปรนช่วยน้ำท่วม จี้ระวังเป็นเหยื่อ",https://mgronline.com/politics/detail/9650000094801,"คณะกรรมการการเลือกตั้ง,ชวน หลีกภัย,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
2022-09-30 11:53:00,เริ่มแล้ว! ศาลรธน.พิจารณาคดี วาระ 8 ปี “บิ๊กตู่” ก่อนอ่านคำวินิจฉัยบ่ายนี้,https://mgronline.com/politics/detail/9650000093902,"ศาลรัฐธรรมนูญ,พลเอก ประยุทธ์ จันทร์โอชา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-29 14:21:00,“จุรินทร์ ออนทัวร์ กระบี่-พังงา” 30 ก.ย.- 3 ต.ค.ติวเข้ม กฎเหล็ก กกต.ให้ ส.ส.ปชป.ปฏิบัติ ที่เกาะลันตา,https://mgronline.com/politics/detail/9650000093547,"คณะกรรมการการเลือกตั้ง,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์ ลักษณวิศิษฏ์,พรรคประชาธิปัตย์,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-28 17:31:00,“บิ๊กป้อม” แจกเสื้อ ส.ส.หน้าตัวเอง พร้อมวลีเด็ด “ใจบันดาลแรง” กำชับลูกพรรคยึดตามกฎ กกต.,https://mgronline.com/politics/detail/9650000093269,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-27 11:38:00,ฝ่ายค้านยื่น ป.ป.ช.ฟัน “บิ๊กตู่-จุรินทร์” ทุจริตหน้าที่ไม่ยับยั้งความเสียหายรัฐ ขู่ร้องอีกหลายสำนวน,https://mgronline.com/politics/detail/9650000092640,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประยุทธ์ จันทร์โอชา,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์ ลักษณวิศิษฏ์,","ป.ป.ช.,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,9
2022-09-26 18:46:00,กกต.สอบเบื้องต้นป้ายต้อนรับ “บิ๊กป้อม” อาจไม่เข้าข่ายแฝงหาเสียง พร้อมถกหาแนวทางชัดเจน,https://mgronline.com/politics/detail/9650000092488,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-26 14:04:00,“พปชร.” นัด ส.ส.ติวเข้ม กฎเหล็ก กกต. 28 ก.ย.นี้ ลั่นใครจะร้องหรือโจมตี เป็นสิทธิส่วนบุคคล,https://mgronline.com/politics/detail/9650000092360,"คณะกรรมการการเลือกตั้ง,พรรคพลังประชารัฐ,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-25 13:29:00,“ประวิตร” ปัดเล่นการเมืองเยือนเพชรบูรณ์ ย้อนสื่อชาวบ้านขึ้นป้ายรับทำได้ไหม ไม่กังวลระเบียบ กกต.,https://mgronline.com/politics/detail/9650000092033,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-22 18:21:00,“นริศร” อดีต ส.ส.พท.ถูกศาลฎีกาฯ สั่งจำคุก 16 เดือน ไม่รอลงอาญา เซ่นเสียบบัตรแทนกันปี 56,https://mgronline.com/politics/detail/9650000091261,"ศาลยุติธรรม,พรรคเพื่อไทย,","ศาลยุติธรรม,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-22 13:55:00,“บิ๊กป้อม” ฟุ้งพปชร.ให้กำเนิด “มาดามเดียร์” บอกตอนอยู่ด้วยตนดูแลอย่างดี บอกไม่รู้กกต.วางไทม์ไลน์เลือกตั้งจะเป็นไปตามนั้นหรือไม่,https://mgronline.com/politics/detail/9650000091126,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,พรรคพลังประชารัฐ,","กกต.,ครม. ชุดที่ 62,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
2022-09-07 11:58:00,ศาลปกครองสั่ง “กทม.- กรุงเทพธนาคม” จ่ายหนี้ค่าจ้างเดินรถ BTS รวมกว่า 1.2 หมื่นล้านบาท ภายใน 180 วัน,https://mgronline.com/politics/detail/9650000085853,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2022,9
