year,month,plus,count_plus,minus,count_minus
2014,1,1.0,1.0,,
2017,8,1.0,1.0,,
2017,9,1.0,1.0,,
2017,11,1.0,1.0,,
2018,7,3.0,3.0,,
2018,9,2.0,2.0,,
2018,10,5.0,5.0,,
2018,11,2.0,2.0,,
2018,12,2.0,2.0,,
2019,1,4.0,4.0,,
2019,2,3.0,3.0,-3.0,3.0
2019,3,5.0,5.0,,
2019,4,3.0,3.0,-1.0,1.0
2019,5,2.0,2.0,,
2019,6,2.0,2.0,,
2019,7,3.0,3.0,,
2019,8,3.0,3.0,-1.0,1.0
2019,10,10.0,10.0,,
2019,11,1.0,1.0,,
2019,12,2.0,2.0,,
2020,1,1.0,1.0,,
2020,2,2.0,2.0,,
2020,8,1.0,1.0,-1.0,1.0
2020,9,3.0,3.0,,
2020,12,1.0,1.0,,
2021,3,1.0,1.0,,
2021,11,5.0,5.0,,
2022,2,1.0,1.0,,
2022,10,1.0,1.0,,
2014,4,,,-1.0,1.0
2021,5,,,-1.0,1.0
