year,month,plus,count_plus,minus,count_minus
2011,7,13.0,13.0,-18.0,18.0
2011,8,12.0,12.0,-34.0,34.0
2011,9,14.0,14.0,-35.0,35.0
2011,10,3.0,3.0,-27.0,27.0
2011,11,7.0,7.0,-32.0,32.0
2011,12,16.0,16.0,-39.0,39.0
2012,1,15.0,15.0,-45.0,45.0
2012,2,15.0,15.0,-30.0,30.0
2012,3,16.0,16.0,-38.0,38.0
2012,4,25.0,25.0,-16.0,16.0
2012,5,23.0,23.0,-31.0,31.0
2012,6,11.0,11.0,-46.0,46.0
2012,7,12.0,12.0,-36.0,36.0
2012,8,15.0,15.0,-48.0,48.0
2012,9,7.0,7.0,-41.0,41.0
2012,10,8.0,8.0,-34.0,34.0
2012,11,19.0,19.0,-39.0,39.0
2012,12,7.0,7.0,-26.0,26.0
2013,1,13.0,13.0,-36.0,36.0
2013,2,6.0,6.0,-32.0,32.0
2013,3,12.0,12.0,-27.0,27.0
2013,4,13.0,13.0,-34.0,34.0
2013,5,14.0,14.0,-43.0,43.0
2013,6,15.0,15.0,-35.0,35.0
2013,7,17.0,17.0,-38.0,38.0
2013,8,17.0,17.0,-43.0,43.0
2013,9,19.0,19.0,-49.0,49.0
2013,10,12.0,12.0,-41.0,41.0
2013,11,15.0,15.0,-28.0,28.0
2013,12,17.0,17.0,-42.0,42.0
2014,1,10.0,10.0,-17.0,17.0
2014,2,9.0,9.0,-34.0,34.0
2014,3,19.0,19.0,-43.0,43.0
2014,4,16.0,16.0,-34.0,34.0
2014,5,16.0,16.0,-20.0,20.0
2014,6,4.0,4.0,-2.0,2.0
2014,7,3.0,3.0,-3.0,3.0
2014,8,4.0,4.0,-4.0,4.0
2014,9,2.0,2.0,-3.0,3.0
2014,10,4.0,4.0,-6.0,6.0
2014,11,2.0,2.0,-2.0,2.0
2014,12,6.0,6.0,-3.0,3.0
2015,1,2.0,2.0,-1.0,1.0
2015,2,3.0,3.0,-4.0,4.0
2015,3,6.0,6.0,-1.0,1.0
2015,4,1.0,1.0,-2.0,2.0
2015,5,3.0,3.0,-7.0,7.0
2015,6,2.0,2.0,-1.0,1.0
2015,7,2.0,2.0,-3.0,3.0
2015,8,2.0,2.0,-7.0,7.0
2015,9,5.0,5.0,-7.0,7.0
2015,10,2.0,2.0,-6.0,6.0
2015,11,2.0,2.0,-7.0,7.0
2015,12,2.0,2.0,-9.0,9.0
2016,1,1.0,1.0,-7.0,7.0
2016,2,4.0,4.0,-2.0,2.0
2016,3,2.0,2.0,-7.0,7.0
2016,4,2.0,2.0,-5.0,5.0
2016,6,1.0,1.0,-4.0,4.0
2016,7,1.0,1.0,-7.0,7.0
2016,8,7.0,7.0,-5.0,5.0
2016,9,6.0,6.0,-3.0,3.0
2016,10,1.0,1.0,-1.0,1.0
2016,12,1.0,1.0,-3.0,3.0
2017,1,7.0,7.0,-3.0,3.0
2017,2,2.0,2.0,-5.0,5.0
2017,3,1.0,1.0,-1.0,1.0
2017,4,2.0,2.0,-4.0,4.0
2017,6,2.0,2.0,-8.0,8.0
2017,7,9.0,9.0,-5.0,5.0
2017,8,8.0,8.0,-4.0,4.0
2017,9,12.0,12.0,-6.0,6.0
2017,10,1.0,1.0,-4.0,4.0
2017,11,4.0,4.0,-5.0,5.0
2017,12,3.0,3.0,-12.0,12.0
2018,1,6.0,6.0,-11.0,11.0
2018,2,4.0,4.0,-5.0,5.0
2018,3,6.0,6.0,-7.0,7.0
2018,4,1.0,1.0,-10.0,10.0
2018,5,6.0,6.0,-6.0,6.0
2018,6,6.0,6.0,-6.0,6.0
2018,7,9.0,9.0,-3.0,3.0
2018,8,3.0,3.0,-3.0,3.0
2018,9,5.0,5.0,-6.0,6.0
2018,10,15.0,15.0,-5.0,5.0
2018,11,26.0,26.0,-20.0,20.0
2018,12,17.0,17.0,-16.0,16.0
2019,1,21.0,21.0,-8.0,8.0
2019,2,21.0,21.0,-15.0,15.0
2019,3,34.0,34.0,-23.0,23.0
2019,4,16.0,16.0,-13.0,13.0
2019,5,45.0,45.0,-36.0,36.0
2019,6,40.0,40.0,-17.0,17.0
2019,7,29.0,29.0,-9.0,9.0
2019,8,20.0,20.0,-3.0,3.0
2019,9,21.0,21.0,-13.0,13.0
2019,10,37.0,37.0,-12.0,12.0
2019,11,31.0,31.0,-9.0,9.0
2019,12,43.0,43.0,-12.0,12.0
2020,1,34.0,34.0,-14.0,14.0
2020,2,47.0,47.0,-26.0,26.0
2020,3,15.0,15.0,-12.0,12.0
2020,4,6.0,6.0,-5.0,5.0
2020,5,4.0,4.0,-13.0,13.0
2020,6,20.0,20.0,-15.0,15.0
2020,7,20.0,20.0,-19.0,19.0
2020,8,18.0,18.0,-24.0,24.0
2020,9,13.0,13.0,-23.0,23.0
2020,10,21.0,21.0,-14.0,14.0
2020,11,17.0,17.0,-9.0,9.0
2020,12,16.0,16.0,-8.0,8.0
2021,1,10.0,10.0,-8.0,8.0
2021,2,22.0,22.0,-24.0,24.0
2021,3,24.0,24.0,-10.0,10.0
2021,4,7.0,7.0,-17.0,17.0
2021,5,7.0,7.0,-8.0,8.0
