year,month,plus,count_plus,minus,count_minus
2011,8,1.0,1.0,,
2011,9,1.0,1.0,,
2012,1,1.0,1.0,,
2012,2,2.0,2.0,,
2012,10,1.0,1.0,,
2012,12,1.0,1.0,,
2014,8,3.0,3.0,,
2014,9,1.0,1.0,,
2014,10,2.0,2.0,,
2014,12,4.0,4.0,,
2015,1,3.0,3.0,,
2015,2,2.0,2.0,,
2015,3,2.0,2.0,,
2015,4,2.0,2.0,,
2015,7,1.0,1.0,,
2015,8,2.0,2.0,,
2015,9,4.0,4.0,,
2015,10,3.0,3.0,,
2015,11,1.0,1.0,,
2015,12,2.0,2.0,,
2016,3,2.0,2.0,,
2016,8,5.0,5.0,,
2016,12,2.0,2.0,,
2017,1,1.0,1.0,,
2017,4,3.0,3.0,,
2017,6,1.0,1.0,,
2017,8,2.0,2.0,,
2017,12,2.0,2.0,,
2018,1,1.0,1.0,,
2018,4,2.0,2.0,,
2018,7,1.0,1.0,,
2018,9,1.0,1.0,,
2018,12,2.0,2.0,,
2019,1,4.0,4.0,,
2019,2,2.0,2.0,-3.0,3.0
2019,3,1.0,1.0,-2.0,2.0
2019,4,2.0,2.0,,
2019,5,5.0,5.0,-1.0,1.0
2019,6,1.0,1.0,,
2019,8,1.0,1.0,,
2019,9,1.0,1.0,,
2020,1,1.0,1.0,,
2012,4,,,-3.0,3.0
2013,4,,,-1.0,1.0
2013,7,,,-1.0,1.0
2013,8,,,-2.0,2.0
2013,10,,,-1.0,1.0
2014,4,,,-2.0,2.0
2021,7,,,-1.0,1.0
2022,9,,,-1.0,1.0
