,date_time,title,link,person,groups,sub_categories,categories,score,year,month
13,2022-10-31 15:07:00,กกต.ย้ำผู้สมัครส.ส.-สมาชิกพรรค ต้องปฎิบัติตามกฎเหล็ก หลังก้าวไกลหารือช่วยภัยพิบัติปชช.,https://mgronline.com/politics/detail/9650000103975,"คณะกรรมการการเลือกตั้ง,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
20,2022-10-29 16:56:00,พปชร.แจงรับเงินบริจาค 3 ล้านบาท ถูกต้อง ส่งรายงานแจ้ง กกต.แล้ว มั่นใจไม่โดนยุบพรรค,https://mgronline.com/politics/detail/9650000103481,"คณะกรรมการการเลือกตั้ง,พรรคพลังประชารัฐ,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
68,2022-10-18 14:29:00,“ไทยภักดี” ร้อง กกต.ยุบก้าวไกล ชี้ ชูนโยบาย แก้ ม.112-ม.116 พระสงฆ์มีสิทธิเลือกตั้ง เข้าข่ายเป็นปฏิปักษ์ต่อการปกครอง,https://mgronline.com/politics/detail/9650000099683,"คณะกรรมการการเลือกตั้ง,พรรคอนาคตใหม่-พรรคก้าวไกล,พรรคไทยภักดี,","กกต.,พรรคการเมือง,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
123,2022-10-03 14:28:00,"""ชวน"" ส่งคู่มือกฏเหล็กก่อนเลือกตั้งให้ส.ส. ชี้เป็นอำนาจกกต.ผ่อนปรนช่วยน้ำท่วม จี้ระวังเป็นเหยื่อ",https://mgronline.com/politics/detail/9650000094801,"คณะกรรมการการเลือกตั้ง,ชวน หลีกภัย,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
152,2022-09-29 14:21:00,“จุรินทร์ ออนทัวร์ กระบี่-พังงา” 30 ก.ย.- 3 ต.ค.ติวเข้ม กฎเหล็ก กกต.ให้ ส.ส.ปชป.ปฏิบัติ ที่เกาะลันตา,https://mgronline.com/politics/detail/9650000093547,"คณะกรรมการการเลือกตั้ง,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์ ลักษณวิศิษฏ์,พรรคประชาธิปัตย์,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
156,2022-09-28 17:31:00,“บิ๊กป้อม” แจกเสื้อ ส.ส.หน้าตัวเอง พร้อมวลีเด็ด “ใจบันดาลแรง” กำชับลูกพรรคยึดตามกฎ กกต.,https://mgronline.com/politics/detail/9650000093269,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
168,2022-09-26 18:46:00,กกต.สอบเบื้องต้นป้ายต้อนรับ “บิ๊กป้อม” อาจไม่เข้าข่ายแฝงหาเสียง พร้อมถกหาแนวทางชัดเจน,https://mgronline.com/politics/detail/9650000092488,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
170,2022-09-26 14:04:00,“พปชร.” นัด ส.ส.ติวเข้ม กฎเหล็ก กกต. 28 ก.ย.นี้ ลั่นใครจะร้องหรือโจมตี เป็นสิทธิส่วนบุคคล,https://mgronline.com/politics/detail/9650000092360,"คณะกรรมการการเลือกตั้ง,พรรคพลังประชารัฐ,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
172,2022-09-25 13:29:00,“ประวิตร” ปัดเล่นการเมืองเยือนเพชรบูรณ์ ย้อนสื่อชาวบ้านขึ้นป้ายรับทำได้ไหม ไม่กังวลระเบียบ กกต.,https://mgronline.com/politics/detail/9650000092033,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
181,2022-09-22 13:55:00,“บิ๊กป้อม” ฟุ้งพปชร.ให้กำเนิด “มาดามเดียร์” บอกตอนอยู่ด้วยตนดูแลอย่างดี บอกไม่รู้กกต.วางไทม์ไลน์เลือกตั้งจะเป็นไปตามนั้นหรือไม่,https://mgronline.com/politics/detail/9650000091126,"คณะกรรมการการเลือกตั้ง,พลเอก ประวิตร วงษ์สุวรรณ,พรรคพลังประชารัฐ,","กกต.,ครม. ชุดที่ 62,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
226,2022-08-22 16:53:00,กกต.ย้ำ ไม่ส่งปม 8 ปี นายกฯ เหตุสภายื่นแล้ว และคำวินิจฉัยศาล รธน.ผูกพันทุกองค์กร,https://mgronline.com/politics/detail/9650000080482,"คณะกรรมการการเลือกตั้ง,","กกต.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",1.0,2022,8
227,2022-08-22 15:33:00,กกต.ตีตกคำร้อง 8 ปี “บิ๊กตู่” นั่งนายกฯ เหตุ ส.ส.ยื่นศาล รธน.วินิจฉัยแล้ว,https://mgronline.com/politics/detail/9650000080433,"คณะกรรมการการเลือกตั้ง,พลเอก ประยุทธ์ จันทร์โอชา,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,8
245,2022-08-08 12:39:00,เสรีรวมไทย ยื่น กกต. สอบ 7 พรรคเล็กรับกล้วย เข้าข่ายถูกยุบพรรค มั่นใจหลักฐานแน่น เหน็บ กกต.อิสระจริงต้องชงศาล รธน.ยุบทิ้ง,https://mgronline.com/politics/detail/9650000075384,"คณะกรรมการการเลือกตั้ง,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,8
266,2022-07-25 14:26:00,กกต.ไฟเขียวรับรอง “เดชทวี” จากเสรีรวมไทย เป็น ส.ส.ลำปางเขต 4 แล้ว,https://mgronline.com/politics/detail/9650000070761,"คณะกรรมการการเลือกตั้ง,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
331,2022-06-22 11:25:00,ป.ป.ช.เปิดเซฟ “แสวง บุญมี” เลขาฯ กกต.ป้ายแดง อู้ฟู่ 47 ล้าน ฟันรายได้ต่อปี 2 ล้าน,https://mgronline.com/politics/detail/9650000059266,"คณะกรรมการการเลือกตั้ง,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","กกต.,ป.ป.ช.,","สายองค์กรอิสระ,สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,",-1.0,2022,6
333,2022-06-20 14:35:00,ตีตกยุบก้าวไกล! กกต.ชี้หนุนม็อบ-แก้ ม.112 เป็นสิทธิตาม รธน.ไร้หลักฐานให้เงินเป็นแกนนำปลุกระดม,https://mgronline.com/politics/detail/9650000058569,"คณะกรรมการการเลือกตั้ง,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,6
339,2022-06-16 11:01:00,“เสรีรวมไทย” ยื่น ป.ป.ช.สอบ กกต.โดดลงมติใบส้ม “สุรพล” ชี้เข้าข่ายผิดจริยธรรมร้ายแรง,https://mgronline.com/politics/detail/9650000057218,"คณะกรรมการการเลือกตั้ง,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,เสรี สุวรรณภานนท์,พรรคเสรีรวมไทย,","กกต.,ป.ป.ช.,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายองค์กรอิสระ,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,6
361,2022-06-01 15:32:00,“อมรัตน์” จี้ตัดงบศาล รธน. 100% เหตุไม่เข้าใจปฏิรูป-ล้มล้าง อัด “บิ๊กตู่” ติดใจวิถีโจร ตั้งงบ กกต.น้อย,https://mgronline.com/politics/detail/9650000052147,"คณะกรรมการการเลือกตั้ง,พลเอก ประยุทธ์ จันทร์โอชา,อมรัตน์ โชคปมิตต์กุล,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,6
365,2022-05-31 16:11:00,“บิ๊กตู่” ยินดี กกต.รับรอง “ชัชชาติ” ปัดโต้กลับฝ่ายค้านแจงงบ ให้ ปชช.ตัดสินกล่าวหารุนแรงหรือไม่,https://mgronline.com/politics/detail/9650000051740,"คณะกรรมการการเลือกตั้ง,พลเอก ประยุทธ์ จันทร์โอชา,","กกต.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,5
366,2022-05-31 12:00:00,“หมอชลน่าน” ชี้ “ชัชชาติฟีเวอร์” คู่เทียบภาวะผู้นำ “บิ๊กตู่” แนะ กกต.อย่าใช้ประเด็นนี้ไม่รับรอง เพราะคนรับกรรมคือนายกฯ,https://mgronline.com/politics/detail/9650000051614,"คณะกรรมการการเลือกตั้ง,พลเอก ประยุทธ์ จันทร์โอชา,ชลน่าน ศรีแก้ว,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,5
368,2022-05-30 16:45:00,ลุ้นต่อพรุ่งนี้! กกต.ยังไม่ประกาศรับรอง “ชัชชาติ” นั่งผู้ว่าฯ กทม.ขอเช็กปมป้ายหาเสียงให้รอบคอบ,https://mgronline.com/politics/detail/9650000051380,"คณะกรรมการการเลือกตั้ง,","กกต.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",1.0,2022,5
378,2022-05-19 17:08:00,กกต.ยื้อยื่นอุทธรณ์คดีแจกใบส้ม อดีต ส.ส.เชียงใหม่ พท.ขอยืดเวลา 1 เดือน รวบรวมประเด็น,https://mgronline.com/politics/detail/9650000047617,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,5
404,2022-04-22 11:35:00,“วิโรจน์” ควง “พีรพล” จี้ กกต.ทบทวนตัดสิทธิการเป็นผู้สมัคร ส.ก.ก้าวไกล ขู่ไม่คืนสิทธิเตรียมฟ้องอาญา-แพ่ง เอาผิดซ้ำรอยเลือกตั้งเชียงใหม่,https://mgronline.com/politics/detail/9650000038295,"คณะกรรมการการเลือกตั้ง,วิโรจน์ ลักขณาอดิศร,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,4
405,2022-04-21 11:54:00,“อุตตม” เฮ กกต.ยกคำร้องปมเป็นหัวหน้าพรรค ส่ง “สิระ เจนจาคะ” ที่ขาดคุณสมบัติ ลงสมัครรับเลือกตั้งปี 62,https://mgronline.com/politics/detail/9650000037927,"คณะกรรมการการเลือกตั้ง,อุตตม สาวนายน,สิระ เจนจาคะ,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
406,2022-04-20 22:01:00,ศาลสั่ง กกต.ชดใช้ “อดีต ส.ส.เชียงใหม่ พท.” รวม 70 ล้าน เหตุแจกใบส้มไม่รอบคอบ,https://mgronline.com/politics/detail/9650000037801,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,4
429,2022-03-23 15:29:00,“สุรชาติ” ลุ้น! สัปดาห์หน้า กกต.รับรองเป็น ส.ส.หลังครบกำหนด 60 วัน-คำร้อง “สิระ” ยังสอบสวนเพิ่ม,https://mgronline.com/politics/detail/9650000028409,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
441,2022-03-15 17:21:00,กกต.รับรอง “อิสรพงษ์ มากอำไพ” เป็น ส.ส.ชุมพร เขต 1 ยันไม่ตัดอำนาจสอบทุจริตเลือกตั้ง,https://mgronline.com/politics/detail/9650000025551,"คณะกรรมการการเลือกตั้ง,","กกต.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",1.0,2022,3
445,2022-03-09 15:47:00,กกต.แจ้งดำเนินคดี “สิระ” รู้ไม่มีคุณสมบัติแล้วสมัคร ส.ส.-โทษคุก ปรับ เพิกถอนสิทธิ 20 ปี,https://mgronline.com/politics/detail/9650000023426,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
448,2022-03-08 15:19:00,“ปชป.” โวย กกต.60 วันแล้ว ยังไม่รับรองผลเลือกตั้งซ่อมชุมพร ข้องใจถูกแทรกแซง-หากโดนใบเหลืองเจอฟ้องแน่,https://mgronline.com/politics/detail/9650000022973,"คณะกรรมการการเลือกตั้ง,พรรคประชาธิปัตย์,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
496,2022-02-07 15:53:00,“สิระ” ไม่ยอม! ให้ข้อมูลเพิ่ม “สุรชาติ” หาเสียงลดราคารถไฟฟ้า 20 บาท เกินจริง จี้ กกต.ระงับการประกาศผล,https://mgronline.com/politics/detail/9650000012614,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
512,2022-01-28 11:43:00,“สิระ” ร้อง กกต.ส่งศาล รธน.ยุบพรรค-เพิกถอนสิทธิ “ก้าวไกล” ตัดต่อภาพหาเสียงใส่ร้าย,https://mgronline.com/politics/detail/9650000009173,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,1
519,2022-01-24 12:28:00,“สิระ” ฟ้องยับ! “พิธา-เพชร กรุณพล” หาเสียงหมิ่นประมาทเรียก 50 ล้าน-ยื่น กกต.ยุบก้าวไกล,https://mgronline.com/politics/detail/9650000007554,"คณะกรรมการการเลือกตั้ง,พิธา ลิ้มเจริญรัตน์,สิระ เจนจาคะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,1
