,date_time,title,link,person,groups,sub_categories,categories,score,year,month
671,2021-08-22 15:24:00,“คำนูณ” ค้านเสียงข้างมาก กมธ.ที่มี พปชร. พท. ปชป.หนุนแก้ รธน.เพิ่มแค่ ม.86 คาดยืดเยื้อมียื่นศาล รธน.,https://mgronline.com/politics/detail/9640000082723,"คำนูณ สิทธิสมาน,พรรคพลังประชารัฐ,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","ส.ว. ชุดที่ 12,พรรคการเมือง,พรรคการเมือง,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,8
1069,2020-07-28 16:12:00,“คำนูณ” บี้นายกฯ ถึงเวลาตั้ง คกก.อิสระระดับชาติดูคดี “ทายาทกระทิงแดง” พร้อมดันร่าง พ.ร.บ.สีกากี,https://mgronline.com/politics/detail/9630000077131,"คำนูณ สิทธิสมาน,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,7
2388,2015-03-08 17:39:00,“คำนูณ” ลั่นร่างรัฐธรรมนูญไม่สืบทอดอำนาจ แค่สานต่อปฏิรูปประเทศ ชี้มีแค่ “เพื่อไทย-ปชป.” คัดค้าน,https://mgronline.com/politics/detail/9580000027414,"คำนูณ สิทธิสมาน,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","ส.ว. ชุดที่ 12,พรรคการเมือง,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2015,3
2863,2013-10-22 12:20:00,“คำนูณ” ติง “ปึ้ง” วางตัวให้งาม อย่าเพิ่งลั่นรับคำพิพากษา ปชป.จวกจ้อเหมือนยอมแพ้เขมร,https://mgronline.com/politics/detail/9560000132172,"คำนูณ สิทธิสมาน,พรรคประชาธิปัตย์,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,10
2979,2013-08-27 20:03:00,“คำนูณ” ย้ำแก้ที่มา ส.ว.ส่อองค์กรอิสระถูกแทรกแซง-“เพื่อไทย” ป่วนชิงปิดอภิปราย,https://mgronline.com/politics/detail/9560000107440,"คำนูณ สิทธิสมาน,พรรคเพื่อไทย,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,8
3019,2013-08-08 01:37:00,“คำนูณ-ปานเทพ” ติง ปชป.ทิ้งม็อบยิ่งทำ รบ.แกร่ง แนะเอาเป็นบทเรียนครั้งสำคัญ,https://mgronline.com/politics/detail/9560000098091,"คำนูณ สิทธิสมาน,พรรคประชาธิปัตย์,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2013,8
3026,2013-08-06 17:11:00,“คำนูณ” แนะ ส.ส.ปชป.พาประชาชนที่ไปส่งฟังประชุมสภาฯ ถกนิรโทษกรรมพรุ่งนี้ได้เลย,https://mgronline.com/politics/detail/9560000097363,"คำนูณ สิทธิสมาน,พรรคประชาธิปัตย์,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,8
3052,2013-07-19 17:07:00,“มาร์ค” แจง “คำนูณ” ไม่หนุนล้างผิดเผาเมือง-ผิด 112 ซัด พท.กลัวความจริงปรากฏ,https://mgronline.com/politics/detail/9560000088955,"อภิสิทธิ์ เวชชาชีวะ,คำนูณ สิทธิสมาน,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,7
3057,2013-07-18 11:41:00,“คำนูณ” ย้ำถามจุดยืน ปชป.หนุนร่างฯ นิรโทษคนผิด 112-เผาศาลากลาง เมินพันธมิตรฯ,https://mgronline.com/politics/detail/9560000088115,"คำนูณ สิทธิสมาน,พรรคประชาธิปัตย์,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2013,7
3058,2013-07-17 22:32:00,“คำนูณ” มึน ปชป.หนุนนิรโทษฯ ฉบับแม่น้องเกด ทั้งที่ช่วยนักโทษ ม.112 จี้ “มาร์ค” แจงให้ชัด,https://mgronline.com/politics/detail/9560000087968,"อภิสิทธิ์ เวชชาชีวะ,คำนูณ สิทธิสมาน,พรรคประชาธิปัตย์,","ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2013,7
3429,2012-11-28 02:21:00,“คำนูณ” ชี้ข้อมูลฝ่ายค้านมัดแน่นรัฐโกงจีทูจี แนะประชาชนร้อง ป.ป.ช.ฟัน,https://mgronline.com/politics/detail/9550000144983,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,คำนูณ สิทธิสมาน,","ป.ป.ช.,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,11
3793,2012-05-01 14:59:00,“คำนูณ” ค้าน พท.เสนองดถ่ายทอดสดถกแก้ รธน. แนะเดินตามกรอบเดิม,https://mgronline.com/politics/detail/9550000053930,"คำนูณ สิทธิสมาน,พรรคเพื่อไทย,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2012,5
