,date_time,title,link,person,groups,sub_categories,categories,score,year,month
120,2022-10-03 16:33:00,มติ กมธ.กัญชาฯ ส่งกลับ “ชวน” บรรจุวาระ หลังพิจารณาความเห็นข้อห่วงใย ปชป.-พท.ไม่มีอะไรใหม่,https://mgronline.com/politics/detail/9650000094875,"ชวน หลีกภัย,พรรคประชาธิปัตย์,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
123,2022-10-03 14:28:00,"""ชวน"" ส่งคู่มือกฏเหล็กก่อนเลือกตั้งให้ส.ส. ชี้เป็นอำนาจกกต.ผ่อนปรนช่วยน้ำท่วม จี้ระวังเป็นเหยื่อ",https://mgronline.com/politics/detail/9650000094801,"คณะกรรมการการเลือกตั้ง,ชวน หลีกภัย,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
154,2022-09-29 12:37:00,“ชวน” ปัดแสดงความเห็นปม 8 ปี “ประยุทธ์” อย่าสมมติให้รอศาล รธน.ชี้ขาด,https://mgronline.com/politics/detail/9650000093507,"พลเอก ประยุทธ์ จันทร์โอชา,ชวน หลีกภัย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
598,2021-10-27 12:51:00,เลขาฯ ก้าวไกล โร่ขอโทษ หลัง ส.ส.โพสต์ชวนฉีดวัคซีนโควิดที่สภา แจงเข้าใจผิด,https://mgronline.com/politics/detail/9640000106323,"ชวน หลีกภัย,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,10
599,2021-10-27 12:01:00,แบบนี้ก็มีด้วย ส.ส.ก้าวไกล แปะโพสต์ชวนประชาชนฉีดวัคซีนโควิดที่รัฐสภา แต่ลงทะเบียนแล้วบอกว่าเต็ม,https://mgronline.com/politics/detail/9640000106299,"ชวน หลีกภัย,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,10
644,2021-09-04 10:15:00,"""อนุทิน"" อัด ""ฝ่ายค้าน"" ขี้แพ้ชวนตี ยันไม่มีเงินทอนวัคซีน ย้ำพรรคภูมิใจไทยเสียงปึ๊ก",https://mgronline.com/politics/detail/9640000087550,"อนุทิน ชาญวีรกูล,ชวน หลีกภัย,อนุทิน ชาญวีรกูล,ธนาธร จึงรุ่งเรืองกิจ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,9
668,2021-08-25 13:30:00,พท.ผุดแคมเปญเชิญชวน ปชช.ลงชื่อโหวตไม่ไว้วางใจ “พล.อ.ประยุทธ์” ผ่านเว็บไซต์ เชื่อศรัทธา ปชช.จะชนะมือในสภา,https://mgronline.com/politics/detail/9640000083824,"พลเอก ประยุทธ์ จันทร์โอชา,ชวน หลีกภัย,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,8
672,2021-08-21 13:33:00,ภท.โวย “ชวน” จำกัดเวลาอภิปราย อึดอัด ย้ำ parlament คือ ที่ถ่มน้ำลาย ควรให้พิจารณายาวๆ,https://mgronline.com/politics/detail/9640000082475,"ชวน หลีกภัย,พรรคภูมิใจไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,8
826,2021-03-01 11:58:00,“ชวน” เผยส่งเรื่อง 5 ส.ส.กปปส.ถูกจำคุกให้ กกต.พิจารณาส่งศาล รธน.ฟันแล้ว,https://mgronline.com/politics/detail/9640000019853,"คณะกรรมการการเลือกตั้ง,ชวน หลีกภัย,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,3
920,2020-11-27 14:20:00,“ชวน” แจง คกก.สมานฉันท์เดินหน้ารูปแบบที่ 2 ถอดบทเรียน ชี้อดีตนายกฯ หนุนบ้านเมืองสงบ,https://mgronline.com/politics/detail/9630000122126,"ชวน หลีกภัย,","ส.ส. ชุดที่ 25,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,11
