,date_time,title,link,person,groups,sub_categories,categories,score,year,month
114,2022-10-04 16:07:00,“ธนกร” สวนกลับ “พิชัย” อย่าทึกทักว่าตนเองเป็นคนส่วนใหญ่ ยกผลงานแก้โควิดการันตีฝีมือนายกฯ “ประยุทธ์”,https://mgronline.com/politics/detail/9650000095229,"พลเอก ประยุทธ์ จันทร์โอชา,ธนกร วังบุญคงชนะ,ชัย ชิดชอบ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
171,2022-09-26 12:32:00,“บิ๊กป้อม” เผยที่ประชุม ก.ตร.คืนตำแหน่งรอง ผบ.ตร.ให้ “วิระชัย” แล้ว ปัดตอบม็อบจ่อเคลื่อนไหววันตัดสินวาระ 8 ปี “บิ๊กตู่”,https://mgronline.com/politics/detail/9650000092314,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ชัย ชิดชอบ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
256,2022-08-02 14:13:00,"""ชัยวุฒิ"" บอก เฉยๆ หลังเพื่อไทย โวเลือกตั้งครั้งหน้ามาแน่  ย้ำ ไม่คิดย้ายพรรค ลั่น เป็นผู้ร่วมก่อตั้งพรรค ไม่ใช่ผู้อยู่อาศัย",https://mgronline.com/politics/detail/9650000073358,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,ชัย ชิดชอบ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,8
399,2022-04-26 12:31:00,“ชัยวุฒิ” ชี้​ “บิ๊กตู่” ลงพื้นที่ติดตามงาน-เยี่ยม ปชช.เย้ย​ พท.ชูนโยบายซ้ำรัฐบาล,https://mgronline.com/politics/detail/9650000039565,"พลเอก ประยุทธ์ จันทร์โอชา,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,ชัย ชิดชอบ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
491,2022-02-08 18:25:00,“ชัยวุฒิ” ยันพรรคร่วมเข้าใจกันดี เชื่อหาทางออกได้หลัง ภท.บอยคอต ยังไม่มีสัญญาณปรับ ครม.,https://mgronline.com/politics/detail/9650000013118,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,ชัย ชิดชอบ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
833,2021-02-25 12:35:00,ภท.-ปชป.ผนึกกำลังโชว์ความเหนียวแน่น หลัง “เฉลิมชัย” เข้าพบ “อนุทิน” ที่ สธ. ท่ามกลางกระแสปรับ ครม.,https://mgronline.com/politics/detail/9640000018780,"อนุทิน ชาญวีรกูล,เฉลิมชัย ศรีอ่อน,อนุทิน ชาญวีรกูล,ชัย ชิดชอบ,พลอากาศตรี เฉลิมชัย เครืองาม,พรรคภูมิใจไทย,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,2
1654,2019-05-25 15:49:00,พปชร.ลงคะแนนพลาด! พ่ายมติเลื่อนโหวตประธานสภาฯ “ปู่ชัย” เดินหน้าต่อ “ชวน” ชิงดำ “สมพงษ์”,https://mgronline.com/politics/detail/9620000049886,"ชวน หลีกภัย,ชัย ชิดชอบ,สมพงษ์ อมรวิวัฒน์,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,5
3014,2013-08-09 12:58:00,ปชป.ยื่นป.ป.ช.ฟัน “ผบ.ตร.-ผบช.น.” ปล่อย “ขวัญชัย” แต่งชุดตร.เข้าเขตหวงห้าม,https://mgronline.com/politics/detail/9560000098810,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ชัย ชิดชอบ,พรรคประชาธิปัตย์,","ป.ป.ช.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,8
3158,2013-05-29 19:11:00,“ปู่ชัย” จวกรัฐบาลทำงบค้างท่อ อนุมัติ ครม.สัญจรแต่ไม่ทำ “เกียรติ” จี้แจงรัฐวิสาหกิจซื้อสื่อ “วอยซ์ทีวี”,https://mgronline.com/politics/detail/9560000064667,"ชัย ชิดชอบ,","ส.ส. ชุดที่ 25,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,5
3470,2012-11-07 15:06:00,ภท.วาง “ปู่ชัย” ซักฟอก ก.ทรัพย์ แย้มไม่เห็น รบ.ปู ทุจริต ยันไม่ไล่ มัชฌิมา,https://mgronline.com/politics/detail/9550000136211,"ชัย ชิดชอบ,พรรคภูมิใจไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2012,11
