,date_time,title,link,person,groups,sub_categories,categories,score,year,month
50,2022-10-23 10:49:00,“ชัยวุฒิ” โต้ “หมดที่ลุงตู่ สู่ลุงป้อม” ไม่ใช่ข้อสรุป พปชร.ยันหนุน “บิ๊กตู่” นายกฯ เชื่อไปสิงห์บุรีไร้ม็อบ,https://mgronline.com/politics/detail/9650000101330,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
133,2022-09-30 17:51:00,“ชัยวุฒิ” ขอเชื่อมั่น “บิ๊กตู่” ขับเคลื่อน รบ.ดูแล ปชช. “บิ๊กป้อม” มีคิวลงติดตามสถานการณ์น้ำภาคกลาง,https://mgronline.com/politics/detail/9650000094088,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
256,2022-08-02 14:13:00,"""ชัยวุฒิ"" บอก เฉยๆ หลังเพื่อไทย โวเลือกตั้งครั้งหน้ามาแน่  ย้ำ ไม่คิดย้ายพรรค ลั่น เป็นผู้ร่วมก่อตั้งพรรค ไม่ใช่ผู้อยู่อาศัย",https://mgronline.com/politics/detail/9650000073358,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,ชัย ชิดชอบ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,8
287,2022-07-20 17:38:00,"พท.ปูด ""ชัยวุฒิ"" ตั้งเพื่อนดูสนง.คุ้มครองข้อมูลส่วนบุคคลคุมงบพีอาร์กม.PDPA เอื้อบ.ไอที ล็อคสเป็ค",https://mgronline.com/politics/detail/9650000069207,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
308,2022-07-08 17:31:00,“ชัยวุฒิ” รูดซิป พท.แตกแบงก์พันสู้หาร 500 ย้อนคนอื่นก็พลิกเกมได้ ชี้ พปชร.ไม่ใช่พรรคครอบครัว,https://mgronline.com/politics/detail/9650000065280,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
379,2022-05-17 11:37:00,“ชัยวุฒิ” ไม่หวั่น​ พท.ประกาศเชิญเสื้อแดงกลับบ้าน​ ชี้​ เป็นคนส่วนน้อย ลั่น​แฟนคลับ พปชร.เยอะกว่าเยอะ,https://mgronline.com/politics/detail/9650000046563,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,5
399,2022-04-26 12:31:00,“ชัยวุฒิ” ชี้​ “บิ๊กตู่” ลงพื้นที่ติดตามงาน-เยี่ยม ปชช.เย้ย​ พท.ชูนโยบายซ้ำรัฐบาล,https://mgronline.com/politics/detail/9650000039565,"พลเอก ประยุทธ์ จันทร์โอชา,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,ชัย ชิดชอบ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
428,2022-03-24 12:54:00,“ชัยวุฒิ” ชี้ ประชุมใหญ่ พปชร.ไม่หวือหวา เหมือน “พท.” เหตุชู  “บิ๊กตู่”  เป็นนายกฯอยู่แล้ว,https://mgronline.com/politics/detail/9650000028727,"พลเอก ประยุทธ์ จันทร์โอชา,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,3
432,2022-03-22 15:00:00,“ชัยวุฒิ” ชี้ชัดเจนเปิดตัว “อุ๊งอิ๊ง”-“แม้ว” ทำการเมืองในนามเพื่อไทย ไม่ใช่เรื่องใหม่ เชื่อไม่ส่งผลอะไรกับ พปชร.,https://mgronline.com/politics/detail/9650000027981,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,3
491,2022-02-08 18:25:00,“ชัยวุฒิ” ยันพรรคร่วมเข้าใจกันดี เชื่อหาทางออกได้หลัง ภท.บอยคอต ยังไม่มีสัญญาณปรับ ครม.,https://mgronline.com/politics/detail/9650000013118,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,ชัย ชิดชอบ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
