,date_time,title,link,person,groups,sub_categories,categories,score,year,month
456,2022-02-28 12:55:00,ป.ป.ช.จ่อฟ้อง “ยิ่งลักษณ์-กิตติรัตน์” ปมย้าย “ถวิล เปลี่ยนศรี”-ทุจริตข้าวบูล็อก,https://mgronline.com/politics/detail/9650000020073,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ถวิล เปลี่ยนศรี,","ป.ป.ช.,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
1102,2020-07-01 18:59:00,ได้ที! ค.ก้าวหน้า ไล่บี้ “ป.ป.ช.” พุ่งเป้าเอียงข้าง “อยู่ฝั่งไหน-คนของใคร” โหน “ปู-ยิ่งลักษณ์” โดนกรณีย้ายถวิล,https://mgronline.com/politics/detail/9630000067706,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ถวิล เปลี่ยนศรี,","ป.ป.ช.,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,7
1104,2020-07-01 12:52:00,ป.ป.ช.ลงดาบฟัน “ยิ่งลักษณ์” ชี้มูลความผิดใช้อำนาจย้าย “ถวิล เปลี่ยนศรี” โดยมิชอบ,https://mgronline.com/politics/detail/9630000067506,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ถวิล เปลี่ยนศรี,","ป.ป.ช.,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,7
2540,2014-04-23 15:19:00,ศาลรัฐธรรมนูญอนุญาต “ปู” ขยายเวลาแจงคดีย้าย “ถวิล” อีก 15 วัน,https://mgronline.com/politics/detail/9570000045121,"ศาลรัฐธรรมนูญ,ถวิล เปลี่ยนศรี,","ศาลรัฐธรรมนูญ,ส.ว. ชุดที่ 12,","สายศาล,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2014,4
2565,2014-04-10 15:37:00,เด็ก พท.ยื่นศาล รธน.เอาผิด “สุเทพ” ปมรัฏฐาธิปัตย์ ค้านวินิจฉัย “ปู” ย้าย “ถวิล” ขัด กม.,https://mgronline.com/politics/detail/9570000040491,"ถวิล เปลี่ยนศรี,พรรคเพื่อไทย,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2014,4
2568,2014-04-08 15:19:00,เปิดชื่อ 58 ส.ว.ใหม่ ยังติดบ่วงอีก 19 รวม “หญิงเป็ด” - กกต.อนุมัติ “ถวิล” กลับเลขาฯ สมช.,https://mgronline.com/politics/detail/9570000039448,"คณะกรรมการการเลือกตั้ง,ถวิล เปลี่ยนศรี,","กกต.,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,4
2638,2014-03-09 12:21:00,ปชป.ฉะ รัฐท้าศาลไม่คืนเก้าอี้ “ถวิล” ที่เด้งอย่างไว ชี้ “แม้ว” จอมต่อรอง เสียท่าถึงเร่งคุย,https://mgronline.com/politics/detail/9570000026872,"ถวิล เปลี่ยนศรี,พรรคประชาธิปัตย์,ทักษิณ ชินวัตร,","ส.ว. ชุดที่ 12,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2014,3
2912,2013-09-24 18:54:00,ตุลาการผู้แถลงคดีศาลปกครองสูงสุด จ่อพิพากษายืน “ถวิล” คืนตำแหน่งเลขาฯ สมช.,https://mgronline.com/politics/detail/9560000120630,"ศาลปกครอง,ถวิล เปลี่ยนศรี,","ศาลปกครอง,ส.ว. ชุดที่ 12,","สายศาล,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,9
3145,2013-06-02 19:32:00,ป.ป.ช.ชี้ “ถวิล” เอาผิด “ปู” ไม่ต้องรอศาล-เตรียมชี้มูล “หญิงหน่อย” คอมพ์ฉาว,https://mgronline.com/politics/detail/9560000066225,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ถวิล เปลี่ยนศรี,","ป.ป.ช.,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,6
3148,2013-06-01 15:14:00,ปชป.จี้ “ปู” คืนเก้าอี้เลขาฯ สมช.ให้ “ถวิล” พิสูจน์คุณธรรมการบริหารประเทศ,https://mgronline.com/politics/detail/9560000065887,"ถวิล เปลี่ยนศรี,พรรคประชาธิปัตย์,","ส.ว. ชุดที่ 12,พรรคการเมือง,","สายกลุ่มการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,6
3153,2013-05-31 12:22:00,ศาลปกครองชี้ “ปู” ย้าย “ถวิล” ไม่เป็นธรรม สั่งคืนเก้าอี้เลขาฯ สมช.,https://mgronline.com/politics/detail/9560000065398,"ศาลปกครอง,ถวิล เปลี่ยนศรี,","ศาลปกครอง,ส.ว. ชุดที่ 12,","สายศาล,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,5
