,date_time,title,link,person,groups,sub_categories,categories,score,year,month
288,2022-07-20 16:28:00,"""ธนกร"" เย้ย พท.ก้าวไม่พ้น ""แม้ว"" แห่ออกโรงป้องผู้นำตัวจริง ชี้หนทางกลับบ้านต้องมาต่อสู้คดี",https://mgronline.com/politics/detail/9650000069161,"ธนกร วังบุญคงชนะ,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
381,2022-05-11 17:50:00,พปชร.ฟัน “พิเชษฐ” รวมหัวฝ่ายค้าน-แม้ว ตัดสิทธินั่ง กมธ.- ดีดพ้นไลน์กลุ่ม-ห้ามใช้โลโก้ห้องประชุมพรรค,https://mgronline.com/politics/detail/9650000044887,"พรรคพลังประชารัฐ,ทักษิณ ชินวัตร,","พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,5
401,2022-04-24 18:19:00,“ชลน่าน” ยัน พท.ส่ง 3 ชื่อแคนดิเดตนายกฯ ดีล “บิ๊กป้อม-แม้ว” ให้ถาม รบ.ที่ตอบไม่เหมือนกัน,https://mgronline.com/politics/detail/9650000038976,"พลเอก ประวิตร วงษ์สุวรรณ,ชลน่าน ศรีแก้ว,ชลน่าน ศรีแก้ว,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,4
432,2022-03-22 15:00:00,“ชัยวุฒิ” ชี้ชัดเจนเปิดตัว “อุ๊งอิ๊ง”-“แม้ว” ทำการเมืองในนามเพื่อไทย ไม่ใช่เรื่องใหม่ เชื่อไม่ส่งผลอะไรกับ พปชร.,https://mgronline.com/politics/detail/9650000027981,"ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,3
434,2022-03-21 17:21:00,“อนุทิน” อวย “อุ๊งอิ๊ง” นั่งนายกฯได้ถ้าสุจริต กั๊กร่วม รบ.พท.ชี้ปม “เนวิน-แม้ว” การเมืองไม่มีมิตรแท้ศัตรูถาวร,https://mgronline.com/politics/detail/9650000027658,"อนุทิน ชาญวีรกูล,ถาวร เสนเนียม,อนุทิน ชาญวีรกูล,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
473,2022-02-17 09:54:00,“ประยุทธ์” ถึงสภาพร้อมรับศึกซักฟอก ส.ส.พปชร.แห่ต้อนรับ เมิน “แม้ว” เตือนระวังโดนไฮแจ็กเก้าอี้,https://mgronline.com/politics/detail/9650000016064,"พลเอก ประยุทธ์ จันทร์โอชา,พรรคพลังประชารัฐ,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
581,2021-11-04 17:24:00,“สิระ” นำกรณี “แม้ว” แทรกแซง พท.หารือ กมธ.กม.ศึกษาตามอำนาจ รธน.ปัดชี้ถูกผิด “โรม” โดดแย้ง,https://mgronline.com/politics/detail/9640000109523,"รังสิมันต์ โรม,สิระ เจนจาคะ,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,11
675,2021-08-18 19:55:00,“โทนี่” สอน “ก้าวไกล” อย่าใจร้อน “เด็กทอน” หยาม คิดว่าฉลาดตีไพ่โง่มา 20 ปี “สันติสุข” ซัด “โกง-หนีคดี” สิจริง,https://mgronline.com/politics/detail/9640000081541,"สันติ พร้อมพัฒน์,สันติ พร้อมพัฒน์,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่-พรรคก้าวไกล,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,8
686,2021-07-27 13:27:00,“เพื่อไทย” แนะ “บิ๊กตู่” ลดอีโก้ ฟัง “พี่โทนี่” เร่งติดต่อยืมวัคซีน ตปท.,https://mgronline.com/politics/detail/9640000073392,"พลเอก ประยุทธ์ จันทร์โอชา,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,7
904,2020-12-16 14:42:00,กกต.ปัดตอบ “แม้ว” ครอบงำเพื่อไทย ชี้มีหลายองค์ประกอบ แต่รับไม่ควรโพสต์เชียร์ใคร,https://mgronline.com/politics/detail/9630000128306,"คณะกรรมการการเลือกตั้ง,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","กกต.,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,12
