,date_time,title,link,person,groups,sub_categories,categories,score,year,month
282,2022-07-21 16:06:00,พท.ปูด “บิ๊กตู่” ปล่อยคนสนิทจุ้น ก.อว.ใช้งบกลางจัดอบรมโครงการซ้ำซ้อนงาบเงินทอน ชงต่อ ป.ป.ช.,https://mgronline.com/politics/detail/9650000069580,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประยุทธ์ จันทร์โอชา,ธนาธร จึงรุ่งเรืองกิจ,พรรคเพื่อไทย,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
419,2022-04-05 16:07:00,“นิพนธ์” ยันทำตาม กม.เพิกถอนที่ดิน “แม่ธนาธร” อุทธรณ์ฟ้องศาลปกครองได้,https://mgronline.com/politics/detail/9650000033029,"ศาลปกครอง,นิพนธ์ บุญญามณี,ธนาธร จึงรุ่งเรืองกิจ,","ศาลปกครอง,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
552,2021-11-29 16:46:00,“ธนาธร” ภูมิใจ “คณะก้าวหน้า” ส่งชิง 196 นายก อบต.ชนะ 38 อ้างผลตอบรับดีขึ้นแม้ถูกสบประมาท ลุยต่อชิงนายกเมืองพัทยา,https://mgronline.com/politics/detail/9640000118377,"ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,11
569,2021-11-12 14:02:00,“สิระ” จ่อฟ้อง “ธนาธร-ปิยบุตร” ผิด ม.113 หนุนม็อบล้มล้างการปกครอง-ลั่น “ก้าวไกล” ยุบแน่,https://mgronline.com/politics/detail/9640000112358,"ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,สิระ เจนจาคะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,11
619,2021-10-12 16:11:00,“ธนาธร-ปิยบุตร” บ่นอุบ! กกต.มีเจตนาแฝงเรียก “ก้าวหน้า” แจง เหน็บเอาลิควิดลบชื่อพ้นแผ่นดินไทย,https://mgronline.com/politics/detail/9640000101181,"คณะกรรมการการเลือกตั้ง,ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,","กกต.,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,10
644,2021-09-04 10:15:00,"""อนุทิน"" อัด ""ฝ่ายค้าน"" ขี้แพ้ชวนตี ยันไม่มีเงินทอนวัคซีน ย้ำพรรคภูมิใจไทยเสียงปึ๊ก",https://mgronline.com/politics/detail/9640000087550,"อนุทิน ชาญวีรกูล,ชวน หลีกภัย,อนุทิน ชาญวีรกูล,ธนาธร จึงรุ่งเรืองกิจ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,9
675,2021-08-18 19:55:00,“โทนี่” สอน “ก้าวไกล” อย่าใจร้อน “เด็กทอน” หยาม คิดว่าฉลาดตีไพ่โง่มา 20 ปี “สันติสุข” ซัด “โกง-หนีคดี” สิจริง,https://mgronline.com/politics/detail/9640000081541,"สันติ พร้อมพัฒน์,สันติ พร้อมพัฒน์,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่-พรรคก้าวไกล,ทักษิณ ชินวัตร,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,8
824,2021-03-01 12:46:00,“ธนกร” ซัด “ทอน-เพื่อไทย” บิดเบือนใส่ร้ายรัฐบาลใช้ความรุนแรง ลั่นม็อบเหิมทำร้ายตำรวจ ไม่ชุมนุมสันติ,https://mgronline.com/politics/detail/9640000019892,"สันติ พร้อมพัฒน์,สันติ พร้อมพัฒน์,ธนกร วังบุญคงชนะ,ธนาธร จึงรุ่งเรืองกิจ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,3
884,2021-01-20 17:02:00,“ก้าวไกล” โดดป้อง “ลูกพี่ทอน” ฉะ “บิ๊กตู่” สวะ-อำพราง เผยเองวัคซีนพระราชทาน เล็งแก้ ม.112,https://mgronline.com/politics/detail/9640000005914,"พลเอก ประยุทธ์ จันทร์โอชา,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,1
919,2020-11-30 12:46:00,คณะก้าวหน้าเตรียมร้อง กกต.สอบปม “ธนาธรและคณะ” ถูกก่อกวนระหว่างช่วยหาเสียงเลือกตั้ง อบจ.,https://mgronline.com/politics/detail/9630000122838,"คณะกรรมการการเลือกตั้ง,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,11
932,2020-11-15 16:24:00,เด็ก พปชร.แนะ “ทอน-ช่อ” ถอยห่าง “ปิยบุตร” ป้อนข้อมูลเท็จ เสนอหันมารักเทิดทูนสถาบันฯ เพื่อสันติสุข,https://mgronline.com/politics/detail/9630000117954,"ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,พรรณิการ์ วานิช,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,11
946,2020-10-29 12:45:00,“พี่ศรี” จี้ กกต.เร่งดำเนินคดีอาญา “ธนาธร-อดีต กก.บห.อนค.” 15 คน มั่นใจ กกต.มีอำนาจยึดเงินกู้ 191.2 ล้านเข้ากองทุนฯ แม้ไม่มีพรรคแล้ว,https://mgronline.com/politics/detail/9630000112145,"คณะกรรมการการเลือกตั้ง,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,10
949,2020-10-28 16:58:00,“ปิยบุตร” ลั่นพร้อมสู้คดีเงินกู้ อนค. “ธนาธร” ไม่ตอบอยู่เบื้องหลังม็อบ จี้รัฐฟังปัญหาแสวงหาทางออกร่วม,https://mgronline.com/politics/detail/9630000111858,"ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,10
