,date_time,title,link,person,groups,sub_categories,categories,score,year,month
264,2022-07-26 10:16:00,“นิพนธ์” บอก ไม่ต้องให้ “บิ๊กป้อม” เคลียร์ใจ “ชาติไทยพัฒนา” หลังงดออกเสียง “จุรินทร์” ศึกซักฟอก,https://mgronline.com/politics/detail/9650000071036,"พลเอก ประวิตร วงษ์สุวรรณ,จุรินทร์ ลักษณวิศิษฏ์,นิพนธ์ บุญญามณี,จุรินทร์ ลักษณวิศิษฏ์,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
292,2022-07-20 12:57:00,“นิพนธ์” เย้ย “ก้าวไกล” มโนข้อมูลมาซักฟอก ยันไม่ออกโฉนดบนที่ดินรัฐ ให้ต่างชาติซื้อที่ดินไม่ได้ขายชาติ,https://mgronline.com/politics/detail/9650000069022,"นิพนธ์ บุญญามณี,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
347,2022-06-10 11:44:00,“ก้าวไกล” บี้อัยการสูงสุดร้องศาลฎีกานักการเมือง ฟัน “นิพนธ์” พ้น รมต.เหตุศาลปกครองสูงสุด สั่ง อบจ.สงขลา จ่ายเงินให้บริษัทรถซ่อมบำรุงทาง,https://mgronline.com/politics/detail/9650000055219,"ศาลยุติธรรม,ศาลปกครอง,นิพนธ์ บุญญามณี,พรรคอนาคตใหม่-พรรคก้าวไกล,","ศาลยุติธรรม,ศาลปกครอง,ครม. ชุดที่ 62,พรรคการเมือง,","สายศาล,สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,6
419,2022-04-05 16:07:00,“นิพนธ์” ยันทำตาม กม.เพิกถอนที่ดิน “แม่ธนาธร” อุทธรณ์ฟ้องศาลปกครองได้,https://mgronline.com/politics/detail/9650000033029,"ศาลปกครอง,นิพนธ์ บุญญามณี,ธนาธร จึงรุ่งเรืองกิจ,","ศาลปกครอง,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
580,2021-11-08 12:31:00,“วิษณุ” ชี้สภาฯเตรียมแจง “ก้าวไกล” ยื่นสอบ “นิพนธ์” ผิดช่องทางหรือไม่?,https://mgronline.com/politics/detail/9640000110603,"วิษณุ เครืองาม,นิพนธ์ บุญญามณี,พรรณิการ์ วานิช,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,11
797,2021-03-19 13:30:00,ต่อเนื่องศึกซักฟอก! พรรคร่วมฝ่ายค้านยื่น ป.ป.ช.เอาผิด “ศักดิ์สยาม-นิพนธ์” ผลประโยชน์ทับซ้อน-เอื้อประโยชน์พวงพ้อง,https://mgronline.com/politics/detail/9640000026523,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,ศักดิ์สยาม ชิดชอบ,นิพนธ์ บุญญามณี,ศักดิ์สยาม ชิดชอบ,","ป.ป.ช.,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,3
852,2021-02-18 17:16:00,ก้าวไกลซัด “นิพนธ์” สมคบหาประโยชน์เขตพัฒนาพิเศษจะนะ กว้านซื้อที่ถูกขายกินส่วนต่าง,https://mgronline.com/politics/detail/9640000016353,"นิพนธ์ บุญญามณี,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,2
976,2020-10-07 17:21:00,“นิพนธ์” เมินลาออก พร้อมแจง ป.ป.ช.ซ้ำ จี้แยกคดีฮั้ว-ไม่จ่ายเงิน หวั่นระบราชการสับสน,https://mgronline.com/politics/detail/9630000102547,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,นิพนธ์ บุญญามณี,","ป.ป.ช.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,10
977,2020-10-07 13:38:00,ป.ป.ช.ชี้มูลความผิด “นิพนธ์” ผิด ม.157 ไม่เบิกจ่ายค่ารถซ่อมบำรุง สมัยนั่งนายก อบจ.สงขลา,https://mgronline.com/politics/detail/9630000102405,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,นิพนธ์ บุญญามณี,","ป.ป.ช.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,10
978,2020-10-04 09:48:00,ปชป.ป้อง “นิพนธ์” ไม่ได้ทุจริต แถมปกป้องผลประโยชน์แผ่นดิน จ่อยื่น ป.ป.ช.ขอความเป็นธรรม,https://mgronline.com/politics/detail/9630000101243,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,นิพนธ์ บุญญามณี,พรรคประชาธิปัตย์,","ป.ป.ช.,ครม. ชุดที่ 62,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,10
