,date_time,title,link,person,groups,sub_categories,categories,score,year,month
38,2022-10-25 19:30:00,“ปิยบุตร” แจง 112 มีปัญหาทั้งตัว กม.และอุดมการณ์ ป้อง “ก้าวไกล” “ดร.นิว” ซัด ความต้องการพวก “หนักแผ่นดิน”,https://mgronline.com/politics/detail/9650000102148,"ปิยบุตร แสงกนกกุล,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,10
569,2021-11-12 14:02:00,“สิระ” จ่อฟ้อง “ธนาธร-ปิยบุตร” ผิด ม.113 หนุนม็อบล้มล้างการปกครอง-ลั่น “ก้าวไกล” ยุบแน่,https://mgronline.com/politics/detail/9640000112358,"ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,สิระ เจนจาคะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,11
617,2021-10-12 16:55:00,“ปิยบุตร” ชี้ คณะก้าวหน้าไม่ใช่พรรคการเมือง เหน็บ กกต.ควรดีใจช่วยคนรุ่นใหม่สนใจเลือกตั้งท้องถิ่น,https://mgronline.com/politics/detail/9640000101200,"คณะกรรมการการเลือกตั้ง,ปิยบุตร แสงกนกกุล,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,10
619,2021-10-12 16:11:00,“ธนาธร-ปิยบุตร” บ่นอุบ! กกต.มีเจตนาแฝงเรียก “ก้าวหน้า” แจง เหน็บเอาลิควิดลบชื่อพ้นแผ่นดินไทย,https://mgronline.com/politics/detail/9640000101181,"คณะกรรมการการเลือกตั้ง,ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,","กกต.,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,10
932,2020-11-15 16:24:00,เด็ก พปชร.แนะ “ทอน-ช่อ” ถอยห่าง “ปิยบุตร” ป้อนข้อมูลเท็จ เสนอหันมารักเทิดทูนสถาบันฯ เพื่อสันติสุข,https://mgronline.com/politics/detail/9630000117954,"ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,พรรณิการ์ วานิช,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,11
949,2020-10-28 16:58:00,“ปิยบุตร” ลั่นพร้อมสู้คดีเงินกู้ อนค. “ธนาธร” ไม่ตอบอยู่เบื้องหลังม็อบ จี้รัฐฟังปัญหาแสวงหาทางออกร่วม,https://mgronline.com/politics/detail/9630000111858,"ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,10
979,2020-10-02 20:12:00,ผอ.ศูนย์ร้องทุกข์ พปชร.สอน “ปิยบุตร” ยกวาทกรรมนักปฏิวัติฝรั่งเศส แนะศึกษารากเหง้าประวัติศาสตร์ชาติไทยให้รู้ลึกก่อนดีกว่า,https://mgronline.com/politics/detail/9630000100971,"ปิยบุตร แสงกนกกุล,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,10
1057,2020-08-06 18:28:00,ไม่ยอมรับ!? “ปิยบุตร” ดิ้นสู้ “บิ๊กแดง” อ้าง “ประชาชน” คือ “ชาติ” “หมอวรงค์” เย้ย! ไม่ชังชาติเดือดร้อนอะไร?,https://mgronline.com/politics/detail/9630000080622,"พลเอก อภิรัชต์ คงสมพงษ์,ปิยบุตร แสงกนกกุล,พลเอก อภิรัชต์ คงสมพงษ์,","ผบ. ทบ.,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายทหาร,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,8
1125,2020-06-17 13:27:00,รองโฆษก พปชร.ซัด “ปิยบุตร” โหนเลือกตั้งท้องถิ่น ฉะ “ก้าวไกล-ก้าวหน้า” เข้าข่ายฮั้วเลือกตั้ง,https://mgronline.com/politics/detail/9630000062575,"ปิยบุตร แสงกนกกุล,พรรคพลังประชารัฐ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,6
1203,2020-02-28 01:13:00,“ปิยบุตร” แฉยับ! อดีต อนค.โดนโกงเวลา แถมแซงคิวข้ามหัว ลั่น ส.ส.ฝืนมติฝ่ายค้านไปโหวตในสภาฯ แน่,https://mgronline.com/politics/detail/9630000020102,"ปิยบุตร แสงกนกกุล,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,2
1221,2020-02-25 15:12:00,อดีต อนค.ยันไร้ค่าตัวซบ ภท. รับมาเพราะรัก “อนุทิน” เมินคุย “ธนาธร-ปิยบุตร”,https://mgronline.com/politics/detail/9630000018955,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,ธนาธร จึงรุ่งเรืองกิจ,ปิยบุตร แสงกนกกุล,พรรคภูมิใจไทย,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,2
