,date_time,title,link,person,groups,sub_categories,categories,score,year,month
104,2022-10-05 16:18:00,นายกฯ ขอบคุณทุกหน่วยร่วมแก้โควิด “อนุทิน” แจง ครม.คุมสถานการณ์ได้ ยินดี “ท็อป” หน.ชทพ.,https://mgronline.com/politics/detail/9650000095645,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
122,2022-10-03 16:13:00,"""ประยุทธ์"" มอบโฆษกรัฐบาลให้ดอกไม้ยินดี ""วรารุธ"" รับตำแหน่งหัวหน้าพรรคชทพ.",https://mgronline.com/politics/detail/9650000094860,"พลเอก ประยุทธ์ จันทร์โอชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
193,2022-09-15 16:23:00,“อนุทิน” จ่อใช้ประกาศ สธ.แทน พ.ร.บ.กัญชาฯ งงฝ่ายค้านไม่ฟังแม้คำปรารภ ชมก้าวไกล-ชทพ.ใจกว้าง,https://mgronline.com/politics/detail/9650000088836,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคชาติไทยพัฒนา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
243,2022-08-09 12:35:00,ชทพ.เตรียมถกท่าทีประชุมร่วมรัฐสภาบ่ายนี้ “วราวุธ” ชี้สภาต้องเดินต่อ ตีความ 8 ปี นายกฯปล่อยเป็นหน้าที่ศาลรัฐธรรมนูญ,https://mgronline.com/politics/detail/9650000075778,"ศาลรัฐธรรมนูญ,วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,8
260,2022-07-27 14:52:00,“จุติ” บอก เก็บไว้ในใจ ปม 3 ส.ส.ชทพ.โหวตสวน “จุรินทร์”,https://mgronline.com/politics/detail/9650000071609,"จุรินทร์ ลักษณวิศิษฏ์,จุติ ไกรฤกษ์,จุรินทร์ ลักษณวิศิษฏ์,จุติ ไกรฤกษ์,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
261,2022-07-26 17:16:00,3 ป.ปิดห้องคุยพรรคร่วมไม่ปรับ ครม. “จุรินทร์” ไม่ติดใจ ชทพ. มท.1 ตึงไม่ส่ง “พี่ป้อม” ไม่ฟัง “น้องตู่” แถลง,https://mgronline.com/politics/detail/9650000071290,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์ ลักษณวิศิษฏ์,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
264,2022-07-26 10:16:00,“นิพนธ์” บอก ไม่ต้องให้ “บิ๊กป้อม” เคลียร์ใจ “ชาติไทยพัฒนา” หลังงดออกเสียง “จุรินทร์” ศึกซักฟอก,https://mgronline.com/politics/detail/9650000071036,"พลเอก ประวิตร วงษ์สุวรรณ,จุรินทร์ ลักษณวิศิษฏ์,นิพนธ์ บุญญามณี,จุรินทร์ ลักษณวิศิษฏ์,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,7
271,2022-07-23 15:55:00,“วราวุธ” แจง  3 ส.ส.ชทพ.งดออกเสียง “จุรินทร์” บอกเจ้าตัวแจ้งล่วงหน้าแล้วก่อนลงมติ,https://mgronline.com/politics/detail/9650000070277,"จุรินทร์ ลักษณวิศิษฏ์,วราวุธ ศิลปอาชา,จุรินทร์ ลักษณวิศิษฏ์,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
442,2022-03-15 10:07:00,รปช.-ชาติไทยพัฒนา พร้อมดินเนอร์ร่วมนายกฯ 17 มี.ค.นี้,https://mgronline.com/politics/detail/9650000025286,"พรรคชาติไทยพัฒนา,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,3
476,2022-02-15 12:38:00,“วราวุธ” ลั่น​ เลือดสุพรรณ​ ลงเรือลำเดียวกันแล้ว​ 12 เสียง ชทพ.หนุน รบ.ส่งให้ถึงฝั่ง​,https://mgronline.com/politics/detail/9650000015412,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
