,date_time,title,link,person,groups,sub_categories,categories,score,year,month
295,2022-07-19 18:09:00,ประชาชาติ อัดซ้ำ “ศักดิ์สยาม” ที่เขากระโดงละเว้นหน้าที่-เอื้อพวกพ้อง ปูด “นายเอ” ถือหุ้นแทน,https://mgronline.com/politics/detail/9650000068783,"ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,พรรคประชาชาติ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
652,2021-09-02 23:01:00,“ประชาชาติ” ขยี้ปมที่ดิน “เขากระโดงภาค 2”,https://mgronline.com/politics/detail/9640000087088,"พรรคประชาชาติ,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,9
1003,2020-09-17 18:25:00,พท.- ประชาชาติ ชงปรับลดงบ อ.ว.จี้สถานศึกษาให้เสรีภาพเด็กแสดงออก ไล่ครูเผด็จการ,https://mgronline.com/politics/detail/9630000095404,"พรรคเพื่อไทย,พรรคประชาชาติ,","พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,9
1050,2020-08-17 17:08:00,กกต.เคาะฟัน ผู้สมัครประชาชาติ บึงกาฬ เหตุรู้ไม่มีสิทธิแต่ลงสมัคร ส.ส.,https://mgronline.com/politics/detail/9630000084262,"คณะกรรมการการเลือกตั้ง,พรรคประชาชาติ,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,8
1161,2020-04-27 14:18:00,กกต.ฟันอาญาถ่ายบัตรเลือกตั้งลงเฟซบุ๊ก เด็กประชาชาติโดนรู้ไม่มีสิทธิแต่ยื่นสมัคร,https://mgronline.com/politics/detail/9630000043958,"คณะกรรมการการเลือกตั้ง,พรรคประชาชาติ,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,4
1192,2020-03-05 16:21:00,กกต.ดำเนินคดีอาญาผู้สมัคร ส.ส.ประชาชาติ กรณีรู้ไม่มีสิทธิแต่ยังลงสมัครเลือกตั้ง,https://mgronline.com/politics/detail/9630000022415,"คณะกรรมการการเลือกตั้ง,พรรคประชาชาติ,","กกต.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,3
1502,2019-09-04 16:57:00,"ประชาชาติ ถามรบ.ปม ""อับดุลเลาะ"" จี้ทบทวนกม.พิเศษ ""บิ๊กช้าง"" ยันยึดหลักยุติธรรม-สิทธิฯ",https://mgronline.com/politics/detail/9620000085060,"พรรคประชาชาติ,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,9
1574,2019-06-26 15:16:00,ประชาชาติ โวยกลางสภาฯ ขอเลิกบังคับ จชต.ลงทะเบียนซิม ส่อขัด รธน.สิทธิเสรีภาพ,https://mgronline.com/politics/detail/9620000060818,"พรรคประชาชาติ,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,6
1925,2018-11-22 14:57:00,พรรคประชาชาติซัดรัฐบาลลูบหน้าปะจมูกแก้ปัญหายาง สุดท้ายกลับมาเหมือนเดิม แนะตั้งโรงงานแปรรูปแก้ปัญหายั่งยืน,https://mgronline.com/politics/detail/9610000116651,"พรรคประชาชาติ,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2018,11
1948,2018-11-13 10:46:00,“ประชาชาติ” ซัดไทยนิยมฯ แสนล้านมุ่งสู่กระเป๋าทุนใหญ่ ไม่ยึดโยงผู้มีรายได้น้อย หวังผลทางการเมือง,https://mgronline.com/politics/detail/9610000113094,"พรรคประชาชาติ,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2018,11
1953,2018-11-02 07:55:00,พรรคประชาชาติ ฉะไทยนิยมฯ ไม่ถึงมือ ปชช. ชี้ผลผลิตเกษตรตกต่ำ ศก.แย่ลง-ชาวบ้านอมทุกข์,https://mgronline.com/politics/detail/9610000109388,"พรรคประชาชาติ,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",-1.0,2018,11
