,date_time,title,link,person,groups,sub_categories,categories,score,year,month
460,2022-02-23 15:29:00,หน.เศรษฐกิจใหม่ ปัดโบ้ยฝ่ายค้านไม่จงรักภักดี ขออภัยทำเข้าใจผิด อ้างทุกพรรคปกป้องชัดเจน,https://mgronline.com/politics/detail/9650000018369,"พรรคเศรษฐกิจใหม่,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
468,2022-02-18 14:36:00,“เศรษฐกิจใหม่” ปัดรับ “กล้วย” “มิ่งขวัญ” ลาออกเพราะพรรคพาไปถึงจุดสูงสุดไม่ได้ ย้ำย้ายขั้วจุดยืนปกป้องสถาบันฯ ไม่ตรงกัน,https://mgronline.com/politics/detail/9650000016642,"มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
469,2022-02-17 18:28:00,“มิ่งขวัญ” ลาสภา! ประกาศลาออก ส.ส.พิสูจน์ไม่ตระบัดสัตย์ ซัด “บิ๊กตู่” ทำให้พรรคเศรษฐกิจใหม่ เปลี่ยนไป,https://mgronline.com/politics/detail/9650000016362,"พลเอก ประยุทธ์ จันทร์โอชา,มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,2
1149,2020-05-25 13:41:00,“วิรัช” เผย “พรรคเศรษฐกิจใหม่” เปิดตัวร่วมประชุมวิปรัฐบาล เชื่อไม่มีใครยื่นศาล รธน. ตีความพระราชกำหนด,https://mgronline.com/politics/detail/9630000054240,"วิรัช รัตนเศรษฐ,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,5
1269,2020-02-04 10:45:00,“บิ๊กป้อม”ย้อนถามใครแจกกล้วย - ยังไม่คุย 5 ส.ส.เศรษฐกิจใหม่ร่วมรัฐบาล,https://mgronline.com/politics/detail/9630000011408,"พลเอก ประวิตร วงษ์สุวรรณ,พรรคเศรษฐกิจใหม่,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,2
1275,2020-01-31 11:32:00,“พรรคเศรษฐกิจใหม่” ร่อนหนังสือขอแยกตัวจากพรรคร่วมฝ่ายค้าน,https://mgronline.com/politics/detail/9630000010249,"พรรคเศรษฐกิจใหม่,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,1
1302,2020-01-11 19:11:00,งูเห่าโผล่อีก 8 ส.ส.ฝ่ายค้านโหวตหนุน พ.ร.บ.งบฯ “เศรษฐกิจใหม่” มาเพิ่ม,https://mgronline.com/politics/detail/9630000003296,"พรรคเศรษฐกิจใหม่,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,1
1361,2019-12-06 21:28:00,"""พุทธิพงษ์"" รับคุยเศรษฐกิจใหม่ร่วมรบ. จ่อดึง ""สาธิต-อธิรัฐ"" ประสานครม.กับวิปรบ.",https://mgronline.com/politics/detail/9620000116975,"อธิรัฐ รัตนเศรษฐ,พุทธิพงษ์ ปุณณกันต์,สาธิต ปิตุเตชะ,พุทธิพงษ์ ปุณณกันต์,อธิรัฐ รัตนเศรษฐ,สาธิต ปิตุเตชะ,พรรคเศรษฐกิจใหม่,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1362,2019-12-06 17:48:00,เศรษฐกิจใหม่ โต้เป็นงูเห่า บริสุทธิ์ใจนับองค์ประชุมกั๊กกันชาติไม่เดิน ยังอุบร่วม รบ.,https://mgronline.com/politics/detail/9620000116919,"พรรคเศรษฐกิจใหม่,","พรรคการเมือง,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1364,2019-12-06 13:23:00,“อนุทิน” ชี้ฝ่ายค้านร่วมองค์ประชุมเป็นศักดิ์ศรี ส.ส.ไม่อยากให้สภาล่ม หวัง “เศรษฐกิจใหม่” ร่วม ครม.ไม่กระทบ ภท.,https://mgronline.com/politics/detail/9620000116768,"อนุทิน ชาญวีรกูล,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,พรรคเศรษฐกิจใหม่,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1365,2019-12-05 15:31:00,“วิรัช” ขอบคุณ “เศรษฐกิจใหม่” หนุนรัฐบาล โยนผู้ใหญ่ ปชป.คุย 6 ส.ส.โหวตสวน,https://mgronline.com/politics/detail/9620000116505,"วิรัช รัตนเศรษฐ,พรรคประชาธิปัตย์,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1590,2019-06-11 11:47:00,ลูกพรรคเศรษฐกิจใหม่ร้อง กกต.โดนเบี้ยวเงินหาเสียง เป็นหนี้กันระนาว ซ้ำ“มิ่งขวัญ”ทิ้งเก้าอี้หัวหน้า,https://mgronline.com/politics/detail/9620000055408,"คณะกรรมการการเลือกตั้ง,มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,6
1652,2019-05-26 09:57:00,“มิ่งขวัญ” มั่นใจล้านเปอร์เซ็นต์ ส.ส.เศรษฐกิจใหม่ ไม่ใช่งูเห่า ยัน 7 พรรคเหนียวแน่น,https://mgronline.com/politics/detail/9620000049992,"มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,5
1662,2019-05-23 11:39:00,“มิ่งขวัญ” ร่อน จม.ลาออกหัวหน้าพรรคเศรษฐกิจใหม่ แต่ไม่ทิ้งเก้าอี้ ส.ส.,https://mgronline.com/politics/detail/9620000049081,"มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,5
