,date_time,title,link,person,groups,sub_categories,categories,score,year,month
1503,2019-09-04 15:29:00,นายกฯ เผยพระราชกระแส ร.๑๐ รับสั่งดูแล ปชช.ให้ดีที่สุด ถกผู้ว่าฯ จัดทำพื้นที่รับน้ำ,https://mgronline.com/politics/detail/9620000085000,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,9
1526,2019-08-08 15:17:00,สภาฯ ผ่านร่าง พ.ร.บ.เหรียญ ร.๑๐ สามวาระรวด แต่พบปัญหาเครื่องลงคะแนน,https://mgronline.com/politics/detail/9620000075595,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,8
1575,2019-06-26 14:45:00,“ประวิตร” สั่งจัดงานเฉลิมพระเกียรติ ร.๑๐ ติดตามการเผยแพร่ข้อมูลเท็จโซเชียลฯ,https://mgronline.com/politics/detail/9620000060785,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก ประวิตร วงษ์สุวรรณ,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,6
1660,2019-05-24 16:09:00,ร.๑๐ เสด็จฯ เปิดประชุมรัฐสภา มีพระราชดำรัสให้ความสำคัญในการปฏิบัติหน้าที่,https://mgronline.com/politics/detail/9620000049590,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,5
1661,2019-05-23 18:56:00,ร.๑๐ ทรงชื่นชมผู้ปฏิบัติงานพระราชพิธีบรมราชาภิเษก พร้อมพระราชทานเลี้ยงอาหาร,https://mgronline.com/politics/detail/9620000049318,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,5
1718,2019-04-19 15:21:00,นายกฯ เผย ร.๑๐ ทรงขอบใจ จนท.-จิตอาสาดับไฟป่าเหนือ ทำคุณภาพอากาศดีขึ้น,https://mgronline.com/politics/detail/9620000038155,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,4
1826,2019-02-11 17:34:00,นายกฯ เผย ร.10 รับสั่งทำงานต้องให้ปชช.มีความสุข อารมณ์ดีคุยเล่นปราชญ์ชาวบ้าน,https://mgronline.com/politics/detail/9620000014704,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2019,2
1983,2018-09-06 19:27:00,รบ.เผย ในหลวงร.10 พระราชทาน เครื่องราชอิสริยาภรณ์ ต่างชาติ-คนไทย ช่วยหมูป่า,https://mgronline.com/politics/detail/9610000089547,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2018,9
2001,2018-07-10 18:32:00,“ประยุทธ์” ขอพรสิ่งศักดิ์สิทธิ์คู่บ้านคู่เมือง และพระบารมี ร.๑๐ ให้ผ่านปัญหาทุกอย่าง,https://mgronline.com/politics/detail/9610000068722,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก ประยุทธ์ จันทร์โอชา,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2018,7
2083,2018-01-07 16:12:00,ร.๑๐ โปรดเกล้าฯ จัดงาน “อุ่นไอรัก คลายความหนาว” น้อมรำลึกถึงราชวงศ์จักรี,https://mgronline.com/politics/detail/9610000001812,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2018,1
2167,2017-06-26 14:25:00,“ประวิตร” สั่งจัดกิจกรรมเฉลิมพระเกียรติ ร.๑๐ ให้สมพระเกียรติ-ย้ำหนุนปรองดอง,https://mgronline.com/politics/detail/9600000064971,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก ประวิตร วงษ์สุวรรณ,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2017,6
2300,2015-12-15 18:16:00,นายกฯแจ้ง ครม.“สมเด็จพระบรมฯ” ทรงมีพระกระแสรับสั่ง ขอบใจประชาชนคนไทยทุกคนที่ได้ร่วมกันจัดกิจกรรมปั่นเพื่อพ่อ,https://mgronline.com/politics/detail/9580000137681,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2015,12
2319,2015-10-21 17:32:00,“สมเด็จพระบรมฯ” ทรงจักรยานนำขบวน “ปั่นเพื่อพ่อ” 11 ธ.ค.นี้ บ่าย 3 โมง,https://mgronline.com/politics/detail/9580000117985,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2015,10
2321,2015-10-13 10:59:00,“ประยุทธ์” ร่วมประชาสัมพันธ์แข่งจักรยานชิงถ้วยพระราชทาน “สมเด็จพระบรมฯ”,https://mgronline.com/politics/detail/9580000114627,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก ประยุทธ์ จันทร์โอชา,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2015,10
2329,2015-09-30 15:44:00,รัฐบาลเผย “สมเด็จพระบรมฯ” ทรงขอบพระทัยผู้ถวายงาน Bike for Mom - รับศึกษา Single Gateway,https://mgronline.com/politics/detail/9580000110052,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2015,9
2337,2015-09-15 10:56:00,“บิ๊กตู่” นำ ครม.ปั่นจักรยานรอบทำเนียบฯ สานต่อพระราชปณิธาน สมเด็จพระบรมฯ ชวนคนไทยออกกำลังกาย,https://mgronline.com/politics/detail/9580000104225,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก ประยุทธ์ จันทร์โอชา,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2015,9
2347,2015-08-21 18:55:00,“สมเด็จพระบรมฯ” ทรงขอบคุณนายกรัฐมนตรี - ข้าราชการทุกภาคส่วนร่วมจัด “ไบค์ ฟอร์ มัม”,https://mgronline.com/politics/detail/9580000095135,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,","สมาชิกราชวงศ์จักรี,","วัง,","วัง & องคมนตรี,",1.0,2015,8
2354,2015-08-03 16:42:00,“อนุพงษ์” น้อมนำรับสั่ง สมเด็จพระบรมฯ ทรงห่วงพสกนิกร “Bike for mom” เน้นปลอดภัย,https://mgronline.com/politics/detail/9580000087526,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,พลเอก อนุพงษ์ เผ่าจินดา,","สมาชิกราชวงศ์จักรี,ครม. ชุดที่ 62,","วัง,สายพรรคการเมือง,","วัง & องคมนตรี,พรรคการเมือง & กลุ่มการเมือง,",1.0,2015,8
