,date_time,title,link,person,groups,sub_categories,categories,score,year,month
7,2022-11-01 13:55:00,“ประวิตร” นิ่ง ตอบสั้นๆ ไม่มี ยุบสภาก่อน 24 ธ.ค.,https://mgronline.com/politics/detail/9650000104303,"พลเอก ประวิตร วงษ์สุวรรณ,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,11
15,2022-10-31 14:52:00,“บิ๊กป้อม” โยนถาม “บิ๊กตู่” ยุบสภา 24 ธ.ค.เหตุเป็นวันสุดท้าย ส.ส.ย้ายพรรคก่อนครบวาระ,https://mgronline.com/politics/detail/9650000103965,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
27,2022-10-27 17:36:00,“บิ๊กป้อม” บอกยังไม่ถึงเวลาหลังถูกถามจับมือ พท.ตั้งรัฐบาล ชี้ให้รอใกล้เลือกตั้งก่อน,https://mgronline.com/politics/detail/9650000102884,"พลเอก ประวิตร วงษ์สุวรรณ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
41,2022-10-25 14:55:00,"""บิ๊กป้อม"" ชิ่งสื่อไม่ตอบปมร้อนการเมืองทั้งพท.อ้าแขนรับพปชร.ร่วมรัฐบาล-แนวคิด ""หมดลุงตู่ สู่ลุงป้อม""",https://mgronline.com/politics/detail/9650000102007,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
42,2022-10-25 13:54:00,“บิ๊กตู่” เมินตอบสูตรนายกฯ คนละครึ่ง “บิ๊กป้อม” ไม่สน “ชลน่าน” อวยพี่ใหญ่ดีกว่า,https://mgronline.com/politics/detail/9650000101958,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ชลน่าน ศรีแก้ว,ชลน่าน ศรีแก้ว,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
50,2022-10-23 10:49:00,“ชัยวุฒิ” โต้ “หมดที่ลุงตู่ สู่ลุงป้อม” ไม่ใช่ข้อสรุป พปชร.ยันหนุน “บิ๊กตู่” นายกฯ เชื่อไปสิงห์บุรีไร้ม็อบ,https://mgronline.com/politics/detail/9650000101330,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ชัยวุฒิ ธนาคมานุสรณ์,ชัยวุฒิ ธนาคมานุสรณ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
56,2022-10-20 18:38:00,พปชร.ย้ำจุดยืนเทิดทูนชาติ ศาสน์ กษัตริย์ ค้านแก้ ม.112 “บิ๊กป้อม” เดินหน้า 3 พันธกิจประชารัฐ,https://mgronline.com/politics/detail/9650000100630,"พลเอก ประวิตร วงษ์สุวรรณ,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
66,2022-10-18 16:12:00,“บิ๊กตู่” โยนโฆษกแจงปมร้อน ขู่พยานแฉสร้างบ้านกำลังพล “บิ๊กป้อม” ให้ถาม “วีระกร” นายกฯ ร่วม พปชร.,https://mgronline.com/politics/detail/9650000099764,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,วีระกร คำประกอบ,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
79,2022-10-11 17:49:00,"""บิ๊กตู่"" มุ้งมิ้งโอบพุง ""พี่ป้อม"" หลังเลิก ครม.กำชับเตรียมประชุมเอเปคเข้มยา-ปืน เยียวยาน้ำท่วม",https://mgronline.com/politics/detail/9650000097688,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
88,2022-10-10 15:23:00,พปชร.โต้แพแตก จี้สำนึกได้นั่ง ส.ส.คนจ่อชิง ชู “ตู่-ป้อม” ขายได้ ส.ส.ใต้ไม่หนี ดักอย่าให้ รมต.พวกสวนมติ,https://mgronline.com/politics/detail/9650000097207,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
