,date_time,title,link,person,groups,sub_categories,categories,score,year,month
45,2022-10-24 09:58:00,“บิ๊กตู่” ควง “บิ๊กป๊อก” ลงพื้นที่สิงห์บุรี เตรียมนั่งเรือ-ลุยน้ำ เยี่ยม ปชช.ประสบอุทกภัย,https://mgronline.com/politics/detail/9650000101552,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก อนุพงษ์ เผ่าจินดา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
110,2022-10-05 11:39:00,“บิ๊กป๊อก” ระบุ หากมรสุมไม่ซ้ำเติม จัดการน้ำได้ ไม่ซ้ำรอยปี 54 เผย “บิ๊กตู่” สั่งเร่งเยียวยาความเดือดร้อนประชาชน,https://mgronline.com/politics/detail/9650000095474,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก อนุพงษ์ เผ่าจินดา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
270,2022-07-23 20:08:00,เดือด! ไลน์ห้อง ส.ส.พปชร.ซัดทีมปากน้ำ คว่ำ “บิ๊กป๊อก-รมต.เฮ้ง” ไล่บี้แจงเหตุผล ชง “บิ๊กป้อม” ตั้ง กก.สอบข้อเท็จจริง,https://mgronline.com/politics/detail/9650000070337,"พลเอก ประวิตร วงษ์สุวรรณ,พลเอก อนุพงษ์ เผ่าจินดา,พรรคพลังประชารัฐ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
604,2021-10-26 08:04:00,“บิ๊กตู่” เปิดบ้านพักรับรองถก 6 รมต.ต่อ หลังหารือตึกไทยฯ ไม่จบ คุยเองปรับโครงสร้าง พปชร. “บิ๊กป้อม-บิ๊กป๊อก” ร่วมด้วย,https://mgronline.com/politics/detail/9640000105786,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,พลเอก อนุพงษ์ เผ่าจินดา,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,10
653,2021-09-02 18:08:00,“บิ๊กป้อม-บิ๊กป๊อก” โผล่มูลนิธิป่ารอยต่อฯ ก่อนเข้าสภาฯ ท่ามกลางกระแสข่าว พปชร.ขอคืนเก้าอี้ มท.1,https://mgronline.com/politics/detail/9640000087010,"พลเอก ประวิตร วงษ์สุวรรณ,พลเอก อนุพงษ์ เผ่าจินดา,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,9
841,2021-02-22 16:55:00,“บิ๊กป้อม” เคลียร์ใจพรรคร่วมแล้ว รับพรรคเล็กคุมไม่ได้ “บิ๊กป๊อก” เมินตอบฝ่ายค้านยื่น ป.ป.ช.,https://mgronline.com/politics/detail/9640000017645,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประวิตร วงษ์สุวรรณ,พลเอก อนุพงษ์ เผ่าจินดา,","ป.ป.ช.,ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,2
851,2021-02-18 18:58:00,เสรีรวมไทย ปูดก๊วนงาบงบขุดลอกคลองผ่าน อพศ. “บิ๊กป้อม-บิ๊กป๊อก” ประสานเสียงปัด,https://mgronline.com/politics/detail/9640000016406,"พลเอก ประวิตร วงษ์สุวรรณ,พลเอก อนุพงษ์ เผ่าจินดา,พรรคเสรีรวมไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,2
1187,2020-03-10 12:09:00,"""บิ๊กป๊อก""ซัดเด็ก ปชป.คิดปรับ ครม.ข้ามพรรค ควรหรือไม่",https://mgronline.com/politics/detail/9630000023998,"พลเอก อนุพงษ์ เผ่าจินดา,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,3
1352,2019-12-11 11:57:00,“บิ๊กป๊อก” หวั่น อนค.ให้ข้อมูลด้านเดียว ทำทัศนคติไม่ดีแก่ ปชช.,https://mgronline.com/politics/detail/9620000118140,"พลเอก อนุพงษ์ เผ่าจินดา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1544,2019-07-15 10:26:00,“บิ๊กป๊อก” เชื่อทำงานร่วม 2 รมช.ไร้ปัญหา ไม่ทราบ พปชร.ส่ง “ณรงค์ศักดิ์” ชิงผู้ว่าฯ กทม.,https://mgronline.com/politics/detail/9620000067184,"พลเอก อนุพงษ์ เผ่าจินดา,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,7
