,date_time,title,link,person,groups,sub_categories,categories,score,year,month
468,2022-02-18 14:36:00,“เศรษฐกิจใหม่” ปัดรับ “กล้วย” “มิ่งขวัญ” ลาออกเพราะพรรคพาไปถึงจุดสูงสุดไม่ได้ ย้ำย้ายขั้วจุดยืนปกป้องสถาบันฯ ไม่ตรงกัน,https://mgronline.com/politics/detail/9650000016642,"มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
469,2022-02-17 18:28:00,“มิ่งขวัญ” ลาสภา! ประกาศลาออก ส.ส.พิสูจน์ไม่ตระบัดสัตย์ ซัด “บิ๊กตู่” ทำให้พรรคเศรษฐกิจใหม่ เปลี่ยนไป,https://mgronline.com/politics/detail/9650000016362,"พลเอก ประยุทธ์ จันทร์โอชา,มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,2
1590,2019-06-11 11:47:00,ลูกพรรคเศรษฐกิจใหม่ร้อง กกต.โดนเบี้ยวเงินหาเสียง เป็นหนี้กันระนาว ซ้ำ“มิ่งขวัญ”ทิ้งเก้าอี้หัวหน้า,https://mgronline.com/politics/detail/9620000055408,"คณะกรรมการการเลือกตั้ง,มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,6
1652,2019-05-26 09:57:00,“มิ่งขวัญ” มั่นใจล้านเปอร์เซ็นต์ ส.ส.เศรษฐกิจใหม่ ไม่ใช่งูเห่า ยัน 7 พรรคเหนียวแน่น,https://mgronline.com/politics/detail/9620000049992,"มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,5
1662,2019-05-23 11:39:00,“มิ่งขวัญ” ร่อน จม.ลาออกหัวหน้าพรรคเศรษฐกิจใหม่ แต่ไม่ทิ้งเก้าอี้ ส.ส.,https://mgronline.com/politics/detail/9620000049081,"มิ่งขวัญ แสงสุวรรณ์,พรรคเศรษฐกิจใหม่,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,5
1717,2019-04-19 19:46:00,“มิ่งขวัญ”ปัดคนนอกครอบงำ เตรียมเอาผิดคนยื่นยุบพรรค ย้ำร่วม“เพื่อไทย”ถ้าทุจริตจะถอยออกมาเอง,https://mgronline.com/politics/detail/9620000038254,"มิ่งขวัญ แสงสุวรรณ์,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,4
1722,2019-04-13 13:11:00,สะพัด! พปชร.จีบ “มิ่งขวัญ” สำเร็จ - ปชป.แตกก๊วนร่วม,https://mgronline.com/politics/detail/9620000036443,"มิ่งขวัญ แสงสุวรรณ์,พรรคพลังประชารัฐ,พรรคประชาธิปัตย์,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,4
1747,2019-03-27 21:56:00,“มิ่งขวัญ” ย้ำเป็นคนรักษาคำพูด กั๊กตอบร่วมรัฐบาลเพื่อไทย,https://mgronline.com/politics/detail/9620000030745,"มิ่งขวัญ แสงสุวรรณ์,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,3
1756,2019-03-26 19:05:00,"พท.ชิงแถลงพรุ่งนี้ จับมือ 5 พรรค ลุ้น ""มิ่งขวัญ"" ร่วมแจมหวังมี 251 เสียงตั้งรัฐบาล",https://mgronline.com/politics/detail/9620000030290,"มิ่งขวัญ แสงสุวรรณ์,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,3
2765,2013-12-18 16:40:00,“มิ่งขวัญ” กลัวไร้ชื่อปาร์ตี้ลิสต์ สะบัดตูดหนี “เพื่อแม้ว” อ้างอยากพักผ่อน-สอนหนังสือเด็ก,https://mgronline.com/politics/detail/9560000155343,"มิ่งขวัญ แสงสุวรรณ์,พรรคเพื่อไทย,ทักษิณ ชินวัตร,","ส.ส. ชุดที่ 25,พรรคการเมือง,คนเบื้องหลังพรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2013,12
