,date_time,title,link,person,groups,sub_categories,categories,score,year,month
85,2022-10-10 18:15:00,“เพื่อไทย” เปิดอ้าซ่ารับ “บิ๊กเนม” ย้ายเข้า โอ่ “สุชาติ-สมศักดิ์-ธรรมนัส” คนเก่าแก่,https://mgronline.com/politics/detail/9650000097307,"ร้อยเอก ธรรมนัส พรหมเผ่า,สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,ร้อยเอก ธรรมนัส พรหมเผ่า,สุชาติ ตันเจริญ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,10
86,2022-10-10 16:29:00,ดีลลับดูไบส่อเป็นผล! ไร้เงา “ธรรมนัส-ส.ส.” นั่ง กก.บห.พรรค ศท.คาดเตรียมตบเท้าเข้าเพื่อไทย,https://mgronline.com/politics/detail/9650000097254,"ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,10
304,2022-07-13 13:49:00,อะไรก็เกิดขึ้นได้! “ธรรมนัส” รับเป็นฝ่ายค้าน 100% เหตุท่าที “ศท.” ไม่ชัดเจน เคลียร์ “บิ๊กป้อม” แล้วเข้าใจ แบะท่าพร้อมร่วมงาน “พท.”,https://mgronline.com/politics/detail/9650000066792,"พลเอก ประวิตร วงษ์สุวรรณ,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
315,2022-07-06 13:16:00,“ธรรมนัส” สวน “บิ๊กตู่” นำก๊วน “เศรษฐกิจไทย” หนุนสูตร 100,https://mgronline.com/politics/detail/9650000064250,"พลเอก ประยุทธ์ จันทร์โอชา,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
437,2022-03-18 17:00:00,“ธรรมนัส” ไม่สังฆกรรม พปชร.โวกวาด 100 ที่นั่ง ตั้ง รบ.เอง ล็อกเป้าไม่ไว้วางใจ รมต.ปรามาสพรรค,https://mgronline.com/politics/detail/9650000026795,"ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
444,2022-03-11 14:52:00,2 ส.ส.พลังท้องถิ่นไทโผล่วงข้าวก๊วนธรรมนัส ไร้เงา “ชัช เตาปูน”- 5 พรรคเล็กไม่มา,https://mgronline.com/politics/detail/9650000024196,"ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังท้องถิ่นไท,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
447,2022-03-08 23:57:00,ดินเนอร์พรรคร่วมชื่นมื่น “บิ๊กตู่-บิ๊กป้อม” โอบเอวโชว์หวาน ย้ำ “เศรษฐกิจไทย” หนุนรัฐบาล 100% ยกเว้น “ธรรมนัส”,https://mgronline.com/politics/detail/9650000023182,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,3
452,2022-03-07 14:37:00,“ธรรมนัส” นำทีม “เศรษฐกิจไทย” ลุยขยายฐานเสียงเชียงราย,https://mgronline.com/politics/detail/9650000022544,"ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
455,2022-03-01 12:18:00,“ธรรมนัส” เย้ย 260 เสียงหนุน “บิ๊กตู่” ฝันไปหรือเปล่า ลั่นไม่มีเศรษฐกิจไทยอยู่ในนั้นแน่,https://mgronline.com/politics/detail/9650000020493,"พลเอก ประยุทธ์ จันทร์โอชา,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคเศรษฐกิจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
474,2022-02-15 15:41:00,“สมศักดิ์” รับ 5 ส.ส.“ก๊วนธรรมนัส” อยากกลับ พปชร.-โวหนุน รบ.อยู่จนครบเทอม,https://mgronline.com/politics/detail/9650000015523,"ร้อยเอก ธรรมนัส พรหมเผ่า,สมศักดิ์ เทพสุทิน,สมศักดิ์ เทพสุทิน,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
