,date_time,title,link,person,groups,sub_categories,categories,score,year,month
243,2022-08-09 12:35:00,ชทพ.เตรียมถกท่าทีประชุมร่วมรัฐสภาบ่ายนี้ “วราวุธ” ชี้สภาต้องเดินต่อ ตีความ 8 ปี นายกฯปล่อยเป็นหน้าที่ศาลรัฐธรรมนูญ,https://mgronline.com/politics/detail/9650000075778,"ศาลรัฐธรรมนูญ,วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ศาลรัฐธรรมนูญ,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,8
271,2022-07-23 15:55:00,“วราวุธ” แจง  3 ส.ส.ชทพ.งดออกเสียง “จุรินทร์” บอกเจ้าตัวแจ้งล่วงหน้าแล้วก่อนลงมติ,https://mgronline.com/politics/detail/9650000070277,"จุรินทร์ ลักษณวิศิษฏ์,วราวุธ ศิลปอาชา,จุรินทร์ ลักษณวิศิษฏ์,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
476,2022-02-15 12:38:00,“วราวุธ” ลั่น​ เลือดสุพรรณ​ ลงเรือลำเดียวกันแล้ว​ 12 เสียง ชทพ.หนุน รบ.ส่งให้ถึงฝั่ง​,https://mgronline.com/politics/detail/9650000015412,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
515,2022-01-26 16:50:00,“วราวุธ” ย้อน “ชลน่าน” ไร้กลิ่นโชยรัฐประหาร ชทพ.หนุน รบ.ให้กำลังใจ พปชร.ชี้ปกติง่อนแง่นแต่ลากยาว,https://mgronline.com/politics/detail/9650000008536,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,ชลน่าน ศรีแก้ว,พรรคพลังประชารัฐ,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,1
550,2021-12-07 12:57:00,“วราวุธ” เตรียมนำ ส.ส.ชทพ.ต้อนรับ “บิ๊กตู่” เยือนสุพรรณบุรี มอบเงินประกันรายได้เกษตรกรชาวนา 9 ธ.ค.,https://mgronline.com/politics/detail/9640000121022,"พลเอก ประยุทธ์ จันทร์โอชา,วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,12
778,2021-04-05 12:05:00,“วราวุธ” ยัน 3 พรรคร่วมรวมตัวแก้ รธน. ไม่ทำ พปชร.โดดเดี่ยว ชี้ ชทพ.ขอรอดูความชัดเจนปมแก้ รธน.ก่อน,https://mgronline.com/politics/detail/9640000032314,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคพลังประชารัฐ,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,4
867,2021-02-08 15:33:00,“วราวุธ” ระบุ รมต.ชทพ.พร้อมช่วยตอบศึกซักฟอก เตรียมขอมติพรรคโหวตเรียงตัว,https://mgronline.com/politics/detail/9640000012583,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,2
1080,2020-07-20 10:22:00,“วราวุธ” ยัน ชทพ.เก้าอี้เดิมไม่มีปรับ เชื่อปรับเฉพาะส่วนนายกฯ,https://mgronline.com/politics/detail/9630000074122,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,7
1324,2019-12-24 11:39:00,"""วราวุธ"" บอกแค่กระแสรองูเห่า ""อนค."" ซบ ""ชทพ."" เชื่อพรรคใหญ่คุยกันแล้ว",https://mgronline.com/politics/detail/9620000122382,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1327,2019-12-19 16:30:00,“วราวุธ” แบะท่า ส.ส.อนค.งูเห่าร่วม ชพน. แย้มมาไม่กลัว กลัวไม่มา ชี้ปกติโยกย้าย,https://mgronline.com/politics/detail/9620000121088,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1338,2019-12-17 11:21:00,“วราวุธ” ให้กำลังใจ 4 งูเห่า อนค. รับยังไม่มีทาบทามเข้า ชทพ.ขอหารือพรรคก่อน,https://mgronline.com/politics/detail/9620000120031,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1372,2019-12-03 11:21:00,“วราวุธ” ควง​แกนนำพรรค ชทพ.มีตติ้งพรรคร่วมรัฐบาลเย็นนี้​ ลั่น​ไม่มีปัญหาในการทำงาน,https://mgronline.com/politics/detail/9620000115624,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,12
1404,2019-11-11 09:27:00,“วราวุธ” ชี้ ปธ.กมธ.แก้ รธน.ต้องคร่ำหวอดเชี่ยวชาญ กม.- ชทพ.นัดหารือเลือกตัวแทนพรุ่งนี้,https://mgronline.com/politics/detail/9620000107987,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,11
1447,2019-10-15 11:49:00,“วราวุธ” มั่นใจ งบปี63 ผ่านฉลุย กำชับส.ส.พรรคชทพ.เข้าประชุมพร้อมเพรียง,https://mgronline.com/politics/detail/9620000099085,"วราวุธ ศิลปอาชา,วราวุธ ศิลปอาชา,พรรคชาติไทยพัฒนา,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,10
