,date_time,title,link,person,groups,sub_categories,categories,score,year,month
5,2022-11-01 15:03:00,"""วิษณุ"" ไม่รู้ยุบสภาเมื่อใดแต่ชี้วันนับย้ายพรรคทัน ยังไม่ออกพ.ร.ก.เลือกตั้งกันครหาใช้อำนาจฝ่ายเดียว",https://mgronline.com/politics/detail/9650000104336,"วิษณุ เครืองาม,","ครม. ชุดที่ 62,","สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,11
8,2022-11-01 11:01:00,“บิ๊กตู่” ยืนยันรับฟังทุกฝ่าย กม.ไม่ดีต้องแก้ ลั่นทำเพื่อ ปชช. “วิษณุ” ยุชาวบ้านแจ้ง ขรก.ไม่รับทำธุรกรรมออนไลน์,https://mgronline.com/politics/detail/9650000104221,"พลเอก ประยุทธ์ จันทร์โอชา,วิษณุ เครืองาม,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,11
14,2022-10-31 14:59:00,“วิษณุ” ย้ำ “บิ๊กตู่” เป็นนายกฯต่อได้แค่ 2 ปี ศาลชี้ชัดไม่มีอะไรจะตีแล้ว แต่แย้มอาจมีร้องรักษาการ,https://mgronline.com/politics/detail/9650000103971,"พลเอก ประยุทธ์ จันทร์โอชา,วิษณุ เครืองาม,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
180,2022-09-22 14:05:00,“สุริยะ”​ แจง ครม.ไม่มีการอนุมัติงบเพิ่มสู้คดีคิงส์เกต เป็นเพียงการขยายกรอบเวลา​ เผย หารือแนวทาง​ “วิษณุ​” เน้นการเจรจา มั่นใจไร้ปัญหา​,https://mgronline.com/politics/detail/9650000091133,"วิษณุ เครืองาม,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
217,2022-08-30 14:35:00,“วิษณุ” แก้คำสั่งสำนักนายกรัฐมนตรี ให้ “ประวิตร” มีอำนาจเต็ม โยกย้ายอนุมัติงบได้ ย้ำรัฐบาลไม่เกิดสุญญากาศ,https://mgronline.com/politics/detail/9650000083224,"พลเอก ประวิตร วงษ์สุวรรณ,วิษณุ เครืองาม,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,8
380,2022-05-12 16:26:00,“วิษณุ” แจงปมนายกฯ 8 ปี เป็นไปตาม รธน.60 ไม่เกี่ยวยื่นบัญชี ป.ป.ช.ปี 57 ท้ายสุดอยู่ที่ศาล รธน.,https://mgronline.com/politics/detail/9650000045236,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,วิษณุ เครืองาม,","ป.ป.ช.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,5
398,2022-04-26 16:11:00,“ประยุทธ์” มอบ “วิษณุ” นั่ง ปธ.คกก.ขับเคลื่อนงานด้านสตรี แทน “จุรินทร์”,https://mgronline.com/politics/detail/9650000039697,"พลเอก ประยุทธ์ จันทร์โอชา,วิษณุ เครืองาม,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์ ลักษณวิศิษฏ์,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
481,2022-02-11 12:19:00,“วิษณุ” แจงโหวตสายสีเขียว ครม.ต้องรับผิดร่วมกัน ไม่กระทบสัมพันธ์พรรคร่วม แม้ “ภท.” ยังบอยคอต,https://mgronline.com/politics/detail/9650000014151,"วิษณุ เครืองาม,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
522,2022-01-21 19:02:00,“วิษณุ” ชี้ขับก๊วน “ธรรมนัส” กกต.ต้องรับรอง แย้มรับกลับเป็นเรื่องตลก แต่การเมืองไทยมีเรื่องตลกบ่อย,https://mgronline.com/politics/detail/9650000006935,"คณะกรรมการการเลือกตั้ง,วิษณุ เครืองาม,ร้อยเอก ธรรมนัส พรหมเผ่า,ร้อยเอก ธรรมนัส พรหมเผ่า,","กกต.,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,1
565,2021-11-16 11:59:00,“วิษณุ” กาง กม. ชี้ “บิ๊กแป๊ะ” เป็นสมาชิกพรรคการเมืองไม่ได้ กำชับ รมต.ใช้สิทธิเลือกตั้ง อบต.,https://mgronline.com/politics/detail/9640000113538,"พลตำรวจเอก จักรทิพย์ ชัยจินดา,วิษณุ เครืองาม,พลตำรวจเอก จักรทิพย์ ชัยจินดา,","ผบ. ตร.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,","สายตำรวจ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ตำรวจ & ทหาร,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,11
