,date_time,title,link,person,groups,sub_categories,categories,score,year,month
210,2022-09-07 11:58:00,ศาลปกครองสั่ง “กทม.- กรุงเทพธนาคม” จ่ายหนี้ค่าจ้างเดินรถ BTS รวมกว่า 1.2 หมื่นล้านบาท ภายใน 180 วัน,https://mgronline.com/politics/detail/9650000085853,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2022,9
309,2022-07-08 13:40:00,“จิรายุ” จี้ นายกฯ ให้ความสำคัญโครงการรถไฟฟ้าสายสีส้ม หลังศาลปกครองพิพากษาการล้มประมูลครั้งแรกไม่ชอบด้วยกฎหมาย,https://mgronline.com/politics/detail/9650000065135,"ศาลปกครอง,จิรายุ ห่วงทรัพย์,","ศาลปกครอง,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,7
347,2022-06-10 11:44:00,“ก้าวไกล” บี้อัยการสูงสุดร้องศาลฎีกานักการเมือง ฟัน “นิพนธ์” พ้น รมต.เหตุศาลปกครองสูงสุด สั่ง อบจ.สงขลา จ่ายเงินให้บริษัทรถซ่อมบำรุงทาง,https://mgronline.com/politics/detail/9650000055219,"ศาลยุติธรรม,ศาลปกครอง,นิพนธ์ บุญญามณี,พรรคอนาคตใหม่-พรรคก้าวไกล,","ศาลยุติธรรม,ศาลปกครอง,ครม. ชุดที่ 62,พรรคการเมือง,","สายศาล,สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,6
419,2022-04-05 16:07:00,“นิพนธ์” ยันทำตาม กม.เพิกถอนที่ดิน “แม่ธนาธร” อุทธรณ์ฟ้องศาลปกครองได้,https://mgronline.com/politics/detail/9650000033029,"ศาลปกครอง,นิพนธ์ บุญญามณี,ธนาธร จึงรุ่งเรืองกิจ,","ศาลปกครอง,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
451,2022-03-08 07:56:00,"""ศักดิ์สยาม-รฟท."" ทำหนังสือด่วนศาลปค.กลาง ของดบังคับคดีไม่จ่ายค่าโง่โฮปเวลล์ หลังสั่งรื้อคดี",https://mgronline.com/politics/detail/9650000022758,"ศาลปกครอง,ศักดิ์สยาม ชิดชอบ,ศักดิ์สยาม ชิดชอบ,","ศาลปกครอง,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,3
687,2021-07-27 10:40:00,“สิระ” ซัด “เสรีพิศุทธ์” รีบทำตามคำสั่งศาลปกครอง จี้รื้อถอนสิ่งล่วงล้ำลำน้ำในแม่น้ำแควน้อย,https://mgronline.com/politics/detail/9640000073295,"ศาลปกครอง,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,สิระ เจนจาคะ,เสรี สุวรรณภานนท์,","ศาลปกครอง,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,7
781,2021-04-03 20:59:00,เปิดคำพิพากษาศาลปกครองกลางสั่งเพิกถอนคำสั่งให้ “ยิ่งลักษณ์” จ่ายชดเชยจำนำข้าว,https://mgronline.com/politics/detail/9640000031949,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2021,4
784,2021-04-02 11:48:00,“ยิ่งลักษณ์” เฮ! ศาลปกครองเพิกถอนคำสั่งให้จ่าย 3.5 หมื่นล้าน ชดเชยจำนำข้าว ชี้ทุจริตในระดับปฏิบัติ,https://mgronline.com/politics/detail/9640000031452,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2021,4
863,2021-02-09 16:30:00,ภท.ข้องใจ กทม.เลื่อนเก็บค่าโดยสารสายสีเขียว ในวันที่ศาลปกครองสั่งเผยสัญญา ลั่นไล่บี้ต่อ,https://mgronline.com/politics/detail/9640000013068,"ศาลปกครอง,พรรคภูมิใจไทย,","ศาลปกครอง,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,2
876,2021-01-29 11:57:00,ภท.ร้องศาลปกครองคุ้มครองชั่วคราว ยับยั้ง กทม.ขึ้นค่าโดยสารรถไฟฟ้าสายสีเขียว,https://mgronline.com/politics/detail/9640000009084,"ศาลปกครอง,พรรคภูมิใจไทย,","ศาลปกครอง,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,1
1418,2019-10-30 11:57:00,ศาลปกครองเริ่มไต่สวนระงับแบน 3 สารพิษ อดีตบิ๊กเกษตรฯ เป็นพยานผู้ร้อง อ้างมติ กก.วัตถุอันตรายไม่ถูกต้อง,https://mgronline.com/politics/detail/9620000104135,"ศาลปกครอง,พรรคอนาคตใหม่-พรรคก้าวไกล,","ศาลปกครอง,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,10
1577,2019-06-25 12:15:00,“คสช.-บิ๊กตู่” โล่ง ศาลปกครองสูงสุดตีตกไม่รับคำฟ้องตรวจสอบคำสั่งตั้งกรรมการสรรหา ส.ว.,https://mgronline.com/politics/detail/9620000060245,"ศาลปกครอง,พลเอก ประยุทธ์ จันทร์โอชา,","ศาลปกครอง,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,6
1606,2019-06-05 13:14:00,ศาลปกครองไม่รับคำร้อง “เรืองไกร” ปมขอวินิจฉัยเพิกถอนมติ กกต.ที่ชี้ว่า “บิ๊กตู่” ใช้สื่อโซเชียลฯ ชี้ไม่เข้าข่ายเป็นเจ้าของกิจการสื่อ,https://mgronline.com/politics/detail/9620000053514,"ศาลปกครอง,คณะกรรมการการเลือกตั้ง,พลเอก ประยุทธ์ จันทร์โอชา,","ศาลปกครอง,กกต.,ครม. ชุดที่ 62,","สายศาล,สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,6
1766,2019-03-21 11:06:00,ศาลปกครองยก 2 คำร้องเพิกถอน กก.สรรหา ส.ว. ชี้นายกฯ-คสช.ทำตามรัฐธรรมนูญ,https://mgronline.com/politics/detail/9620000028003,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2019,3
1778,2019-03-15 15:14:00,"กลุ่มคนอยากเลือกตั้ง ฟ้องศาลปค. จี้ ""เสี่ยป้อม"" เปิดขั้นตอนพร้อมรายชื่อว่าที่สว.",https://mgronline.com/politics/detail/9620000026016,"ศาลปกครอง,พลเอก ประวิตร วงษ์สุวรรณ,","ศาลปกครอง,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,3
2029,2018-05-01 15:56:00,ศาลปกครองสูงสุดยกฟ้อง “ทักษิณ”ขอคืนพาสปอร์ต ชี้พูดกระทบสถาบันฯ สั่งยกเลิกชอบแล้ว,https://mgronline.com/politics/detail/9610000042858,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2018,5
2056,2018-03-08 15:26:00,ศาลปกครองระบุวินิจฉัยคดี “ปู-บุญทรง” จ่ายชดเชยจำนำข้าว ไม่ต้องรอคดีอาญาถึงที่สุด,https://mgronline.com/politics/detail/9610000023469,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2018,3
2069,2018-01-29 14:46:00,ศาลปกครองกลางสั่งยึดทรัพย์ “ปู” ยกคำขอทุเลา ส่อพบถ่ายเททรัพย์-ทนายเตรียมแย้ง,https://mgronline.com/politics/detail/9610000009311,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2018,1
2121,2017-09-28 11:41:00,“วิษณุ” ชี้ “ปู” อายุความ 10 ปีขึ้นเหตุ พรป.ใหม่ยังไม่คลอด ยึดทรัพย์ต้องรอศาลปกครอง,https://mgronline.com/politics/detail/9600000099329,"ศาลปกครอง,วิษณุ เครืองาม,","ศาลปกครอง,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2017,9
2185,2017-03-08 15:24:00,ศาลปกครองยันอีกไม่ช้าลุ้นคำสั่งคดี “ยิ่งลักษณ์” ชดใช้ค่าเสียหายโครงการจำนำข้าว,https://mgronline.com/politics/detail/9600000023856,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2017,3
2187,2017-02-22 16:05:00,“วิษณุ” ย้ำคดีข้าวต้องปฏิบัติตามศาลปกครอง ชี้ฝืน ม.44 เข้าพื้นที่ธรรมกายมีความผิด,https://mgronline.com/politics/detail/9600000018525,"ศาลปกครอง,วิษณุ เครืองาม,","ศาลปกครอง,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2017,2
2191,2017-02-10 16:46:00,“บุญทรง-ภูมิ” จ๋อย! ศาลปกครองกลางสั่งยกคำร้องขอเบรกจ่ายค่าเสียหายจำนำข้าว,https://mgronline.com/politics/detail/9600000014416,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2017,2
2206,2016-12-28 15:10:00,"ศาลปค.ตั้งองค์คณะพิเศษ คดี ""บุญทรง-ภูมิ"" ฟ้องถอนคำสั่งชดใช้ทุจริตข้าว ลุ้นระงับอายัด",https://mgronline.com/politics/detail/9590000129209,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2016,12
2208,2016-12-23 15:43:00,ศาลปกครองนัดไต่สวนคดี “บุญทรง-ภูมิ” ค้านคำสั่งชดใช้ค่าสินไหมข้าวจีทูจี 28 ธ.ค.,https://mgronline.com/politics/detail/9590000127690,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2016,12
2217,2016-09-27 14:11:00,“แม้ว” แห้ว! ศาลปกครองยกฟ้องคดีพาสปอร์ต แถมชี้คำสัมภาษณ์เจ้าตัวผิด ม.112,https://mgronline.com/politics/detail/9590000097230,"ศาลปกครอง,ทักษิณ ชินวัตร,","ศาลปกครอง,คนเบื้องหลังพรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,9
2224,2016-09-07 14:55:00,ศาลปกครองกลางพิพากษาคดี “แม้ว” ฟ้องถอนพาสปอร์ต 27 ก.ย.-ตุลาการแนะยกฟ้อง,https://mgronline.com/politics/detail/9590000089895,"ศาลปกครอง,ทักษิณ ชินวัตร,","ศาลปกครอง,คนเบื้องหลังพรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,9
2247,2016-07-14 15:52:00,ศาลปกครองสูงสุดไม่รับคำร้อง “เรืองไกร” ฟ้อง กกต.-กรธ.,https://mgronline.com/politics/detail/9590000070288,"ศาลปกครอง,คณะกรรมการการเลือกตั้ง,","ศาลปกครอง,กกต.,","สายศาล,สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,",1.0,2016,7
2249,2016-07-13 19:36:00,ศาลปกครองยังพิจารณาคดี “จอน” ฟ้อง กกต.เพิกถอนประกาศประชามติไม่แล้วเสร็จ,https://mgronline.com/politics/detail/9590000069969,"ศาลปกครอง,คณะกรรมการการเลือกตั้ง,","ศาลปกครอง,กกต.,","สายศาล,สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,",-1.0,2016,7
2250,2016-07-13 14:14:00,ศาลปกครองกลางกลับคำสั่ง รับคำร้อง “พีซทีวี” ขอไต่สวนฉุกเฉินจอดำ อ้างเข้าใจคลาดเคลื่อน,https://mgronline.com/politics/detail/9590000069784,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2016,7
2251,2016-07-12 16:53:00,ศาลปกครองกลางไม่รับคำร้องพีซทีวีขอถอนคำสั่ง กสทช.ให้จอดับ ชี้ กสท.ยังไม่ส่งเรื่องมา,https://mgronline.com/politics/detail/9590000069450,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2016,7
2280,2016-02-29 15:38:00,ศาลปกครองสูงสุดไม่รับฟ้อง พท.ฟ้อง ป.ป.ช.ไต่สวนคดีผิดจริยธรรม ปมเสนอญัตติแก้ รธน.,https://mgronline.com/politics/detail/9590000021615,"ศาลปกครอง,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคเพื่อไทย,","ศาลปกครอง,ป.ป.ช.,พรรคการเมือง,","สายศาล,สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2016,2
2323,2015-10-12 16:08:00,ศาลปกครองกลางไม่รับคำฟ้อง ปธ.นปช.และพิธีกร ฟ้อง กสทช.ถอนใบอนุญาตพีชทีวี,https://mgronline.com/politics/detail/9580000114393,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",1.0,2015,10
2387,2015-03-09 12:42:00,“วิษณุ” กำลังพิจารณาฟ้อง “ปู-บุญทรง” ผ่านศาลปกครองเรียกค่าเสียหายจำนำข้าวภายในปีนี้,https://mgronline.com/politics/detail/9580000027678,"ศาลปกครอง,วิษณุ เครืองาม,","ศาลปกครอง,ครม. ชุดที่ 62,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2015,3
2430,2014-10-31 13:01:00,ศาลปกครองสูงสุดยกฟ้องจัดการน้ำ 3.5แสนล้าน อ้างแค่คิดยังไม่บังคับใช้ แนะฟ้องรายโครงการ,https://mgronline.com/politics/detail/9570000125405,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2014,10
2475,2014-06-23 13:30:00,ศาลปกครองสูงสุดปัดรับฟ้อง “ปู” เยียวยาเหยื่อการเมืองไม่เป็นธรรม เหตุทำตาม คอป.,https://mgronline.com/politics/detail/9570000070454,"ศาลปกครอง,","ศาลปกครอง,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2014,6
2820,2013-11-18 16:53:00,ศาลปกครองกลางไม่รับคำฟ้องม็อบโค่นแม้วขอถอน พ.ร.บ.มั่นคง,https://mgronline.com/politics/detail/9560000143420,"ศาลปกครอง,ทักษิณ ชินวัตร,","ศาลปกครอง,คนเบื้องหลังพรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2013,11
