,date_time,title,link,person,groups,sub_categories,categories,score,year,month
179,2022-09-22 18:21:00,“นริศร” อดีต ส.ส.พท.ถูกศาลฎีกาฯ สั่งจำคุก 16 เดือน ไม่รอลงอาญา เซ่นเสียบบัตรแทนกันปี 56,https://mgronline.com/politics/detail/9650000091261,"ศาลยุติธรรม,พรรคเพื่อไทย,","ศาลยุติธรรม,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
219,2022-08-26 13:37:00,ศาลฎีกาสั่ง “กนกวรรณ วิลาวัลย์” รมช.ศึกษาฯ หยุดปฏิบัติหน้าที่ จนกว่าจะมีคำพิพากษา นัดพิจารณาคดีครั้งแรกวันที่ 5 ต.ค.นี้,https://mgronline.com/politics/detail/9650000081947,"ศาลยุติธรรม,กนกวรรณ วิลาวัลย์,กนกวรรณ วิลาวัลย์,","ศาลยุติธรรม,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,8
253,2022-08-03 14:20:00,ศาลฎีกานักการเมือง สั่งจำคุก “ธณิกานต์” 1 ปี ปรับ 2 แสน ส.ส.กทม.พปชร. เสียบบัตรแทนกัน มีเหตุปรานีโทษรอลงอาญา 2 ปี,https://mgronline.com/politics/detail/9650000073774,"ศาลยุติธรรม,พรรคพลังประชารัฐ,","ศาลยุติธรรม,พรรคการเมือง,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,8
317,2022-07-06 11:57:00,ศาลฎีกาพิพากษายืนจำคุก “เทพไท-มาโนช” 2 ปี ไม่รอลงอาญา ตัดสิทธิการเมือง 10 ปี คดีโกงเลือกตั้ง อบจ.เมืองคอน,https://mgronline.com/politics/detail/9650000064190,"ศาลยุติธรรม,","ศาลยุติธรรม,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2022,7
347,2022-06-10 11:44:00,“ก้าวไกล” บี้อัยการสูงสุดร้องศาลฎีกานักการเมือง ฟัน “นิพนธ์” พ้น รมต.เหตุศาลปกครองสูงสุด สั่ง อบจ.สงขลา จ่ายเงินให้บริษัทรถซ่อมบำรุงทาง,https://mgronline.com/politics/detail/9650000055219,"ศาลยุติธรรม,ศาลปกครอง,นิพนธ์ บุญญามณี,พรรคอนาคตใหม่-พรรคก้าวไกล,","ศาลยุติธรรม,ศาลปกครอง,ครม. ชุดที่ 62,พรรคการเมือง,","สายศาล,สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,6
369,2022-05-27 13:16:00,ศาลฎีกาสั่งเลือกตั้งใหม่ ส.ส.เขต 4 ลำปาง คลิปชัดหัวคะแนน “วัฒนา สิทธิวัง” จ่ายเงินซื้อเสียง,https://mgronline.com/politics/detail/9650000050441,"ศาลยุติธรรม,","ศาลยุติธรรม,","สายศาล,","ศาล & องค์กรอิสระ,",-1.0,2022,5
417,2022-04-07 12:16:00,“ปารีณา” ไม่รอด! ศาลฎีกาสั่งพ้นสภาพ ส.ส.ฐานผิดจริยธรรมบุกรุกป่าราชบุรี ห้ามลงเลือกตั้งตลอดชีวิต,https://mgronline.com/politics/detail/9650000033626,"ศาลยุติธรรม,ปารีณา ไกรคุปต์,","ศาลยุติธรรม,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,4
422,2022-03-30 14:59:00,“วิรัช-ภรรยา-น้องเมีย” แห้ว ศาล รธน.ตีตกคำร้องขอตีความศาลฎีกาสั่งหยุดปฏิบัติหน้าที่,https://mgronline.com/politics/detail/9650000030895,"ศาลยุติธรรม,วิรัช รัตนเศรษฐ,","ศาลยุติธรรม,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
471,2022-02-17 11:52:00,ศาลฎีกาการเมืองฯ นัด “สุเทพ” ไต่สวนครั้งแรกคดี “โรงพักร้าง” มั่นใจในความบริสุทธิ์,https://mgronline.com/politics/detail/9650000016116,"ศาลยุติธรรม,สุเทพ อู่อ้น,สุเทพ อู่อ้น,","ศาลยุติธรรม,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,2
511,2022-01-28 15:45:00,ป.ป.ช.ส่งสำนวนฟ้องก๊วน “ยิ่งลักษณ์” ทุจริตจัดโรดโชว์ ศาลฎีกานัดฟังคำสั่งรับฟ้องหรือไม่ 19 เม.ย.,https://mgronline.com/politics/detail/9650000009321,"ศาลยุติธรรม,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","ศาลยุติธรรม,ป.ป.ช.,","สายศาล,สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,ศาล & องค์กรอิสระ,",1.0,2022,1
