,date_time,title,link,person,groups,sub_categories,categories,score,year,month
19,2022-10-30 10:38:00,“สิระ” เดือดค้านต่างชาติซื้อที่ สอบขัด รธน.ทวงคำมั่นสัญญา “บิ๊กตู่” จี้ปลดทีม ศก.ล้มเหลวซ้ำซาก,https://mgronline.com/politics/detail/9650000103601,"พลเอก ประยุทธ์ จันทร์โอชา,สิระ เจนจาคะ,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,10
405,2022-04-21 11:54:00,“อุตตม” เฮ กกต.ยกคำร้องปมเป็นหัวหน้าพรรค ส่ง “สิระ เจนจาคะ” ที่ขาดคุณสมบัติ ลงสมัครรับเลือกตั้งปี 62,https://mgronline.com/politics/detail/9650000037927,"คณะกรรมการการเลือกตั้ง,อุตตม สาวนายน,สิระ เจนจาคะ,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
429,2022-03-23 15:29:00,“สุรชาติ” ลุ้น! สัปดาห์หน้า กกต.รับรองเป็น ส.ส.หลังครบกำหนด 60 วัน-คำร้อง “สิระ” ยังสอบสวนเพิ่ม,https://mgronline.com/politics/detail/9650000028409,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
445,2022-03-09 15:47:00,กกต.แจ้งดำเนินคดี “สิระ” รู้ไม่มีคุณสมบัติแล้วสมัคร ส.ส.-โทษคุก ปรับ เพิกถอนสิทธิ 20 ปี,https://mgronline.com/politics/detail/9650000023426,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,3
496,2022-02-07 15:53:00,“สิระ” ไม่ยอม! ให้ข้อมูลเพิ่ม “สุรชาติ” หาเสียงลดราคารถไฟฟ้า 20 บาท เกินจริง จี้ กกต.ระงับการประกาศผล,https://mgronline.com/politics/detail/9650000012614,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,","กกต.,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,2
507,2022-01-30 18:14:00,“เพื่อไทย” นำโด่ง “เพชร” ตามมาที่ 2 “อรรถวิชช์” จี้ติด ส่วนเมีย “สิระ” หล่นที่ 4,https://mgronline.com/politics/detail/9650000009889,"สิระ เจนจาคะ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2022,1
512,2022-01-28 11:43:00,“สิระ” ร้อง กกต.ส่งศาล รธน.ยุบพรรค-เพิกถอนสิทธิ “ก้าวไกล” ตัดต่อภาพหาเสียงใส่ร้าย,https://mgronline.com/politics/detail/9650000009173,"คณะกรรมการการเลือกตั้ง,สิระ เจนจาคะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,1
513,2022-01-27 17:03:00,“สิระ” สวน พท.เลิกแถค่ารถไฟฟ้า 20 บ. นโยบายพรรค อยู่ 3 ปี ไม่เคยพูด หวังขายฝันเลือกตั้งซ่อม,https://mgronline.com/politics/detail/9650000008944,"สิระ เจนจาคะ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,1
519,2022-01-24 12:28:00,“สิระ” ฟ้องยับ! “พิธา-เพชร กรุณพล” หาเสียงหมิ่นประมาทเรียก 50 ล้าน-ยื่น กกต.ยุบก้าวไกล,https://mgronline.com/politics/detail/9650000007554,"คณะกรรมการการเลือกตั้ง,พิธา ลิ้มเจริญรัตน์,สิระ เจนจาคะ,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,1
538,2021-12-23 11:51:00,“เพื่อไทย” ยันส่ง “สุรชาติ” ชน “เมียสิระ” เลือกตั้งซ่อมหลักสี่ มั่นใจชิงพื้นที่คืนมาได้,https://mgronline.com/politics/detail/9640000126691,"สิระ เจนจาคะ,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,12
