,date_time,title,link,person,groups,sub_categories,categories,score,year,month
81,2022-10-11 13:08:00,“สุริยะ” ยัน “สามมิตร” ยังอยู่ พปชร.ไม่ย้ายไปไหน  ย้ำหนุน “บิ๊กตู่” แคนดิเดตนายกฯ เบอร์ 1,https://mgronline.com/politics/detail/9650000097535,"พลเอก ประยุทธ์ จันทร์โอชา,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,10
180,2022-09-22 14:05:00,“สุริยะ”​ แจง ครม.ไม่มีการอนุมัติงบเพิ่มสู้คดีคิงส์เกต เป็นเพียงการขยายกรอบเวลา​ เผย หารือแนวทาง​ “วิษณุ​” เน้นการเจรจา มั่นใจไร้ปัญหา​,https://mgronline.com/politics/detail/9650000091133,"วิษณุ เครืองาม,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,9
216,2022-08-30 16:50:00,“สุริยะ” โวเป้า พปชร.กวาด ส.ส.อีสานเพิ่ม 3 เท่า “จำลอง” ลั่นกาฬสินธุ์ไม่แลนด์สไลด์ ไม่กลัว พท.,https://mgronline.com/politics/detail/9650000083311,"สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,8
420,2022-04-05 15:40:00,“สุริยะ” ยันอยู่ “พปชร.” ไม่ย้ายไปไหน หลังมีข่าวย้ายกลับเพื่อไทย,https://mgronline.com/politics/detail/9650000032969,"สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,พรรคพลังประชารัฐ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
431,2022-03-22 16:33:00,“สุริยะ” มองเร็วไป พท.ประกาศทวง 14 ล้านเสียงคืน ปัดตอบ “อุ๊งอิ๊ง” นั่งนายกฯได้หรือไม่,https://mgronline.com/politics/detail/9650000028043,"สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,พรรคเพื่อไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,3
1079,2020-07-20 23:20:00,จับตา พปชร.เคาะส่ง “สุริยะ” ชิง รมว.พลังงาน - “นฤมล” มีลุ้น รมต.ประจำสำนักนายกฯ,https://mgronline.com/politics/detail/9630000074496,"นฤมล ภิญโญสินวัฒน์,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,นฤมล ภิญโญสินวัฒน์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,7
1082,2020-07-18 01:01:00,“พปชร.” ยันชื่อ “สุริยะ” คุมพลังงาน จับตา “ลุงป้อม” ริบเก้าอี้ “เทวัญ” เปิดทาง “นฤมล” ขึ้นชั้น รมต.,https://mgronline.com/politics/detail/9630000073636,"พลเอก ประวิตร วงษ์สุวรรณ,เทวัญ ลิปตพัลลภ,นฤมล ภิญโญสินวัฒน์,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,นฤมล ภิญโญสินวัฒน์,เทวัญ ลิปตพัลลภ,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,7
1295,2020-01-14 16:29:00,ภท.กั๊กยกมือหนุน “สุริยะ” หรือไม่ รอฟังชี้แจงซักฟอก ลั่นไม่ใช่นกแก้วนกขุนทองให้ใครสั่ง,https://mgronline.com/politics/detail/9630000004230,"สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,1
1379,2019-11-27 21:09:00,“สุริยะ” ยันพิจารณารอบคอบเลื่อน-เลิกแบนสารพิษ ปัดหักหลังภูมิใจไทยเพิ่งคุย “อนุทิน” ไร้ปัญหา,https://mgronline.com/politics/detail/9620000113944,"อนุทิน ชาญวีรกูล,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,อนุทิน ชาญวีรกูล,พรรคภูมิใจไทย,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,11
1559,2019-07-02 12:36:00,“อุตตม” ควง “สมศักดิ์-สุริยะ” แถลงยุติศึกภายใน พปชร.ให้อำนาจนายกฯ จัดโผ ล้มมติไล่เลขาฯ พ้นพรรค,https://mgronline.com/politics/detail/9620000062745,"อุตตม สาวนายน,สมศักดิ์ เทพสุทิน,สุริยะ จึงรุ่งเรืองกิจ,สุริยะ จึงรุ่งเรืองกิจ,สมศักดิ์ เทพสุทิน,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,7
