,date_time,title,link,person,groups,sub_categories,categories,score,year,month
405,2022-04-21 11:54:00,“อุตตม” เฮ กกต.ยกคำร้องปมเป็นหัวหน้าพรรค ส่ง “สิระ เจนจาคะ” ที่ขาดคุณสมบัติ ลงสมัครรับเลือกตั้งปี 62,https://mgronline.com/politics/detail/9650000037927,"คณะกรรมการการเลือกตั้ง,อุตตม สาวนายน,สิระ เจนจาคะ,","กกต.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,4
1092,2020-07-09 10:41:00,"สี่กุมาร ""อุตตม-สนธิรัตน์-สุวิทย์-กอบศักดิ์"" เตรียมแถลงลาออกจากสมาชิก พปชร. เที่ยงวันนี้",https://mgronline.com/politics/detail/9630000070233,"อุตตม สาวนายน,สุวิทย์ เมษินทรีย์,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,7
1110,2020-06-27 16:35:00,"""อุตตม-สนธิรัตน์""รับสภาพไร้ชื่อเป็น กก.บห.พปชร. นั่ง รมต.ต่อหรือไม่แล้วแต่""บิ๊กตู่""พิจารณา",https://mgronline.com/politics/detail/9630000066255,"พลเอก ประยุทธ์ จันทร์โอชา,อุตตม สาวนายน,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,6
1111,2020-06-27 14:23:00,“อุตตม-สนธิรัตน์” ร่วมประชุมใหญ่ พปชร.ไร้เงา”สุวิทย์-กอบศักดิ์” เผยมาทำหน้าที่ให้จบ ยังไม่คิดเส้นทางการเมืองข้างหน้า,https://mgronline.com/politics/detail/9630000066209,"อุตตม สาวนายน,สุวิทย์ เมษินทรีย์,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,6
1112,2020-06-27 14:13:00,"""อุตตม"" ปัดตอบพ้นเก้าอี้หัวหน้า พปชร.ขอประชุมเสร็จก่อน",https://mgronline.com/politics/detail/9630000066206,"อุตตม สาวนายน,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,6
1142,2020-05-31 14:22:00,“สนธิรัตน์-ธรรมนัส” ขน 60 ส.ส.พปชร.ให้กำลังใจ “อุตตม” ดูแลงบ-นั่ง หน.พรรรค,https://mgronline.com/politics/detail/9630000056528,"อุตตม สาวนายน,ร้อยเอก ธรรมนัส พรหมเผ่า,สนธิรัตน์ สนธิจิรวงศ์,ร้อยเอก ธรรมนัส พรหมเผ่า,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,5
1156,2020-05-05 15:48:00,“อุตตม-สนธิรัตน์” เผย “บิ๊กตู่” แนะหารือแก้ปัญหา พปชร. ยันเคารพ “ประวิตร” จ่อพบ,https://mgronline.com/politics/detail/9630000046975,"พลเอก ประยุทธ์ จันทร์โอชา,พลเอก ประวิตร วงษ์สุวรรณ,อุตตม สาวนายน,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,5
1160,2020-04-27 15:57:00,“ประวิตร” ปัดปรับ ครม. เอาโควิด-19 หายก่อน โต้คุย “อุตตม” ให้ลาออก หน.พปชร.,https://mgronline.com/politics/detail/9630000044028,"พลเอก ประวิตร วงษ์สุวรรณ,อุตตม สาวนายน,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,4
1493,2019-09-11 18:12:00,"พท.อัด ""อุตตม"" เลิกส่งลูกน้องแจงแทน เตือนปชช.ภาวะศก.ไทยเดินเข้าสู่เรดโซน",https://mgronline.com/politics/detail/9620000087575,"อุตตม สาวนายน,พรรคเพื่อไทย,","ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2019,9
1518,2019-08-15 15:47:00,“อุตตม” ชี้ “บิ๊กป้อม” นั่ง กก.ยุทธศาสตร์ พปชร. การทำงานไม่เหลื่อมล้ำ กก.บห.,https://mgronline.com/politics/detail/9620000077952,"พลเอก ประวิตร วงษ์สุวรรณ,อุตตม สาวนายน,พรรคพลังประชารัฐ,","ครม. ชุดที่ 62,ครม. ชุดที่ 62,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2019,8
