,date_time,title,link,person,groups,sub_categories,categories,score,year,month
370,2022-05-26 13:46:00,“ไพบูลย์” เตือน “เพื่อไทย” อย่าโหน “ชัชชาติ” มากเกิน รู้จักอายบ้าง ฉะเอาคนอายุน้อยมาเป็นหัวหน้าครอบครัวเพื่อไทยทำไม,https://mgronline.com/politics/detail/9650000050044,"ไพบูลย์ นิติตะวัน,ไพบูลย์ นิติตะวัน,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2022,5
556,2021-11-23 16:28:00,“ไพบูลย์” เชื่อรัฐสภารับหลักการร่าง กม.ลูก กกต.- พรรคร่วม-พท.ตีตกก้าวไกล เหตุอาจขัด รธน.,https://mgronline.com/politics/detail/9640000116148,"คณะกรรมการการเลือกตั้ง,ไพบูลย์ นิติตะวัน,พรรคเพื่อไทย,พรรคอนาคตใหม่-พรรคก้าวไกล,","กกต.,ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,11
607,2021-10-20 16:15:00,“ไพบูลย์” เฮ! ไม่หลุด ส.ส.ปมย้ายซบ พปชร. ขอบคุณศาล รธน.เสียงข้างมากที่ให้ความยุติธรรม,https://mgronline.com/politics/detail/9640000104071,"ไพบูลย์ นิติตะวัน,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,10
706,2021-06-28 14:47:00,“วิษณุ” ชี้ร่าง ปชป.แก้ รธน.ไปได้ ชู “บัญญัติ-ชินวรณ์-ไพบูลย์” รู้ช่อง ยันประชุมสภาได้,https://mgronline.com/politics/detail/9640000062462,"วิษณุ เครืองาม,ไพบูลย์ นิติตะวัน,พรรคประชาธิปัตย์,","ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,6
722,2021-06-18 10:02:00,"""ไพบูลย์"" ซัด ""ฝ่ายค้าน"" ดรามาปม ส.ส.พปชร.หนีประชุมงบฯ มา ""ขอนแก่น"" ทำองค์ประชุมล่ม",https://mgronline.com/politics/detail/9640000058872,"ไพบูลย์ นิติตะวัน,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2021,6
779,2021-04-04 15:35:00,“เพื่อไทย” ซัด “ไพบูลย์” จุ้นจ้านเรื่องคนอื่น ยันทำร่างแก้ไข รธน.ต้องละเอียด-ปชช.ได้ประโยชน์,https://mgronline.com/politics/detail/9640000032099,"ไพบูลย์ นิติตะวัน,พรรคเพื่อไทย,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2021,4
896,2020-12-24 15:31:00,“ไพบูลย์” แจงทำตาม กม.ไม่หวั่นถูกศาลสอบยุบพรรคซบ พปชร.ชี้เหมือนกับ อนค.-ก้าวไกล,https://mgronline.com/politics/detail/9630000131351,"ไพบูลย์ นิติตะวัน,พรรคพลังประชารัฐ,พรรคอนาคตใหม่-พรรคก้าวไกล,","ส.ส. ชุดที่ 25,พรรคการเมือง,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,12
897,2020-12-23 17:43:00,ศาล รธน.รับวินิจฉัยกรณี “ไพบูลย์” โยกเป็น ส.ส.พปชร.หลังยุบพรรคตัวเอง,https://mgronline.com/politics/detail/9630000131028,"ไพบูลย์ นิติตะวัน,พรรคพลังประชารัฐ,","ส.ส. ชุดที่ 25,พรรคการเมือง,","สายพรรคการเมือง,สายพรรคการเมือง,","พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2020,12
937,2020-11-10 12:36:00,“ไพบูลย์” โหวตรับ รธน.วาระ 1 ให้ผ่านก่อนค่อยส่งศาลรัฐธรรมนูญวินิจฉัย เพื่อเคลียร์ข้อกฎหมายในภายหลัง,https://mgronline.com/politics/detail/9630000116158,"ศาลรัฐธรรมนูญ,ไพบูลย์ นิติตะวัน,ไพบูลย์ นิติตะวัน,","ศาลรัฐธรรมนูญ,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายศาล,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,11
1098,2020-07-03 11:21:00,“ไพบูลย์” จ่อใช้เสียงในสภาสกัด “เสรีพิศุทธ์” ยื่น ป.ป.ช.เอาผิด “บิ๊กตู่”,https://mgronline.com/politics/detail/9630000068335,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประยุทธ์ จันทร์โอชา,ไพบูลย์ นิติตะวัน,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",1.0,2020,7
