id,groups,sub_categories,categories,person,keyword,count,total_event,period_1_plus,period_1_minus,period_1_total,period_2_plus,period_2_minus,period_2_total,period_1_plus_percentage,period_1_minus_percentage,period_2_plus_percentage,period_2_minus_percentage
26,กกต.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,คณะกรรมการการเลือกตั้ง,"คณะกรรมการการเลือกตั้ง , กกต.",353,353,40,-53,93,147,-113,260,43.01075268817204,56.98924731182796,56.53846153846154,43.46153846153846
27,ป.ป.ช.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ , ป.ป.ช. , ปปช.",277,277,23,-91,114,102,-61,163,20.175438596491226,79.82456140350878,62.57668711656442,37.423312883435585
23,ศาลรัฐธรรมนูญ,สายศาล,ศาล & องค์กรอิสระ,ศาลรัฐธรรมนูญ,"ศาลรัฐธรรมนูญ , ศาล รธน. , ศาลรธน. , ศาลการเมือง",58,58,2,-12,14,33,-11,44,14.285714285714285,85.71428571428571,75.0,25.0
25,ศาลปกครอง,สายศาล,ศาล & องค์กรอิสระ,ศาลปกครอง,"ศาล ปค.​สูงสุด , ศาล ปค. , ศาลปกครอง , ศาลปกครองสูงสุด , ศาลปกครองกลาง",49,49,6,-8,14,25,-10,35,42.857142857142854,57.14285714285714,71.42857142857143,28.57142857142857
24,ศาลยุติธรรม,สายศาล,ศาล & องค์กรอิสระ,ศาลยุติธรรม,"ศาลอาญาทุจริตและประพฤติมิชอบกลาง , ศาลฎีกาแผนกคดีอาญาผู้ดำรงตำแหน่งทางการเมือง , ศาลปราบทุจริต , ศาลฎีกา , ศาลฎีกาฯ , ศาลยุติธรรม",41,41,0,-4,4,15,-22,37,0.0,100.0,40.54054054054054,59.45945945945946
29,ผผ.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,ผู้ตรวจการแผ่นดิน,"ผู้ตรวจการแผ่นดิน , ผผ.",9,9,0,-2,2,6,-1,7,0.0,100.0,85.71428571428571,14.285714285714285
28,คตง.,สายองค์กรอิสระ,ศาล & องค์กรอิสระ,คณะกรรมการตรวจเงินแผ่นดิน,"คณะกรรมการตรวจเงินแผ่นดิน , คตง.",1,1,0,0,0,0,-1,1,0.0,0.0,0.0,100.0
5,ประธานคณะองคมนตรี,องคมนตรี,วัง & องคมนตรี,พลเอก เปรม ติณสูลานนท์,"เปรม , ป๋าเปรม",59,59,5,-8,13,43,-3,46,38.46153846153847,61.53846153846154,93.47826086956522,6.521739130434782
2,สมาชิกราชวงศ์จักรี,วัง,วัง & องคมนตรี,พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว,"พระบาทสมเด็จพระวชิรเกล้าเจ้าอยู่หัว , รัชกาลที่ 10 , ร.10 , ร.๑๐ , สมเด็จพระบรมฯ , ฟ้าชาย",24,24,0,0,0,24,0,24,0.0,0.0,100.0,0.0
1,สมาชิกราชวงศ์จักรี,วัง,วัง & องคมนตรี,ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,"ทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี , ทูลกระหม่อมหญิงฯ , ทูลกระหม่อมหญิงอุบลรัตนฯ , ทูลกระหม่อมฯ",7,7,1,0,1,1,-5,6,100.0,0.0,16.666666666666664,83.33333333333334
6,ประธานคณะองคมนตรี,องคมนตรี,วัง & องคมนตรี,พลเอก สุรยุทธ์ จุลานนท์,"สุรยุทธ์ , บิ๊กแอ้ด",6,6,1,-2,3,3,0,3,33.33333333333333,66.66666666666666,100.0,0.0
3,สมาชิกราชวงศ์จักรี,วัง,วัง & องคมนตรี,สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,"สมเด็จพระกนิษฐาธิราชเจ้า กรมสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี , สมเด็จพระเทพฯ , พระเทพฯ",5,5,0,0,0,5,0,5,0.0,0.0,100.0,0.0
265,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคประชาธิปัตย์,"ประชาธิปัตย์ , ปชป.",1588,1588,134,-1071,1205,161,-222,383,11.120331950207468,88.87966804979253,42.03655352480418,57.96344647519582
273,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคเพื่อไทย,"เพื่อไทย , พท. , พรรคทักษิณ , พรรคแดงล้มเจ้า , เพื่อแม้ว , พรรคแม้ว , พรรคพ่อแม้ว , ",1127,1127,417,-173,590,235,-302,537,70.6779661016949,29.322033898305083,43.76163873370577,56.23836126629422
30,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก ประยุทธ์ จันทร์โอชา,"ประยุทธ์ , นายกฯประยุทธ์ , บิ๊กตู่ , ประยุทธ์ , ประยุทธ , ตู่ , ลุงตู่ , ลงตู่",507,507,2,-3,5,365,-137,502,40.0,60.0,72.70916334661355,27.290836653386453
263,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคพลังประชารัฐ,"พลังประชารัฐ , พปชร.",459,459,0,0,0,365,-94,459,0.0,0.0,79.520697167756,20.47930283224401
274,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคอนาคตใหม่-พรรคก้าวไกล,"อนาคตใหม่ , ก้าวไกล , อนคม. , กก. , อดีตอนาคตใหม่ , อนาคตดับ , อนค. , ส้มเน่า , คณะก้าวหน้า",447,447,4,-3,7,184,-256,440,57.14285714285714,42.857142857142854,41.81818181818181,58.18181818181818
264,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคภูมิใจไทย,"ภูมิใจไทย , ภท. , ภูมิใจห้อย , ",292,292,26,-41,67,161,-64,225,38.80597014925373,61.19402985074627,71.55555555555554,28.444444444444443
288,คนเบื้องหลังพรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ทักษิณ ชินวัตร,"ทักษิณ ชินวัตร , แม้ว , นช.แม้ว , โทนี่ , พี่โทนี่",253,253,66,-150,216,26,-11,37,30.555555555555557,69.44444444444444,70.27027027027027,29.72972972972973
93,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อภิสิทธิ์ เวชชาชีวะ,"อภิสิทธิ์ , มาร์ค , หล่อใหญ่",219,219,47,-126,173,16,-30,46,27.167630057803464,72.83236994219652,34.78260869565217,65.21739130434783
31,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พลเอก ประวิตร วงษ์สุวรรณ,"ประวิตร , บิ๊กป้อม , ปิ๊กป้อม , ลุงป้อม , ป้อม",207,207,0,-1,1,180,-26,206,0.0,100.0,87.37864077669903,12.62135922330097
34,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุทิน ชาญวีรกูล,"อนุทิน , เสี่ยหนู , หมอหนู",116,116,2,-5,7,92,-17,109,28.57142857142857,71.42857142857143,84.40366972477065,15.59633027522936
116,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,อนุทิน ชาญวีรกูล,"อนุทิน , เสี่ยหนู , หมอหนู",116,116,2,-5,7,92,-17,109,28.57142857142857,71.42857142857143,84.40366972477065,15.59633027522936
139,ส.ส. ชุดที่ 25,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,ธนาธร จึงรุ่งเรืองกิจ,"ธนาธร , ตี๋เนรคุณ , พ่อของฟ้า , พ่อน้องฟ้า , ทอน",88,88,0,0,0,48,-40,88,0.0,0.0,54.54545454545454,45.45454545454545
33,ครม. ชุดที่ 62,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,วิษณุ เครืองาม,"วิษณุ , รองฯ วิษณุ",85,85,0,0,0,79,-6,85,0.0,0.0,92.94117647058823,7.0588235294117645
266,พรรคการเมือง,สายพรรคการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคชาติไทยพัฒนา,"ชาติไทยพัฒนา , ชทพ.",81,81,19,-10,29,39,-13,52,65.51724137931035,34.48275862068966,75.0,25.0
