year,month,count,type,short_year
2556,7,1.0,positive,56
2556,9,1.0,positive,56
2562,5,1.0,positive,62
2562,6,4.0,positive,62
2562,7,1.0,positive,62
2562,10,4.0,positive,62
2563,2,3.0,positive,63
2563,11,1.0,positive,63
2564,9,1.0,positive,64
2564,10,2.0,positive,64
2565,9,1.0,positive,65
2565,10,2.0,positive,65
2554,7,-1.0,negative,54
2554,10,-1.0,negative,54
2555,2,-1.0,negative,55
2555,8,-1.0,negative,55
2556,2,-1.0,negative,56
2556,7,-1.0,negative,56
2556,9,-2.0,negative,56
2556,11,-2.0,negative,56
2561,5,-1.0,negative,61
2562,5,-1.0,negative,62
2562,12,-1.0,negative,62
2563,1,-1.0,negative,63
2563,2,-3.0,negative,63
2563,6,-1.0,negative,63
2563,11,-1.0,negative,63
2564,3,-1.0,negative,64
2564,8,-2.0,negative,64
