year,month,count,type,short_year
2562,3,1.0,positive,62
2562,11,5.0,positive,62
2562,12,1.0,positive,62
2563,1,1.0,positive,63
2563,6,1.0,positive,63
2563,7,1.0,positive,63
2564,1,1.0,positive,64
2564,7,1.0,positive,64
2562,1,-1.0,negative,62
2562,2,-2.0,negative,62
2562,5,-1.0,negative,62
2562,6,-1.0,negative,62
2562,12,-1.0,negative,62
2563,1,-2.0,negative,63
2563,2,-1.0,negative,63
2563,6,-1.0,negative,63
2563,7,-1.0,negative,63
2563,8,-1.0,negative,63
2563,9,-1.0,negative,63
2564,2,-1.0,negative,64
2564,3,-1.0,negative,64
2564,11,-1.0,negative,64
2564,12,-1.0,negative,64
2565,2,-1.0,negative,65
2565,6,-1.0,negative,65
2565,9,-2.0,negative,65
