year,month,count,type,short_year
2557,10,1.0,positive,57
2558,2,1.0,positive,58
2558,3,1.0,positive,58
2558,12,1.0,positive,58
2559,3,2.0,positive,59
2559,7,1.0,positive,59
2559,8,2.0,positive,59
2560,1,2.0,positive,60
2560,3,1.0,positive,60
2560,6,1.0,positive,60
2560,7,1.0,positive,60
2560,8,2.0,positive,60
2560,9,1.0,positive,60
2560,11,1.0,positive,60
2561,1,3.0,positive,61
2561,3,4.0,positive,61
2561,5,1.0,positive,61
2561,6,2.0,positive,61
2561,9,1.0,positive,61
2561,10,4.0,positive,61
2561,11,1.0,positive,61
2561,12,3.0,positive,61
2562,2,1.0,positive,62
2562,3,5.0,positive,62
2562,4,1.0,positive,62
2562,5,2.0,positive,62
2562,6,2.0,positive,62
2562,7,5.0,positive,62
2562,8,8.0,positive,62
2562,9,3.0,positive,62
2562,10,2.0,positive,62
2562,12,3.0,positive,62
2563,1,5.0,positive,63
2563,2,3.0,positive,63
2563,3,2.0,positive,63
2563,4,2.0,positive,63
2563,5,1.0,positive,63
2563,6,7.0,positive,63
2563,7,5.0,positive,63
2563,8,4.0,positive,63
2563,9,1.0,positive,63
2563,11,2.0,positive,63
2564,1,1.0,positive,64
2564,2,5.0,positive,64
2564,3,3.0,positive,64
2564,4,1.0,positive,64
2564,5,1.0,positive,64
2564,6,4.0,positive,64
2564,8,1.0,positive,64
2564,9,3.0,positive,64
2564,10,7.0,positive,64
2564,11,3.0,positive,64
2564,12,1.0,positive,64
2565,1,2.0,positive,65
2565,2,4.0,positive,65
2565,3,3.0,positive,65
2565,4,3.0,positive,65
2565,5,1.0,positive,65
2565,6,3.0,positive,65
2565,7,4.0,positive,65
2565,8,3.0,positive,65
2565,9,13.0,positive,65
2565,10,12.0,positive,65
2565,11,1.0,positive,65
2554,7,-1.0,negative,54
2558,11,-1.0,negative,58
2559,3,-2.0,negative,59
2560,12,-2.0,negative,60
2561,1,-1.0,negative,61
2561,7,-1.0,negative,61
2561,9,-1.0,negative,61
2562,3,-1.0,negative,62
2562,7,-1.0,negative,62
2563,2,-1.0,negative,63
2564,1,-1.0,negative,64
2564,2,-1.0,negative,64
2564,9,-1.0,negative,64
2565,2,-1.0,negative,65
2565,3,-1.0,negative,65
2565,4,-1.0,negative,65
2565,7,-4.0,negative,65
2565,8,-5.0,negative,65
