year,month,count,type,short_year
2555,1,1.0,positive,55
2555,2,2.0,positive,55
2555,10,1.0,positive,55
2555,12,1.0,positive,55
2557,9,1.0,positive,57
2557,10,2.0,positive,57
2557,12,4.0,positive,57
2558,1,2.0,positive,58
2558,2,2.0,positive,58
2558,3,1.0,positive,58
2558,4,1.0,positive,58
2558,9,2.0,positive,58
2558,10,1.0,positive,58
2558,11,1.0,positive,58
2558,12,1.0,positive,58
2559,3,2.0,positive,59
2559,8,4.0,positive,59
2559,12,2.0,positive,59
2560,1,1.0,positive,60
2560,4,3.0,positive,60
2560,8,2.0,positive,60
2560,12,2.0,positive,60
2561,4,2.0,positive,61
2561,12,2.0,positive,61
2562,3,1.0,positive,62
2562,4,1.0,positive,62
2562,5,3.0,positive,62
2555,4,-3.0,negative,55
2556,4,-1.0,negative,56
2556,8,-2.0,negative,56
2557,4,-2.0,negative,57
2562,5,-1.0,negative,62
2564,7,-1.0,negative,64
2565,9,-1.0,negative,65
