year,month,count,type,short_year
2555,1,1.0,positive,55
2555,2,1.0,positive,55
2555,3,1.0,positive,55
2555,4,1.0,positive,55
2556,9,1.0,positive,56
2556,11,1.0,positive,56
2558,3,1.0,positive,58
2558,10,1.0,positive,58
2559,2,1.0,positive,59
2559,7,2.0,positive,59
2559,9,2.0,positive,59
2559,12,2.0,positive,59
2560,2,2.0,positive,60
2560,3,1.0,positive,60
2560,9,1.0,positive,60
2561,1,1.0,positive,61
2561,3,1.0,positive,61
2561,5,1.0,positive,61
2562,3,1.0,positive,62
2562,6,2.0,positive,62
2564,1,1.0,positive,64
2564,2,1.0,positive,64
2564,7,1.0,positive,64
2565,3,1.0,positive,65
2565,4,1.0,positive,65
2565,9,1.0,positive,65
2554,12,-1.0,negative,54
2555,1,-2.0,negative,55
2556,5,-1.0,negative,56
2556,6,-3.0,negative,56
2556,9,-1.0,negative,56
2557,6,-1.0,negative,57
2557,10,-1.0,negative,57
2559,7,-2.0,negative,59
2562,3,-1.0,negative,62
2562,10,-1.0,negative,62
2564,4,-2.0,negative,64
2565,6,-1.0,negative,65
2565,7,-1.0,negative,65
