date_time,title,link,person,groups,sub_categories,categories,score,year,month,date,time
2022-09-27 11:38:00,ฝ่ายค้านยื่น ป.ป.ช.ฟัน “บิ๊กตู่-จุรินทร์” ทุจริตหน้าที่ไม่ยับยั้งความเสียหายรัฐ ขู่ร้องอีกหลายสำนวน,https://mgronline.com/politics/detail/9650000092640,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประยุทธ์ จันทร์โอชา,จุรินทร์ ลักษณวิศิษฏ์,จุรินทร์ ลักษณวิศิษฏ์,","ป.ป.ช.,ครม. ชุดที่ 62,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-27,11:38:00
2022-09-07 10:54:00,“เสรีพิศุทธ์” ยันเชิญ “หม่อมอุ๋ย” เข้าแจง กมธ.ป.ป.ช.ปมนาฬิกาเพื่อนแน่ แต่ยังไม่กำหนดวัน,https://mgronline.com/politics/detail/9650000085829,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลตำรวจเอก เสรีพิศุทธ์ เตมียเวส,เสรี สุวรรณภานนท์,","ป.ป.ช.,ส.ส. ชุดที่ 25,ส.ว. ชุดที่ 12,","สายองค์กรอิสระ,สายพรรคการเมือง,สายกลุ่มการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,9,2022-09-07,10:54:00
2022-08-31 15:19:00,ก้าวไกลลุยทลายบัญชีทหารผี เซ่นคดี ส.ต.ท.หญิงฉาว กมธ.ป.ป.ช.นัดสอบ “ธานี อ่อนละเอียด-2 น้องบิ๊กป้อม”,https://mgronline.com/politics/detail/9650000083679,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประวิตร วงษ์สุวรรณ,ธานี อ่อนละเอียด,พรรคอนาคตใหม่-พรรคก้าวไกล,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ว. ชุดที่ 12,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายกลุ่มการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-31,15:19:00
2022-08-05 13:21:00,ก้าวไกล.ยื่น ป.ป.ช.ฟัน “บิ๊กตู่-ครม.-ตร.” ปมทุจริตกองบินตำรวจ-ตั๋วช้าง ชี้ ใช้อำนาจไม่ชอบ ทำงบแผ่นดินเสียหาย,https://mgronline.com/politics/detail/9650000074593,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประยุทธ์ จันทร์โอชา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ป.ป.ช.,ครม. ชุดที่ 62,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-05,13:21:00
2022-08-01 11:35:00,“เพื่อไทย” เดินหน้าร้อง ป.ป.ช. อีอีซี-ถุงมือยาง มั่นใจ หลักฐานแน่น โว สูตรเลือกตั้งไหนก็ได้เปรียบ,https://mgronline.com/politics/detail/9650000072887,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พรรคเพื่อไทย,","ป.ป.ช.,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,8,2022-08-01,11:35:00
2022-07-26 13:07:00,ป.ป.ช.ชี้มูล “ครูพี่โอ๊ะ กนกวรรณ” รมช.ศธ รุกป่าเขาใหญ่เพิ่ม,https://mgronline.com/politics/detail/9650000071127,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,กนกวรรณ วิลาวัลย์,กนกวรรณ วิลาวัลย์,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-26,13:07:00
2022-07-26 12:19:00,ป.ป.ช.จ่อชี้มูล “กนกวรรณ” อีกคดีเหตุบุกรุกพื้นที่ป่าเขาใหญ่ เร่งดำเนินคดีทั้งอาญาและขัดจริยธรรมร้ายแรง,https://mgronline.com/politics/detail/9650000071095,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,กนกวรรณ วิลาวัลย์,กนกวรรณ วิลาวัลย์,","ป.ป.ช.,ครม. ชุดที่ 62,ส.ส. ชุดที่ 25,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-26,12:19:00
2022-07-25 17:26:00,“ประวิตร” ไม่กลัว ป.ป.ช.สอบมูลนิธิป่ารอยต่อฯ ป้องไม่เกี่ยวการเมือง สวน “พิเชษฐ” ไม่รู้รับเงินกับใคร,https://mgronline.com/politics/detail/9650000070877,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประวิตร วงษ์สุวรรณ,","ป.ป.ช.,ครม. ชุดที่ 62,","สายองค์กรอิสระ,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,",1.0,2565,7,2022-07-25,17:26:00
2022-07-25 14:16:00,ป.ป.ช.สั่งเก็บข้อมูล ส.ส.รับกล้วย ชี้ ผิดทั้งอาญา-จริยธรรม แถมอาจพ่วงข้อหาติดสินบน จนท.รัฐ,https://mgronline.com/politics/detail/9650000070755,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,","ป.ป.ช.,","สายองค์กรอิสระ,","ศาล & องค์กรอิสระ,",-1.0,2565,7,2022-07-25,14:16:00
2022-07-23 12:41:00,“ก้าวไกล” เล็งยื่น ป.ป.ช.เอาผิด “ประยุทธ์และคณะ”,https://mgronline.com/politics/detail/9650000070208,"คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,พลเอก ประยุทธ์ จันทร์โอชา,พรรคอนาคตใหม่-พรรคก้าวไกล,","ป.ป.ช.,ครม. ชุดที่ 62,พรรคการเมือง,","สายองค์กรอิสระ,สายพรรคการเมือง,สายพรรคการเมือง,","ศาล & องค์กรอิสระ,พรรคการเมือง & กลุ่มการเมือง,พรรคการเมือง & กลุ่มการเมือง,",-1.0,2565,7,2022-07-23,12:41:00
